feature,Selection count,Pair count,CPSS Score
TPM__CISH,94,44,0.94
TPM__PLCE1,89,39,0.89
METH__CHST14,85,35,0.85
TPM__HRCT1,85,35,0.85
TPM__PYGB,83,33,0.83
TPM__NEK6,82,32,0.82
TPM__SEMA4A,81,31,0.81
TPM__HABP4,79,29,0.79
TPM__GCDH,78,28,0.78
TPM__FAM114A1,78,28,0.78
TPM__PRMT5-DT,77,27,0.77
TPM__RRP7BP,76,26,0.76
TPM__GPX3,73,23,0.73
METH__SLC35D2,71,23,0.71
TPM__FRAT2,69,20,0.69
TPM__MYBL1,68,18,0.68
TPM__MBNL2,68,19,0.68
TPM__SPIN3,67,17,0.67
TPM__ADAT2,67,17,0.67
TPM__KIF21B,67,17,0.67
TPM__CD59,66,16,0.66
TPM__PTTG1IP,65,15,0.65
TPM__CD151,65,15,0.65
TPM__MIR100HG,65,15,0.65
METH__SRRM2,64,15,0.64
METH__MGAT1,62,12,0.62
TPM__ZCCHC3,62,12,0.62
TPM__PSORS1C1,59,10,0.59
TPM__ATP6V0E1,59,10,0.59
TPM__TMEM127,58,9,0.58
TPM__ZBED4,55,8,0.55
TPM__NOL3,53,7,0.53
TPM__RTN4,52,7,0.52
TPM__RPL26L1-AS1,52,6,0.52
TPM__POLR1H,51,2,0.51
TPM__VRK1,51,6,0.51
TPM__MIR22HG,50,6,0.5
TPM__CTNNAL1,49,6,0.49
METH__PCDHAC2,49,5,0.49
TPM__MBNL3,49,4,0.49
TPM__CNN3-DT,48,5,0.48
TPM__PXDC1,47,5,0.47
TPM__SQSTM1,44,2,0.44
TPM__RIPOR1,44,3,0.44
TPM__DNAJC25-GNG10,44,2,0.44
TPM__LYPD1,43,3,0.43
TPM__SNX7,43,2,0.43
METH__AGAP2,43,4,0.43
TPM__CHST3,43,2,0.43
TPM__TGOLN2,42,1,0.42
TPM__SH3BP4,42,3,0.42
TPM__CAST,41,3,0.41
TPM__PVR,41,2,0.41
TPM__ITGB5,40,0,0.4
TPM__SERPINE2,39,1,0.39
TPM__VCAN,38,4,0.38
TPM__TRABD,38,3,0.38
TPM__HKDC1,38,1,0.38
TPM__TM4SF1,37,0,0.37
TPM__CTSL,37,0,0.37
TPM__SPOCK1,36,0,0.36
METH__ITGB7,36,0,0.36
TPM__SWI5,36,1,0.36
TPM__FBXL2,34,2,0.34
TPM__RASAL2-AS1,34,1,0.34
TPM__BCL11A,33,1,0.33
METH__FLJ41941,33,1,0.33
METH__NT5E,32,1,0.32
TPM__GULP1,32,0,0.32
METH__JUB,32,1,0.32
TPM__FGD3,32,0,0.32
TPM__AMOTL2,32,1,0.32
METH__PIK3CG,31,0,0.31
TPM__TMEM245,31,0,0.31
TPM__VMP1,30,0,0.3
TPM__ZNF101,30,0,0.3
TPM__CAVIN3,30,0,0.3
TPM__GLIS3,29,2,0.29
TPM__MGLL,29,0,0.29
TPM__SGCE,28,2,0.28
TPM__GNS,28,0,0.28
TPM__IL6ST,28,2,0.28
TPM__FAM78A,28,0,0.28
TPM__PTPN21,28,0,0.28
TPM__CALU,28,0,0.28
METH__RHEB,27,1,0.27
TPM__LAMA4,27,1,0.27
TPM__AGAP2,27,0,0.27
TPM__SUCLG2-DT,26,1,0.26
TPM__TXNRD1,26,5,0.26
TPM__TRNP1,26,3,0.26
TPM__SPATS2L,26,0,0.26
TPM__PPP2R3A,26,2,0.26
TPM__TIMP2,26,0,0.26
