feature,Selection count,Pair count,CPSS Score
TPM__APLP2,99,49,0.99
METH__TRIM13,99,49,0.99
TPM__MOB3A,97,47,0.97
TPM__SH3BP1,94,44,0.94
TPM__SNTA1,93,43,0.93
TPM__PSAP,93,43,0.93
TPM__HELB,92,42,0.92
METH__ZNF790,90,40,0.9
TPM__BMS1P23,90,40,0.9
TPM__IL2RG,85,35,0.85
METH__CBFB,81,31,0.81
TPM__OPHN1,81,31,0.81
TPM__GMIP,80,30,0.8
TPM__SELPLG,79,29,0.79
TPM__LYL1,79,29,0.79
TPM__RPL29,77,27,0.77
TPM__TRABD,76,26,0.76
TPM__FERMT3,75,25,0.75
TPM__ENC1,69,19,0.69
TPM__TRNP1,69,19,0.69
TPM__MYO1F,68,18,0.68
METH__RASSF1,67,18,0.67
METH__LOH3CR2A,66,16,0.66
TPM__PEA15,66,17,0.66
TPM__AAMDC,66,17,0.66
TPM__DDN,66,17,0.66
METH__C7orf23,62,15,0.62
METH__MGAT1,62,13,0.62
TPM__PVR,61,12,0.61
TPM__IL21R,61,13,0.61
TPM__TCEAL1,61,11,0.61
TPM__TNFAIP8,61,12,0.61
METH__IL10,60,10,0.6
METH__RALGDS,60,11,0.6
TPM__RPL3,59,11,0.59
TPM__ITGB5,58,9,0.58
TPM__RHEB,58,9,0.58
TPM__SLC38A5,58,9,0.58
TPM__LMAN2L,58,9,0.58
TPM__NPTN,55,6,0.55
TPM__ARHGAP29,54,9,0.54
TPM__ENAH,54,6,0.54
TPM__ARHGAP39,54,6,0.54
TPM__NR2F2,53,4,0.53
TPM__POLR1H,53,5,0.53
TPM__FMNL1,51,8,0.51
TPM__ARID5A,48,5,0.48
METH__CDKN2D,46,0,0.46
TPM__LMCD1,46,3,0.46
TPM__PARVA,46,3,0.46
TPM__AK1,45,4,0.45
TPM__PAK4,45,2,0.45
TPM__FLI1,45,3,0.45
METH__PTPN6,45,5,0.45
TPM__TMC8,45,2,0.45
TPM__PTPN21,45,2,0.45
TPM__IL3RA,44,3,0.44
TPM__CFL2,44,2,0.44
TPM__VAMP3,44,2,0.44
TPM__GFI1,43,3,0.43
TPM__SH3BP4,42,0,0.42
METH__GPR39,42,4,0.42
TPM__CETN2,42,5,0.42
TPM__GSTM3,41,1,0.41
METH__FCHO1,41,3,0.41
TPM__EVA1A,41,2,0.41
TPM__MID1,41,3,0.41
METH__CLEC2D,41,0,0.41
METH__EVL,41,0,0.41
METH__PARP10,41,0,0.41
TPM__SGCE,40,2,0.4
TPM__KIF21B,40,1,0.4
METH__WIPF1,40,1,0.4
TPM__ABHD12,40,1,0.4
TPM__LAMB1,39,2,0.39
TPM__GNG12,39,0,0.39
TPM__PINK1,39,0,0.39
METH__SGEF,39,1,0.39
TPM__PTPN22,38,0,0.38
TPM__SNX21,38,1,0.38
TPM__ASAP2,37,2,0.37
METH__CTGF,36,2,0.36
TPM__RPL18A,36,0,0.36
TPM__FARP1,36,2,0.36
TPM__PDZD11,35,1,0.35
TPM__SLC39A13,34,1,0.34
TPM__SEC14L2,34,0,0.34
TPM__TWF1P1,34,1,0.34
TPM__CUEDC1,34,0,0.34
METH__TMEM149,34,0,0.34
TPM__IL13RA1,33,0,0.33
TPM__ARHGAP30,33,1,0.33
TPM__SNX24,33,1,0.33
TPM__CYTIP,33,1,0.33
TPM__PLS3,33,1,0.33
TPM__EAF2,32,0,0.32
METH__FEZF1,32,0,0.32
TPM__FNBP1L,32,1,0.32
METH__PTPN14,32,2,0.32
METH__LOC283404,31,0,0.31
METH__PARD6G,31,1,0.31
TPM__TNFAIP1,31,1,0.31
METH__RPS6KA1,31,1,0.31
METH__MIPOL1,31,1,0.31
TPM__GRAMD2B,30,0,0.3
TPM__OBSL1,30,2,0.3
TPM__NAV2,30,0,0.3
TPM__S100A13,30,0,0.3
TPM__PLCG2,29,1,0.29
TPM__MATN2,29,3,0.29
TPM__ETNK2,29,0,0.29
TPM__ALOX5AP,29,2,0.29
TPM__SLC1A3-AS1,29,0,0.29
METH__FAM84A,28,0,0.28
TPM__ITGAV,28,1,0.28
TPM__SNX12,28,2,0.28
METH__MIR150,28,0,0.28
TPM__DOCK8,28,0,0.28
TPM__RAI14,28,1,0.28
TPM__RPS6,28,1,0.28
METH__PLCB2,27,0,0.27
TPM__TRAF3IP3,27,1,0.27
METH__CCDC88B,27,0,0.27
TPM__NRROS,27,0,0.27
TPM__PCYOX1,26,1,0.26
TPM__RPS8,26,0,0.26
TPM__SDC3,26,0,0.26
METH__RUFY1,25,2,0.25
TPM__WFS1,25,1,0.25
TPM__ZNF112,25,0,0.25
METH__RHOH,25,0,0.25
TPM__SPR,25,0,0.25
TPM__ALDH7A1,25,0,0.25
TPM__MORN2,24,1,0.24
TPM__CALU,24,0,0.24
TPM__EPHX1,24,1,0.24
METH__AGXT2L2,24,1,0.24
METH__MARVELD3,23,0,0.23
TPM__DOCK1,23,0,0.23
METH__NLRP14,23,0,0.23
METH__FAT1,23,0,0.23
TPM__TSPAN9,23,1,0.23
TPM__NRBP2,23,1,0.23
TPM__SMARCA1,22,1,0.22
TPM__TPM1,22,0,0.22
METH__CEBPE,22,0,0.22
TPM__HVCN1,22,0,0.22
TPM__KDELR3,22,0,0.22
TPM__AGAP1,22,0,0.22
TPM__PSTPIP1,21,1,0.21
TPM__CYTH4,21,1,0.21
TPM__RND3,21,0,0.21
TPM__TUBB2A,21,0,0.21
TPM__PTK2B,21,0,0.21
TPM__CKAP4,21,0,0.21
METH__CCDC12,20,0,0.2
TPM__CAP2,20,2,0.2
TPM__TSPAN17,20,3,0.2
TPM__SEC31B,20,2,0.2
TPM__GRK2,20,0,0.2
METH__MLL2,20,1,0.2
TPM__DOCK2,20,0,0.2
METH__CENPH,20,0,0.2
TPM__DDAH1,20,4,0.2
METH__LOC100233209,19,0,0.19
TPM__TBC1D9,19,2,0.19
TPM__ITGB1,19,0,0.19
METH__AGAP2,19,0,0.19
METH__SHC2,19,0,0.19
TPM__CDC42BPB,19,0,0.19
METH__CXCR3,19,0,0.19
TPM__PLEKHA1,19,0,0.19
TPM__THBS1,18,1,0.18
TPM__MAP4K3,18,0,0.18
TPM__ID1,18,0,0.18
TPM__RPL13A,18,3,0.18
TPM__RIN2,18,2,0.18
METH__ERRFI1,18,0,0.18
TPM__AKNA,18,3,0.18
TPM__SLC35D2,18,0,0.18
TPM__ARPC1A,18,3,0.18
TPM__VAV1,18,6,0.18
METH__PCDH7,17,1,0.17
TPM__LTBP3,17,1,0.17
TPM__SERTAD4-AS1,17,3,0.17
TPM__ICAM2,17,2,0.17
METH__AK1,17,3,0.17
TPM__KCNAB2,17,0,0.17
METH__ALOX5AP,17,0,0.17
METH__ZNF462,17,1,0.17
METH__ADAMTS9,17,0,0.17
TPM__LAPTM4A,17,0,0.17
TPM__MID2,17,1,0.17
TPM__MPP3,17,3,0.17
TPM__LCP1,17,1,0.17
METH__THBS1,16,0,0.16
METH__EIF3K,16,0,0.16
TPM__KIF3B,16,2,0.16
TPM__PFN2,16,0,0.16
METH__SLA2,16,0,0.16
METH__NR2F2,16,0,0.16
METH__ARHGEF10,16,0,0.16
TPM__ARHGAP9,16,0,0.16
TPM__MET,16,0,0.16
METH__GCET2,16,5,0.16
TPM__RTL8C,16,0,0.16
METH__PROCA1,16,0,0.16
TPM__SETDB2,16,0,0.16
TPM__CCDC69,16,4,0.16
TPM__DLG5,16,0,0.16
TPM__FCHO1,16,4,0.16
