feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__LCMT1-AS1,99,49,0.99,0.11999999731779099,-0.36,0.04,True,1.0
TPM__BCL2L1,95,45,0.95,0.14000000059604645,0.36,0.07,True,0.458
TPM__TAF4B,91,41,0.91,0.17000000178813934,-0.42,0.07,False,0.002
TPM__SH3BP4,91,41,0.91,0.12999999523162842,0.32,0.12,False,0.002
TPM__ADAT2,86,36,0.86,0.14000000059604645,-0.37,0.09,False,0.0
TPM__PTTG1IP,82,32,0.82,0.1599999964237213,0.4,0.04,False,0.0
TPM__DNAJB2,80,30,0.8,0.11999999731779099,0.32,0.07,False,0.0
TPM__ABHD12,78,28,0.78,0.12999999523162842,0.35,0.09,False,0.0
TPM__RIPK4,77,27,0.77,0.11999999731779099,0.35,0.11,False,0.0
TPM__MIR3936HG,77,27,0.77,0.11999999731779099,0.32,0.02,False,0.0
TPM__TIMP2,75,25,0.75,0.11999999731779099,0.33,0.07,False,0.0
TPM__CSK,70,20,0.7,0.12999999523162842,-0.34,0.0,False,0.0
TPM__CUEDC1,69,19,0.69,0.20000000298023224,0.44,0.11,False,0.0
TPM__NKILA,68,18,0.68,0.11999999731779099,0.36,0.08,False,0.0
TPM__CD37,68,18,0.68,0.17000000178813934,-0.37,0.14,False,0.0
METH__KRT39,65,16,0.65,0.12999999523162842,0.36,0.12,False,0.0
TPM__FERMT3,62,15,0.62,0.11999999731779099,-0.21,0.08,False,0.0
TPM__POLR1H,61,12,0.61,0.14000000059604645,-0.37,0.08,False,0.0
METH__NHLRC1,61,13,0.61,0.10999999940395355,-0.33,0.06,False,0.0
METH__FEZF1,59,9,0.59,0.11999999731779099,-0.33,0.1,False,0.002
TPM__VAPB,59,9,0.59,0.12999999523162842,0.35,0.11,False,0.002
TPM__RPS6,59,11,0.59,0.14000000059604645,-0.36,0.03,False,0.0
TPM__OCLN,57,8,0.57,0.12999999523162842,0.36,0.12,False,0.013
TPM__NOS1AP,57,10,0.57,0.11999999731779099,0.37,0.1,False,0.0
TPM__SSH3,56,8,0.56,0.10999999940395355,0.34,0.1,False,0.013
TPM__C1orf226,56,9,0.56,0.12999999523162842,0.38,0.16,False,0.002
TPM__KRT8P3,56,7,0.56,0.12999999523162842,0.4,0.13,True,0.053
TPM__FBXL2,54,9,0.54,0.11999999731779099,0.33,0.09,False,0.002
TPM__PPDPF,53,7,0.53,0.12999999523162842,0.38,0.13,True,0.053
TPM__ZNF185,53,6,0.53,0.11999999731779099,0.37,0.1,True,0.181
TPM__ATP6V1D,53,7,0.53,0.12999999523162842,0.34,0.1,True,0.053
TPM__LRATD2,52,6,0.52,0.12999999523162842,0.37,0.14,True,0.181
TPM__FTH1,51,4,0.51,0.11999999731779099,0.35,0.08,True,0.832
TPM__SYS1,51,5,0.51,0.10999999940395355,0.32,0.06,True,0.458
TPM__KRT80,51,6,0.51,0.11999999731779099,0.38,0.09,True,0.181
TPM__SVIL,51,5,0.51,0.14000000059604645,0.37,0.16,True,0.458
TPM__NPTN,50,8,0.5,0.15000000596046448,0.4,0.08,False,0.013
TPM__PTPRK,50,5,0.5,0.12999999523162842,0.31,0.12,True,0.458
TPM__PSAP,49,4,0.49,0.11999999731779099,0.35,0.09,True,0.832
TPM__CYTH4,49,6,0.49,0.11999999731779099,-0.22,0.15,True,0.181
TPM__BCL9L,47,2,0.47,0.10999999940395355,0.33,0.09,True,1.0
TPM__HDAC11,47,3,0.47,0.1599999964237213,0.38,0.11,True,0.992
METH__SNUPN,47,2,0.47,0.12999999523162842,0.36,0.08,True,1.0
TPM__QARS1,47,1,0.47,0.10999999940395355,-0.35,0.04,True,1.0
TPM__RSL24D1,47,1,0.47,0.11999999731779099,-0.34,0.11,True,1.0
TPM__CD38,46,5,0.46,0.12999999523162842,-0.27,0.09,True,0.458
TPM__PMEPA1,45,1,0.45,0.1599999964237213,0.4,0.11,True,1.0
TPM__PDCD6IP-DT,45,2,0.45,0.10999999940395355,0.34,0.14,True,1.0
TPM__PTPN22,44,3,0.44,0.15000000596046448,-0.29,0.1,True,0.992
TPM__TNKS1BP1,43,4,0.43,0.12999999523162842,0.37,0.1,True,0.832
TPM__RAB22A,43,2,0.43,0.11999999731779099,0.33,0.11,True,1.0
TPM__CTSV,42,1,0.42,0.11999999731779099,0.36,0.08,True,1.0
METH__CD22,42,2,0.42,0.10999999940395355,0.31,0.08,True,1.0
TPM__NHSL3,42,4,0.42,0.17000000178813934,0.39,0.11,True,0.832
TPM__ARHGEF17,40,2,0.4,0.11999999731779099,0.3,0.09,True,1.0
METH__C21orf125,39,2,0.39,0.12999999523162842,0.35,0.12,True,1.0
TPM__FAM151B-DT,39,1,0.39,0.10999999940395355,0.33,0.11,True,1.0
TPM__DSTN,39,0,0.39,0.11999999731779099,0.36,0.09,False,
TPM__ARHGAP39,39,0,0.39,0.11999999731779099,0.33,0.04,False,
TPM__PVR,38,2,0.38,0.11999999731779099,0.32,0.11,True,1.0
METH__FERMT3,38,1,0.38,0.15000000596046448,0.34,0.1,True,1.0
TPM__CHMP3,37,3,0.37,0.17000000178813934,0.41,0.11,True,0.992
TPM__PCDH1,36,3,0.36,0.15000000596046448,0.44,0.18,True,0.992
TPM__MRPS18AP1,36,2,0.36,0.11999999731779099,-0.32,0.07,True,1.0
TPM__RPS18,36,1,0.36,0.1599999964237213,-0.39,0.1,True,1.0
TPM__CACFD1,35,1,0.35,0.12999999523162842,0.34,0.06,True,1.0
TPM__SLC2A4RG,35,2,0.35,0.11999999731779099,0.32,0.12,True,1.0
TPM__CCDC9B,33,0,0.33,0.11999999731779099,0.35,0.04,False,
TPM__ITGB5,33,2,0.33,0.11999999731779099,0.33,0.12,True,1.0
METH__B2M,33,2,0.33,0.12999999523162842,0.3,0.08,True,1.0
METH__MIR1252,33,1,0.33,0.12999999523162842,0.34,0.12,True,1.0
METH__GPR39,33,1,0.33,0.11999999731779099,-0.3,0.15,True,1.0
TPM__RPS12,33,1,0.33,0.14000000059604645,-0.35,0.1,True,1.0
