feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
METH__LOC81691,100,50,1.0,0.05000000074505806,-0.15,0.25,True,1.0,unimodal,0.7,True
METH__ERI2,100,50,1.0,0.05000000074505806,-0.14,0.22,True,1.0,unimodal,0.7,True
METH__AHI1,100,50,1.0,0.03999999910593033,-0.26,0.23,True,1.0,unimodal,0.7,True
METH__EFNA5,99,49,0.99,0.03999999910593033,-0.25,0.29,True,1.0,unimodal,0.7,True
METH__C6orf217,99,49,0.99,0.03999999910593033,-0.25,0.23,True,1.0,unimodal,0.7,True
METH__ZNF697,99,49,0.99,0.07000000029802322,-0.23,0.27,True,1.0,unimodal,0.7,True
METH__SNORD97,98,48,0.98,0.0,0.13,0.24,True,1.0,unimodal,0.7,True
METH__C7orf70,98,48,0.98,0.03999999910593033,0.11,0.23,True,1.0,unimodal,0.7,True
METH__RAPH1,97,47,0.97,0.029999999329447746,-0.25,0.23,True,0.992,unimodal,0.7,True
METH__RASA2,95,45,0.95,0.05000000074505806,-0.2,0.22,True,0.458,unimodal,0.7,True
METH__PPAPDC1B,93,43,0.93,0.019999999552965164,-0.18,0.24,True,0.053,unimodal,0.7,True
METH__ARHGEF12,93,43,0.93,0.05000000074505806,-0.18,0.23,True,0.053,unimodal,0.7,True
METH__COG7,92,42,0.92,0.029999999329447746,-0.17,0.24,False,0.013,worst_case,0.8897435897435897,True
CNV__GNAQ,90,40,0.9,0.019999999552965164,0.14,0.22,False,0.0,worst_case,0.8897435897435897,True
METH__PEX7,90,40,0.9,0.029999999329447746,-0.17,0.23,False,0.0,worst_case,0.8897435897435897,True
