feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
CNV__RAD51B,90,41,0.9,0.009999999776482582,0.15,0.23,False,0.002
METH__C1orf212,87,37,0.87,0.009999999776482582,-0.09,0.24,False,0.0
CNV__SIX1,85,35,0.85,0.009999999776482582,0.15,0.24,False,0.0
CNV__ARHGAP5,85,35,0.85,0.009999999776482582,0.16,0.24,False,0.0
CNV__TRIP11,84,34,0.84,0.009999999776482582,0.15,0.24,False,0.0
CNV__TCL1A,84,34,0.84,0.009999999776482582,0.14,0.25,False,0.0
METH__PRMT7,83,33,0.83,0.009999999776482582,0.09,0.22,False,0.0
METH__SNORD92,83,33,0.83,0.009999999776482582,0.07,0.21,False,0.0
METH__TAF1D,81,32,0.81,0.019999999552965164,0.08,0.22,False,0.0
METH__ARPC5,80,30,0.8,0.0,-0.01,0.22,False,0.0
CNV__NIN,80,30,0.8,0.009999999776482582,0.14,0.23,False,0.0
CNV__PEG3,79,30,0.79,0.0,0.05,0.23,False,0.0
CNV__HIF1A,79,31,0.79,0.009999999776482582,0.16,0.22,False,0.0
CNV__NFKBIA,79,30,0.79,0.0,0.15,0.23,False,0.0
CNV__TSHR,78,29,0.78,0.009999999776482582,0.13,0.25,False,0.0
CNV__HSP90AA1,78,28,0.78,0.009999999776482582,0.12,0.24,False,0.0
CNV__MCM3AP,78,30,0.78,0.009999999776482582,-0.01,0.21,False,0.0
CNV__MAX,77,28,0.77,0.009999999776482582,0.15,0.23,False,0.0
CNV__SDC4,77,27,0.77,0.009999999776482582,0.14,0.22,False,0.0
CNV__AJUBA,76,26,0.76,0.009999999776482582,0.14,0.24,False,0.0
CNV__ZFP36L1,75,29,0.75,0.009999999776482582,0.15,0.23,False,0.0
CNV__GOLGA5,75,27,0.75,0.009999999776482582,0.15,0.25,False,0.0
METH__TRMT1,73,26,0.73,0.009999999776482582,-0.01,0.26,False,0.0
CNV__GPHN,73,25,0.73,0.009999999776482582,0.14,0.24,False,0.0
CNV__FBXW7,70,21,0.7,0.009999999776482582,-0.07,0.21,False,0.0
CNV__RPS3A,70,24,0.7,0.009999999776482582,-0.07,0.21,False,0.0
CNV__CHCHD7,69,21,0.69,0.0,0.02,0.23,False,0.0
CNV__BCL11B,68,21,0.68,0.009999999776482582,0.15,0.24,False,0.0
CNV__BIRC3,68,20,0.68,0.009999999776482582,0.15,0.25,False,0.0
CNV__KTN1,67,19,0.67,0.009999999776482582,0.15,0.23,False,0.0
METH__SUCLG1,66,21,0.66,0.0,0.1,0.22,False,0.0
CNV__GATA3,66,20,0.66,0.0,-0.04,0.23,False,0.0
CNV__MAML2,65,18,0.65,0.009999999776482582,0.15,0.22,False,0.0
CNV__TCEA1,65,19,0.65,0.0,0.02,0.23,False,0.0
CNV__TRAF3,65,22,0.65,0.009999999776482582,0.12,0.25,False,0.0
TPM__SNORD10,64,16,0.64,0.0,-0.02,0.21,False,0.0
CNV__CCNB1IP1,62,15,0.62,0.009999999776482582,0.15,0.26,False,0.0
CNV__DICER1,61,18,0.61,0.009999999776482582,0.14,0.24,False,0.0
TPM__TMSB4XP1,60,14,0.6,0.0,0.03,0.24,False,0.0
CNV__NKX2-1,60,16,0.6,0.0,0.16,0.22,False,0.0
CNV__AKT1,59,15,0.59,0.009999999776482582,0.12,0.24,False,0.0
CNV__ZNF331,59,13,0.59,0.0,0.06,0.21,False,0.0
CNV__ARHGEF10,59,15,0.59,0.0,-0.01,0.23,False,0.0
CNV__FLI1,59,14,0.59,0.009999999776482582,0.14,0.22,False,0.0
METH__KIF20B,58,13,0.58,0.009999999776482582,0.08,0.23,False,0.0
CNV__BCL2L12,56,14,0.56,0.0,0.05,0.22,False,0.0
CNV__PLAG1,55,13,0.55,0.0,0.02,0.23,False,0.0
CNV__PLCB4,55,12,0.55,0.0,0.08,0.25,False,0.0
CNV__ARHGAP35,52,15,0.52,0.0,0.02,0.21,False,0.0
METH__EPRS,51,12,0.51,0.0,-0.02,0.22,False,0.0
CNV__KCNJ5,50,12,0.5,0.009999999776482582,0.13,0.23,False,0.0
CNV__HOOK3,50,10,0.5,0.0,0.01,0.23,False,0.0
CNV__SOX17,49,10,0.49,0.0,0.03,0.24,False,0.0
CNV__EHD2,48,8,0.48,0.0,0.03,0.22,False,0.013
CNV__BAX,48,11,0.48,0.0,0.04,0.25,False,0.0
CNV__SFMBT2,47,10,0.47,0.0,-0.04,0.23,False,0.0
METH__FBXL17,47,7,0.47,0.0,0.01,0.23,True,0.053
CNV__FANCM,46,6,0.46,0.009999999776482582,0.13,0.22,True,0.181
CNV__KLF5,46,11,0.46,0.0,0.01,0.22,False,0.0
CNV__CXCR4,46,8,0.46,0.0,0.01,0.23,False,0.013
METH__NGRN,45,7,0.45,0.0,0.05,0.26,True,0.053
METH__ERCC3,45,8,0.45,0.009999999776482582,0.08,0.23,False,0.013
METH__CBLB,45,11,0.45,0.0,0.08,0.25,False,0.0
CNV__LRP1B,44,9,0.44,0.0,0.01,0.21,False,0.002
