feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__SULT1A1,100,50,1.0,0.23000000417232513,-0.41,0.2,True,1.0
TPM__GATA6-AS1,84,34,0.84,0.03999999910593033,0.25,0.11,False,0.0
TPM__RND3,83,33,0.83,0.03999999910593033,0.25,0.03,False,0.0
TPM__SULT1A2,81,31,0.81,0.05999999865889549,-0.21,0.06,False,0.0
TPM__AKAP7,81,31,0.81,0.03999999910593033,-0.13,0.05,False,0.0
METH__SERTAD3,80,30,0.8,0.03999999910593033,0.23,0.06,False,0.0
METH__XPR1,80,30,0.8,0.05000000074505806,0.18,0.15,False,0.0
TPM__HIVEP3,80,30,0.8,0.05000000074505806,0.23,0.05,False,0.0
TPM__DNTTIP1,79,29,0.79,0.07000000029802322,0.26,0.09,False,0.0
TPM__MOCS2-DT,76,26,0.76,0.05000000074505806,0.22,0.02,False,0.0
TPM__CES1,76,26,0.76,0.03999999910593033,-0.05,0.01,False,0.0
METH__MIR140,76,26,0.76,0.03999999910593033,0.17,0.12,False,0.0
TPM__SPTAN1,76,26,0.76,0.03999999910593033,0.15,0.06,False,0.0
TPM__DVL1,74,24,0.74,0.03999999910593033,0.2,0.01,False,0.0
TPM__TUBB4A,73,23,0.73,0.03999999910593033,-0.18,0.02,False,0.0
TPM__CDC26,72,23,0.72,0.03999999910593033,0.16,0.06,False,0.0
METH__HDGF,70,20,0.7,0.03999999910593033,0.23,0.03,False,0.0
METH__CLDN23,67,18,0.67,0.03999999910593033,-0.12,0.03,False,0.0
METH__SLC12A8,66,16,0.66,0.03999999910593033,-0.18,0.04,False,0.0
METH__BLID,65,15,0.65,0.05000000074505806,0.24,0.06,False,0.0
METH__ZNF630,65,15,0.65,0.05999999865889549,-0.21,0.0,False,0.0
METH__ILDR1,62,13,0.62,0.03999999910593033,-0.19,0.02,False,0.0
TPM__ENDOD1,62,12,0.62,0.05999999865889549,0.25,0.02,False,0.0
METH__CLIP1,61,12,0.61,0.05000000074505806,-0.21,0.03,False,0.0
METH__NCOA7,60,11,0.6,0.05000000074505806,0.2,0.01,False,0.0
TPM__ENC1,59,11,0.59,0.03999999910593033,0.24,0.03,False,0.0
TPM__FUT8-AS1,58,10,0.58,0.03999999910593033,0.22,0.08,False,0.0
TPM__QPRT,57,9,0.57,0.07000000029802322,-0.23,0.07,False,0.002
