feature,Selection count,Pair count,CPSS Score
TPM__BCL2L1,100,50,1.0
TPM__ZBED4,97,47,0.97
METH__GPD2,94,44,0.94
TPM__AOPEP,91,41,0.91
METH__MGAT1,90,40,0.9
TPM__PSAP,89,39,0.89
TPM__RASAL2-AS1,87,37,0.87
METH__BCAM,82,32,0.82
TPM__APLP2,81,31,0.81
METH__PDIA5,81,31,0.81
TPM__ANKRD1,79,29,0.79
TPM__LIF-AS2,77,27,0.77
TPM__FHL2,75,25,0.75
TPM__HKDC1,74,24,0.74
TPM__ME2,71,21,0.71
TPM__PCDH1,70,21,0.7
TPM__ANKLE1,63,13,0.63
TPM__S100A10,61,11,0.61
TPM__HDAC11,60,12,0.6
METH__INF2,57,8,0.57
TPM__LAMP1,56,6,0.56
TPM__NTN4,54,7,0.54
TPM__LINC00857,53,6,0.53
TPM__LRRC8E,52,9,0.52
TPM__KRT8P45,51,3,0.51
TPM__ARHGEF6,51,5,0.51
TPM__ERBB2,50,3,0.5
TPM__TMEM265,50,5,0.5
METH__CCDC88B,49,4,0.49
TPM__SEMA3B,49,1,0.49
METH__VTRNA1-2,49,6,0.49
TPM__EPB41L1,49,3,0.49
TPM__EPS8,48,7,0.48
TPM__SMAP2,48,2,0.48
TPM__IL12RB1,47,3,0.47
TPM__GPAT3,47,3,0.47
TPM__DCP2,46,1,0.46
TPM__PLS3,46,3,0.46
TPM__CRIM1-DT,45,2,0.45
TPM__RND3,43,3,0.43
METH__EVL,43,3,0.43
METH__MARVELD2,42,0,0.42
TPM__CTNND1,42,3,0.42
TPM__TINAGL1,42,3,0.42
TPM__AHNAK2,40,1,0.4
METH__CDKN2D,40,3,0.4
TPM__ITGA4,40,1,0.4
TPM__AGAP2,40,1,0.4
METH__MIR765,39,2,0.39
TPM__ANXA4,39,0,0.39
TPM__NPTN,39,0,0.39
TPM__BMS1P23,39,3,0.39
TPM__ADGRG1,38,1,0.38
TPM__PMEPA1,38,3,0.38
METH__CCDC12,38,1,0.38
TPM__CLCF1,38,0,0.38
TPM__CD59,38,3,0.38
TPM__MID1,37,3,0.37
TPM__SEPTIN6,37,1,0.37
TPM__RPL11,37,1,0.37
TPM__CTSA,37,1,0.37
TPM__SH3BP4,36,2,0.36
TPM__SHB,36,2,0.36
TPM__IL13RA1,36,2,0.36
