feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__BCL2,100,50,1.0,0.3700000047683716,-0.45,0.24,True,1.0
TPM__SMIM24,98,48,0.98,0.15000000596046448,-0.29,0.05,True,1.0
TPM__HAUS1,97,47,0.97,0.17000000178813934,-0.37,0.18,True,0.992
TPM__BOK,89,39,0.89,0.1599999964237213,0.34,0.14,False,0.0
TPM__LMO2,89,39,0.89,0.1899999976158142,-0.27,0.16,False,0.0
TPM__FEZ2,89,39,0.89,0.18000000715255737,0.42,0.12,False,0.0
METH__DIABLO,88,38,0.88,0.15000000596046448,0.29,0.17,False,0.0
METH__LOC730811,83,33,0.83,0.27000001072883606,-0.33,0.2,False,0.0
TPM__COQ10B,82,32,0.82,0.15000000596046448,0.37,0.11,False,0.0
TPM__E2F2,82,32,0.82,0.15000000596046448,-0.33,0.18,False,0.0
METH__DGKZ,80,30,0.8,0.20999999344348907,0.41,0.16,False,0.0
TPM__PTGR1,78,28,0.78,0.15000000596046448,0.33,0.14,False,0.0
TPM__LGMN,77,27,0.77,0.1599999964237213,0.24,0.12,False,0.0
TPM__CAV1,75,25,0.75,0.15000000596046448,0.34,0.11,False,0.0
TPM__ANKLE1,74,24,0.74,0.1899999976158142,-0.39,0.16,False,0.0
METH__MIR21,73,23,0.73,0.27000001072883606,-0.42,0.19,False,0.0
METH__GHRLOS,72,22,0.72,0.17000000178813934,0.28,0.16,False,0.0
TPM__ANXA5,72,22,0.72,0.20000000298023224,0.41,0.09,False,0.0
METH__PKM2,71,21,0.71,0.17000000178813934,-0.36,0.13,False,0.0
METH__NACC2,70,20,0.7,0.1599999964237213,-0.33,0.12,False,0.0
METH__DRD3,68,18,0.68,0.15000000596046448,-0.28,0.1,False,0.0
TPM__SLC12A4,65,16,0.65,0.15000000596046448,0.35,0.08,False,0.0
TPM__SYDE1,65,15,0.65,0.18000000715255737,0.42,0.19,False,0.0
TPM__PLEKHN1,64,15,0.64,0.1599999964237213,0.37,0.13,False,0.0
TPM__SATB1,60,11,0.6,0.1899999976158142,-0.38,0.14,False,0.0
TPM__FRMD6,59,13,0.59,0.1899999976158142,0.4,0.1,False,0.0
TPM__ZNF195,59,11,0.59,0.15000000596046448,-0.37,0.11,False,0.0
TPM__BEND5,59,12,0.59,0.20999999344348907,-0.34,0.16,False,0.0
TPM__DCBLD2,58,9,0.58,0.17000000178813934,0.39,0.11,False,0.002
METH__MTMR11,57,10,0.57,0.28999999165534973,-0.41,0.16,False,0.0
METH__ZBTB20,55,8,0.55,0.1599999964237213,-0.38,0.16,False,0.013
TPM__TMBIM1,53,6,0.53,0.18000000715255737,0.34,0.17,True,0.181
TPM__PDE1B,53,6,0.53,0.15000000596046448,-0.3,0.15,True,0.181
TPM__EPB41,53,7,0.53,0.2199999988079071,-0.46,0.21,True,0.053
TPM__SEMA3C,53,4,0.53,0.23000000417232513,0.42,0.15,True,0.832
METH__MT2A,52,7,0.52,0.23000000417232513,-0.44,0.12,True,0.053
TPM__GUSBP9,52,6,0.52,0.15000000596046448,-0.35,0.11,True,0.181
TPM__OSGIN1,51,3,0.51,0.15000000596046448,0.38,0.17,True,0.992
TPM__IFT43,51,5,0.51,0.14000000059604645,0.29,0.1,True,0.458
METH__RASAL2,51,3,0.51,0.18000000715255737,-0.35,0.14,True,0.992
TPM__RNF138,51,5,0.51,0.15000000596046448,-0.33,0.16,True,0.458
TPM__CAPN2,50,5,0.5,0.18000000715255737,0.39,0.14,True,0.458
TPM__HMGA2,50,4,0.5,0.15000000596046448,0.37,0.06,True,0.832
TPM__SERTAD1,49,6,0.49,0.15000000596046448,0.34,0.1,True,0.181
TPM__HDHD2,49,1,0.49,0.17000000178813934,-0.38,0.16,True,1.0
TPM__ECE1,47,4,0.47,0.15000000596046448,0.28,0.09,True,0.832
TPM__VAMP3,47,4,0.47,0.1599999964237213,0.39,0.09,True,0.832
TPM__MBTD1,47,3,0.47,0.17000000178813934,-0.38,0.12,True,0.992
TPM__PTMA,46,1,0.46,0.15000000596046448,-0.35,0.14,True,1.0
METH__JUB,46,4,0.46,0.1899999976158142,-0.39,0.22,True,0.832
TPM__SLAIN1,46,4,0.46,0.1599999964237213,-0.35,0.12,True,0.832
TPM__NACC2,45,2,0.45,0.18000000715255737,0.34,0.14,True,1.0
TPM__ADORA2B,45,3,0.45,0.1599999964237213,0.38,0.09,True,0.992
TPM__CD59,45,0,0.45,0.15000000596046448,0.38,0.16,False,
METH__LGMN,45,0,0.45,0.17000000178813934,-0.25,0.1,False,
TPM__TSPOAP1,43,3,0.43,0.2199999988079071,-0.38,0.16,True,0.992
TPM__ZGRF1,43,1,0.43,0.14000000059604645,-0.34,0.14,True,1.0
TPM__VWCE,43,1,0.43,0.14000000059604645,-0.28,0.11,True,1.0
TPM__GUSBP18,42,4,0.42,0.15000000596046448,-0.36,0.15,True,0.832
METH__NNMT,42,2,0.42,0.1599999964237213,-0.36,0.13,True,1.0
TPM__RFX5-AS1,41,4,0.41,0.15000000596046448,-0.29,0.1,True,0.832
TPM__LINC00938,41,1,0.41,0.17000000178813934,-0.38,0.15,True,1.0
TPM__ZBTB38,41,1,0.41,0.15000000596046448,0.31,0.07,True,1.0
TPM__PPP1R14B-AS1,40,1,0.4,0.17000000178813934,0.39,0.16,True,1.0
TPM__GPR39,40,6,0.4,0.15000000596046448,0.33,0.13,True,0.181
TPM__TWF1,39,3,0.39,0.20000000298023224,0.41,0.13,True,0.992
METH__STK3,39,0,0.39,0.15000000596046448,-0.36,0.14,False,
TPM__SDSL,39,0,0.39,0.1599999964237213,0.36,0.11,False,
TPM__BHLHE40,39,1,0.39,0.17000000178813934,0.33,0.09,True,1.0
TPM__RASAL2,38,1,0.38,0.17000000178813934,0.35,0.09,True,1.0
METH__OSBPL1A,38,0,0.38,0.1599999964237213,-0.32,0.16,False,
TPM__WWTR1,38,1,0.38,0.2800000011920929,0.47,0.16,True,1.0
TPM__TGM2,37,0,0.37,0.14000000059604645,0.37,0.13,False,
TPM__ADGRG6,37,1,0.37,0.17000000178813934,0.37,0.13,True,1.0
METH__CDSN,37,3,0.37,0.17000000178813934,0.36,0.15,True,0.992
TPM__IL6ST,37,0,0.37,0.1599999964237213,0.36,0.1,False,
TPM__ZNF710-AS1,36,3,0.36,0.15000000596046448,-0.35,0.1,True,0.992
TPM__GRK2,36,0,0.36,0.20000000298023224,-0.37,0.09,False,
TPM__FNDC3B,36,0,0.36,0.20000000298023224,0.38,0.1,False,
TPM__RRAS,36,1,0.36,0.2199999988079071,0.4,0.14,True,1.0
METH__TBC1D10C,36,1,0.36,0.1599999964237213,0.31,0.1,True,1.0
TPM__IGF2BP2,35,3,0.35,0.18000000715255737,0.35,0.12,True,0.992
TPM__ARPIN-AP3S2,35,1,0.35,0.18000000715255737,0.32,0.11,True,1.0
METH__RIMBP2,35,0,0.35,0.1899999976158142,-0.34,0.11,False,
METH__LST1,35,0,0.35,0.1599999964237213,0.35,0.04,False,
METH__PIK3CD,34,0,0.34,0.15000000596046448,0.34,0.08,False,
TPM__SH3RF2,34,1,0.34,0.15000000596046448,0.35,0.14,True,1.0
METH__OSMR,34,0,0.34,0.1599999964237213,-0.35,0.13,False,
TPM__YAP1,33,0,0.33,0.3400000035762787,0.46,0.21,False,
TPM__MYCBP2,33,0,0.33,0.17000000178813934,-0.37,0.12,False,
METH__CEBPE,33,1,0.33,0.1899999976158142,0.36,0.1,True,1.0
TPM__CCND1,33,1,0.33,0.1599999964237213,0.27,0.19,True,1.0
METH__RASSF1,33,0,0.33,0.15000000596046448,0.33,0.11,False,
TPM__SNX24,32,0,0.32,0.17000000178813934,0.36,0.12,False,
TPM__ITPRIPL1,32,2,0.32,0.15000000596046448,-0.33,0.14,True,1.0
TPM__S100A11,32,0,0.32,0.1599999964237213,0.36,0.08,False,
TPM__ZNF407-AS1,32,3,0.32,0.15000000596046448,-0.35,0.12,True,0.992
TPM__SATB1-AS1,31,3,0.31,0.18000000715255737,-0.34,0.13,True,0.992
TPM__CAV2,31,0,0.31,0.1899999976158142,0.36,0.12,False,
METH__TSPAN4,31,1,0.31,0.2199999988079071,-0.44,0.19,True,1.0
TPM__PLAAT3,31,1,0.31,0.1599999964237213,0.35,0.11,True,1.0
METH__TEAD1,31,0,0.31,0.18000000715255737,-0.3,0.13,False,
METH__ZBP1,31,1,0.31,0.15000000596046448,0.3,0.09,True,1.0
TPM__CD151,30,0,0.3,0.1899999976158142,0.42,0.16,False,
TPM__GLCCI1,30,0,0.3,0.1599999964237213,-0.38,0.12,False,
TPM__TNFRSF1A,29,1,0.29,0.15000000596046448,0.37,0.15,True,1.0
TPM__ST8SIA4,29,1,0.29,0.17000000178813934,-0.33,0.07,True,1.0
TPM__S100A3,29,2,0.29,0.15000000596046448,0.42,0.11,True,1.0
TPM__RAB32,28,0,0.28,0.17000000178813934,0.39,0.11,False,
TPM__P4HA2,28,0,0.28,0.2199999988079071,0.39,0.12,False,
TPM__PAXBP1-AS1,28,0,0.28,0.15000000596046448,-0.34,0.13,False,
METH__TMEM160,28,0,0.28,0.20000000298023224,-0.39,0.21,False,
TPM__VMP1,28,1,0.28,0.17000000178813934,0.38,0.09,True,1.0
TPM__TOP2B,28,0,0.28,0.15000000596046448,-0.29,0.11,False,
TPM__S100A6,28,0,0.28,0.1899999976158142,0.4,0.18,False,
TPM__NECTIN2,28,0,0.28,0.15000000596046448,0.32,0.11,False,
TPM__MBNL3,27,7,0.27,0.15000000596046448,-0.38,0.1,True,0.053
TPM__PLGLB1,27,2,0.27,0.20000000298023224,-0.37,0.16,True,1.0
TPM__BCAR1,27,0,0.27,0.23999999463558197,0.38,0.12,False,
TPM__TMEM121B,27,0,0.27,0.15000000596046448,-0.26,0.16,False,
TPM__ASPH,27,0,0.27,0.15000000596046448,0.35,0.08,False,
TPM__PLK2,26,0,0.26,0.1899999976158142,0.38,0.15,False,
TPM__KCTD11,26,1,0.26,0.15000000596046448,0.37,0.13,True,1.0
TPM__LIF,26,0,0.26,0.20000000298023224,0.41,0.13,False,
TPM__LDLRAD4,26,8,0.26,0.15000000596046448,-0.3,0.11,False,0.013
TPM__CRIM1,26,0,0.26,0.2199999988079071,0.43,0.14,False,
METH__BIRC2,26,5,0.26,0.15000000596046448,-0.32,0.13,True,0.458
TPM__ANKRD46,26,1,0.26,0.1599999964237213,-0.39,0.11,True,1.0
TPM__KDELR3,25,0,0.25,0.23999999463558197,0.41,0.18,False,
METH__LIMD2,25,2,0.25,0.15000000596046448,0.31,0.08,True,1.0
TPM__LAMB1,25,0,0.25,0.17000000178813934,0.32,0.11,False,
TPM__CTSA,25,1,0.25,0.1599999964237213,0.38,0.13,True,1.0
TPM__LINC00539,25,2,0.25,0.20999999344348907,-0.34,0.13,True,1.0
TPM__TRAF3IP3,24,0,0.24,0.1599999964237213,-0.41,0.16,False,
TPM__C21orf58,23,0,0.23,0.1599999964237213,-0.35,0.13,False,
TPM__ARHGAP9,23,1,0.23,0.2199999988079071,-0.36,0.12,True,1.0
TPM__BCL11A,23,0,0.23,0.1899999976158142,-0.37,0.14,False,
TPM__PLEC,23,0,0.23,0.2199999988079071,0.4,0.15,False,
TPM__TAX1BP3,23,0,0.23,0.1599999964237213,0.39,0.19,False,
TPM__GAS2L1,23,0,0.23,0.17000000178813934,0.37,0.1,False,
TPM__TEAD3,23,0,0.23,0.1599999964237213,0.28,0.11,False,
TPM__YPEL1,23,0,0.23,0.18000000715255737,-0.34,0.13,False,
TPM__TRIP10,23,0,0.23,0.1599999964237213,0.33,0.17,False,
METH__TMEM49,23,0,0.23,0.18000000715255737,-0.33,0.21,False,
METH__GAS2L3,23,0,0.23,0.1599999964237213,-0.33,0.11,False,
TPM__PHLDA2,22,0,0.22,0.18000000715255737,0.34,0.14,False,
TPM__CELSR1,22,1,0.22,0.15000000596046448,0.33,0.14,True,1.0
TPM__H3-3A,22,0,0.22,0.15000000596046448,-0.35,0.15,False,
TPM__EGFR,22,0,0.22,0.1599999964237213,0.36,0.11,False,
TPM__WWTR1-AS1,22,0,0.22,0.1599999964237213,0.45,0.14,False,
TPM__MYO1C,22,0,0.22,0.2800000011920929,0.44,0.16,False,
METH__MIR1200,22,1,0.22,0.1599999964237213,-0.4,0.21,True,1.0
TPM__CARMIL2,22,0,0.22,0.20000000298023224,-0.35,0.16,False,
TPM__TNFRSF13C,22,0,0.22,0.15000000596046448,-0.32,0.13,False,
TPM__KIF13A,21,0,0.21,0.18000000715255737,0.39,0.09,False,
TPM__NIBAN2,21,0,0.21,0.18000000715255737,0.38,0.17,False,
METH__SVOP,21,2,0.21,0.17000000178813934,-0.33,0.12,True,1.0
METH__CCDC60,21,0,0.21,0.1599999964237213,-0.33,0.14,False,
TPM__DLGAP1-AS2,21,0,0.21,0.1599999964237213,0.36,0.13,False,
TPM__MTMR11,21,0,0.21,0.17000000178813934,0.35,0.16,False,
TPM__IL13RA1,21,0,0.21,0.17000000178813934,0.32,0.17,False,
TPM__NBL1,21,0,0.21,0.15000000596046448,0.34,0.12,False,
TPM__CTNNA1,21,0,0.21,0.15000000596046448,0.41,0.14,False,
TPM__SERPINH1,20,2,0.2,0.15000000596046448,0.38,0.16,True,1.0
TPM__RNASEH2B,20,0,0.2,0.17000000178813934,-0.33,0.08,False,
TPM__MET,20,0,0.2,0.1899999976158142,0.35,0.09,False,
TPM__ARHGAP29,20,1,0.2,0.1599999964237213,0.37,0.12,True,1.0
TPM__CBFA2T3,20,2,0.2,0.1599999964237213,-0.31,0.1,True,1.0
TPM__TRAF3IP2-AS1,20,0,0.2,0.17000000178813934,-0.33,0.14,False,
METH__CD22,20,0,0.2,0.17000000178813934,0.33,0.08,False,
TPM__PLCD3,20,0,0.2,0.2199999988079071,0.39,0.16,False,
METH__PRIC285,20,0,0.2,0.2199999988079071,0.35,0.17,False,
TPM__ATP8B1-AS1,20,0,0.2,0.14000000059604645,-0.32,0.1,False,
TPM__SPATS2L,20,0,0.2,0.18000000715255737,0.34,0.1,False,
TPM__BAG3,19,0,0.19,0.25,0.43,0.14,False,
METH__SAAL1,19,1,0.19,0.15000000596046448,-0.31,0.05,True,1.0
TPM__AGAP2,19,2,0.19,0.1899999976158142,-0.37,0.13,True,1.0
TPM__TUBGCP3,19,1,0.19,0.15000000596046448,-0.35,0.09,True,1.0
TPM__ZNF124,19,0,0.19,0.1599999964237213,-0.34,0.15,False,
METH__S100A2,19,0,0.19,0.18000000715255737,-0.37,0.15,False,
TPM__SUMF1,18,5,0.18,0.17000000178813934,0.39,0.16,True,0.458
