feature,Selection count,Pair count,CPSS Score
METH__ZNF697,100,50,1.0
METH__ERCC3,99,49,0.99
METH__AGPHD1,99,49,0.99
METH__PTPN21,99,49,0.99
METH__DNAJC30,99,49,0.99
METH__ZNF230,98,48,0.98
METH__C14orf79,98,48,0.98
METH__MIR1915,98,48,0.98
METH__DUSP6,93,43,0.93
METH__FGGY,93,43,0.93
METH__N4BP2L2,91,41,0.91
METH__HMGCR,91,41,0.91
METH__C7orf70,91,42,0.91
METH__PTGR2,91,41,0.91
METH__SDCBP,90,41,0.9
METH__SLC19A2,89,39,0.89
METH__SCRN3,89,39,0.89
CNV__ETV4,84,35,0.84
CNV__FLT4,84,34,0.84
CNV__NPM1,83,33,0.83
METH__DNAJC24,83,34,0.83
CNV__PDGFRB,79,29,0.79
METH__CINP,77,29,0.77
METH__KIAA1147,77,28,0.77
CNV__BRCA1,77,29,0.77
METH__PTPN12,77,28,0.77
CNV__HOXD13,74,25,0.74
CNV__RASA1,74,25,0.74
CNV__CDK12,73,23,0.73
METH__FAM114A2,73,25,0.73
METH__COG4,73,23,0.73
CNV__NSD1,72,24,0.72
CNV__NIN,72,24,0.72
CNV__APC,71,23,0.71
CNV__PMS1,71,24,0.71
METH__DCDC1,68,20,0.68
CNV__EFTUD2,68,21,0.68
CNV__UBE2D2,67,21,0.67
CNV__TP53,67,21,0.67
CNV__MAP3K1,66,19,0.66
METH__GTSE1,66,20,0.66
METH__KIF23,66,19,0.66
CNV__CCND2,66,22,0.66
CNV__ITK,65,19,0.65
CNV__DDIT3,65,19,0.65
CNV__TLX3,64,15,0.64
CNV__KDM3B,63,14,0.63
CNV__GAS7,63,17,0.63
CNV__NFE2L2,63,17,0.63
CNV__PER1,62,19,0.62
METH__FOXO3,62,15,0.62
CNV__ZEB1,62,17,0.62
METH__CGRRF1,61,15,0.61
CNV__USP6,61,15,0.61
CNV__AFF4,61,17,0.61
CNV__CANT1,61,17,0.61
METH__PTCD2,60,14,0.6
METH__C10orf75,60,13,0.6
METH__MVK,60,18,0.6
METH__SYAP1,60,16,0.6
METH__MRPS27,59,11,0.59
CNV__PAX8,59,14,0.59
CNV__FAT2,59,14,0.59
CNV__FGFR4,59,15,0.59
CNV__CD74,58,15,0.58
METH__EPRS,58,14,0.58
CNV__IRF1,58,18,0.58
CNV__EBF1,58,15,0.58
CNV__LOX,57,10,0.57
METH__EIF1AX,57,15,0.57
METH__TMEM111,57,14,0.57
METH__PGM2,56,17,0.56
METH__CCNB1,56,14,0.56
CNV__PEG3,55,16,0.55
CNV__CD58,55,14,0.55
METH__ZDHHC17,54,10,0.54
CNV__RBM15,53,14,0.53
CNV__IL6ST,53,11,0.53
CNV__STRN,53,13,0.53
CNV__NCOA4,51,13,0.51
CNV__ZNF384,50,11,0.5
METH__OSBPL8,50,7,0.5
METH__ADAT1,49,11,0.49
CNV__U2AF2,49,10,0.49
