feature,Selection count,Pair count,CPSS Score
TPM__GULP1,99,49,0.99
TPM__WFS1,90,40,0.9
TPM__APLP2,90,40,0.9
TPM__KDM2B,85,35,0.85
TPM__MOB3A,84,34,0.84
TPM__SEPTIN6,81,31,0.81
TPM__PSTPIP1,81,31,0.81
TPM__EPN2,78,28,0.78
TPM__CYTH4,77,27,0.77
TPM__PTPRF,77,27,0.77
METH__NIN,76,26,0.76
TPM__PLPP2,76,26,0.76
TPM__GMIP,73,23,0.73
TPM__AGRN,70,20,0.7
METH__MIR339,70,21,0.7
TPM__LYL1,70,21,0.7
TPM__ALS2CL,69,19,0.69
TPM__GPSM3,68,18,0.68
TPM__SCNN1A,68,19,0.68
TPM__PKP2,68,18,0.68
TPM__PPP1R26-AS1,66,16,0.66
METH__RASSF1,66,16,0.66
TPM__TACC2,65,15,0.65
TPM__TMEM131L,63,13,0.63
TPM__KRT18,60,10,0.6
TPM__KCNAB2,59,12,0.59
TPM__WASL,58,9,0.58
TPM__SRGAP1,58,11,0.58
TPM__SLC35D2,58,12,0.58
TPM__MAP4K3,57,11,0.57
TPM__CCND1,55,7,0.55
METH__MAL2,55,9,0.55
METH__SRGN,53,7,0.53
METH__CD1C,53,7,0.53
TPM__TEAD3,53,8,0.53
TPM__CHMP3,53,9,0.53
METH__CDKN2D,52,6,0.52
METH__SNX7,52,7,0.52
METH__LIMD2,51,7,0.51
TPM__TMEM54,50,5,0.5
METH__ACLY,50,4,0.5
TPM__DUSP3,50,6,0.5
TPM__HCLS1,50,7,0.5
METH__NCRNA00111,49,5,0.49
METH__NCRNA00203,48,8,0.48
TPM__RND3,48,8,0.48
METH__GSPT1,48,5,0.48
TPM__ATP1B1,48,5,0.48
METH__PXN,47,3,0.47
METH__PTGFRN,47,4,0.47
TPM__CAPN2,47,2,0.47
TPM__EPS8L2,45,4,0.45
METH__RPS6KA1,44,4,0.44
METH__PIGM,43,1,0.43
TPM__SMAP2,42,4,0.42
TPM__ANKLE1,42,2,0.42
TPM__ATP9A,42,4,0.42
METH__PSD4,41,4,0.41
TPM__THAP10,41,1,0.41
TPM__ITGA3,41,2,0.41
TPM__ARHGEF6,40,2,0.4
TPM__BCAR1,40,2,0.4
TPM__TRAC,40,2,0.4
TPM__RHPN2,40,0,0.4
TPM__CDC42BPB,39,0,0.39
TPM__CD38,39,1,0.39
TPM__GPR39,39,0,0.39
METH__ITGAL,39,3,0.39
METH__LAPTM4A,38,3,0.38
METH__LCA5,38,0,0.38
METH__AFAP1,38,0,0.38
METH__NCKAP1,37,1,0.37
METH__SLA2,37,0,0.37
TPM__CUEDC1,37,1,0.37
TPM__PLEKHA1,37,4,0.37
TPM__EPS8,37,0,0.37
TPM__PLS3,36,0,0.36
METH__DDAH1,36,2,0.36
METH__MGAT1,36,0,0.36
METH__LAG3,35,2,0.35
METH__TBC1D10C,35,1,0.35
METH__BOK,35,1,0.35
TPM__AKNA,35,0,0.35
METH__LNPEP,35,2,0.35
TPM__CDC42EP4,35,0,0.35
METH__AGAP2,34,1,0.34
TPM__DLG5,34,1,0.34
METH__RAB27B,34,1,0.34
TPM__KLF3,34,1,0.34
TPM__ITGB5,34,0,0.34
METH__PRSS23,34,1,0.34
METH__GPR126,34,4,0.34
TPM__KLF4,34,0,0.34
METH__GPR171,34,0,0.34
METH__TERF1,32,0,0.32
TPM__BAIAP2,32,0,0.32
TPM__SHTN1,32,0,0.32
TPM__BOK,32,0,0.32
METH__MIPOL1,31,0,0.31
TPM__PIK3AP1,31,0,0.31
TPM__TPD52L1,31,2,0.31
METH__B2M,31,0,0.31
METH__LAMB1,30,0,0.3
TPM__GNG12,30,0,0.3
TPM__INPP5D,30,0,0.3
TPM__PCDH1,29,2,0.29
TPM__TMEM144,29,1,0.29
METH__RAVER1,29,0,0.29
METH__C16orf54,29,0,0.29
METH__YOD1,29,0,0.29
TPM__KIAA1671,29,0,0.29
METH__EVL,28,0,0.28
TPM__ASPH,28,1,0.28
METH__B4GALT1,28,1,0.28
TPM__RASSF2,27,10,0.27
METH__ITGA4,27,2,0.27
TPM__CTBP2,27,0,0.27
METH__RUFY1,27,0,0.27
METH__MAGI1,27,0,0.27
TPM__SOX13,27,1,0.27
METH__MAP4K1,27,2,0.27
TPM__PHLDA2,26,0,0.26
TPM__ITGA4,26,0,0.26
METH__MLL2,26,3,0.26
TPM__TRAF3IP3,26,0,0.26
METH__U2AF1L4,26,1,0.26
TPM__TLCD1,25,3,0.25
TPM__SNX7,25,0,0.25
TPM__NHERF2,25,10,0.25
METH__KCNK1,25,1,0.25
METH__GPR125,25,0,0.25
METH__MIR765,24,1,0.24
METH__PIP5K1A,24,3,0.24
TPM__IL21R,24,0,0.24
TPM__APBB1IP,24,0,0.24
TPM__DAG1,24,0,0.24
TPM__WWC1,24,3,0.24
TPM__ARHGAP25,24,7,0.24
TPM__SHB,24,0,0.24
TPM__TPBG,23,3,0.23
METH__EPHA2,23,4,0.23
METH__PIK3CD,23,2,0.23
TPM__NR2F2,23,1,0.23
METH__NFIB,23,1,0.23
METH__ACTN1,23,0,0.23
TPM__EPHX1,23,8,0.23
TPM__PPIC,23,1,0.23
METH__LOC283663,23,0,0.23
METH__GHRLOS,23,0,0.23
METH__APOB48R,23,0,0.23
METH__STAT5A,22,1,0.22
TPM__CD37,22,0,0.22
TPM__RHBDF1,22,0,0.22
TPM__LCP1,22,4,0.22
METH__JAK3,22,0,0.22
METH__SHC2,22,0,0.22
TPM__TRG-AS1,22,1,0.22
TPM__FCHO2,22,0,0.22
TPM__PPP1R16B,22,0,0.22
METH__CAP2,22,0,0.22
TPM__CD276,22,0,0.22
TPM__CTDSPL,21,6,0.21
METH__ANKRD44,21,1,0.21
TPM__FHL2,21,1,0.21
TPM__ERRFI1,21,0,0.21
METH__RGS1,21,4,0.21
METH__SPIRE2,20,0,0.2
TPM__LSP1,20,1,0.2
TPM__GNA11,20,0,0.2
TPM__CXCR4,20,6,0.2
TPM__TBC1D10C,20,0,0.2
TPM__ARPIN-AP3S2,20,2,0.2
TPM__ACAP1,19,0,0.19
METH__LYPD6,19,4,0.19
METH__IL10,19,3,0.19
METH__WWC2,19,0,0.19
TPM__PLCD3,19,6,0.19
METH__C4orf38,19,0,0.19
METH__SCARF1,19,0,0.19
METH__C21orf125,19,1,0.19
TPM__S100A16,19,0,0.19
METH__C8orf75,19,0,0.19
METH__EGLN3,19,2,0.19
METH__DSTN,19,0,0.19
METH__TCF3,19,0,0.19
TPM__TMEM51,19,1,0.19
METH__COBL,19,0,0.19
METH__CD160,18,1,0.18
TPM__DOCK2,18,0,0.18
TPM__ERBB2,18,6,0.18
METH__LTC4S,18,0,0.18
TPM__AJUBA,18,0,0.18
METH__PRSS48,18,5,0.18
METH__PWWP2A,18,2,0.18
TPM__PTPN22,18,3,0.18
TPM__ID1,18,2,0.18
METH__KRI1,18,1,0.18
METH__POU2F2,18,4,0.18
TPM__DDR1,17,0,0.17
TPM__SH2D3C,17,0,0.17
TPM__FLI1,17,2,0.17
METH__BTBD16,17,4,0.17
TPM__FERMT3,17,3,0.17
METH__SASH3,17,6,0.17
TPM__PXK,17,2,0.17
TPM__LAPTM4B,17,0,0.17
TPM__ASAP2,17,2,0.17
TPM__EAF2,17,0,0.17
TPM__AK1,17,3,0.17
TPM__ITGA2,17,1,0.17
TPM__HDAC11,17,0,0.17
TPM__GPC1,17,2,0.17
METH__FUT7,16,0,0.16
TPM__SLC2A5,16,2,0.16
TPM__F2RL1,16,1,0.16
METH__ITPK1,16,1,0.16
TPM__TNFRSF13C,16,1,0.16
METH__ZFP112,16,3,0.16
