feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__BCL2L1,95,45,0.95,0.07999999821186066,0.27,0.03,True,0.458
TPM__PTTG1IP,92,42,0.92,0.07000000029802322,0.26,0.1,False,0.013
METH__C21orf7,91,41,0.91,0.05999999865889549,0.24,0.04,False,0.002
METH__CFD,84,34,0.84,0.07000000029802322,0.25,0.06,False,0.0
TPM__GMIP,82,32,0.82,0.07000000029802322,-0.23,0.08,False,0.0
TPM__H2AJ,82,32,0.82,0.07000000029802322,0.28,0.08,False,0.0
TPM__PCDH7,81,31,0.81,0.05999999865889549,0.26,0.02,False,0.0
TPM__ACP7,80,30,0.8,0.07999999821186066,0.25,0.14,False,0.0
TPM__CTNND1,79,29,0.79,0.05999999865889549,0.25,0.07,False,0.0
TPM__RIOK1,78,28,0.78,0.07000000029802322,-0.23,0.03,False,0.0
METH__CD48,77,27,0.77,0.07999999821186066,0.28,0.04,False,0.0
TPM__PPIC,76,26,0.76,0.05999999865889549,0.19,0.02,False,0.0
TPM__WFDC2,74,25,0.74,0.07000000029802322,0.24,0.06,False,0.0
TPM__LAMC2,74,24,0.74,0.05999999865889549,0.23,0.05,False,0.0
TPM__APLP2,73,23,0.73,0.07999999821186066,0.26,0.08,False,0.0
METH__LIPH,71,21,0.71,0.05999999865889549,-0.23,0.04,False,0.0
TPM__RFTN1,70,20,0.7,0.07000000029802322,-0.25,0.04,False,0.0
TPM__NPTN,69,19,0.69,0.05999999865889549,0.25,0.06,False,0.0
TPM__MST1R,67,17,0.67,0.05999999865889549,0.21,0.01,False,0.0
TPM__KRT80,66,17,0.66,0.05999999865889549,0.23,0.08,False,0.0
TPM__RASAL2-AS1,65,16,0.65,0.07000000029802322,0.26,0.06,False,0.0
TPM__RPL18A,64,16,0.64,0.05999999865889549,-0.25,0.06,False,0.0
TPM__SDR16C5,64,15,0.64,0.05999999865889549,0.22,0.14,False,0.0
TPM__LINC02595,64,16,0.64,0.07999999821186066,0.26,0.07,False,0.0
TPM__CTDP1,63,15,0.63,0.07000000029802322,-0.24,0.03,False,0.0
TPM__NPAS2,63,13,0.63,0.07999999821186066,0.28,0.05,False,0.0
TPM__RNF122,62,13,0.62,0.07000000029802322,-0.27,0.06,False,0.0
METH__BCL9L,60,11,0.6,0.05999999865889549,-0.22,0.07,False,0.0
TPM__GPR39,60,11,0.6,0.05999999865889549,0.24,0.04,False,0.0
