feature,Selection count,Pair count,CPSS Score
METH__C9orf150,100,50,1.0
MUT__KRAS,99,49,0.99
METH__ZNF697,96,46,0.96
CNV__PAK2,95,45,0.95
MUT__PTEN,92,42,0.92
CNV__ZMYM2,91,41,0.91
METH__CMTM1,88,38,0.88
CNV__NFKBIA,88,38,0.88
CNV__NKX2-1,87,37,0.87
TPM__SNORA2B,85,35,0.85
CNV__KRAS,83,33,0.83
CNV__ARHGAP5,82,33,0.82
TPM__SNORA16B,81,31,0.81
CNV__TERT,80,32,0.8
CNV__BCL9L,78,29,0.78
CNV__SALL4,78,30,0.78
TPM__SNORA72,77,28,0.77
CNV__PLCB4,77,30,0.77
METH__DDX50,76,27,0.76
CNV__STRN,76,27,0.76
CNV__LATS2,76,28,0.76
CNV__POU2AF1,76,26,0.76
TPM__SNORA80A,72,23,0.72
METH__CLASP1,72,24,0.72
CNV__EML4,72,24,0.72
CNV__PICALM,71,25,0.71
TPM__SNORA20,71,24,0.71
CNV__HGF,71,22,0.71
CNV__ABCB1,71,23,0.71
CNV__KMT2A,70,27,0.7
CNV__KCNJ5,69,21,0.69
CNV__TFG,68,18,0.68
CNV__FLI1,67,20,0.67
CNV__DDX6,67,21,0.67
CNV__PAFAH1B2,67,21,0.67
METH__EIF3E,66,17,0.66
CNV__SIRPA,64,18,0.64
METH__POLB,63,17,0.63
CNV__FOXA1,63,18,0.63
TPM__SNORA71D,62,21,0.62
TPM__RNA5SP187,61,17,0.61
CNV__BRCA2,61,18,0.61
CNV__CCNB1IP1,61,14,0.61
CNV__NSD1,60,13,0.6
CNV__DHX9,60,13,0.6
CNV__ZBTB16,59,17,0.59
CNV__SDHD,58,16,0.58
CNV__PARP4,57,13,0.57
CNV__GOLGA5,56,13,0.56
CNV__TRIP11,56,11,0.56
CNV__ETNK1,56,14,0.56
CNV__PSIP1,56,13,0.56
CNV__CD274,55,15,0.55
CNV__ARHGEF12,55,17,0.55
METH__TMEM44,55,12,0.55
CNV__MLLT3,55,12,0.55
METH__RPS6KA4,55,10,0.55
CNV__SOHLH2,53,12,0.53
CNV__MEN1,52,8,0.52
CNV__EPHA7,52,12,0.52
