feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__PYGB,96,46,0.96,0.10999999940395355,0.32,0.12,True,0.832
TPM__SLC38A5,93,43,0.93,0.12999999523162842,-0.34,0.08,True,0.053
METH__PSTK,86,36,0.86,0.11999999731779099,-0.33,0.06,False,0.0
TPM__ELMO1,83,33,0.83,0.1899999976158142,-0.4,0.17,False,0.0
METH__SORT1,77,27,0.77,0.11999999731779099,-0.34,0.15,False,0.0
TPM__PSTPIP1,75,25,0.75,0.17000000178813934,-0.4,0.18,False,0.0
METH__ST8SIA4,75,25,0.75,0.11999999731779099,0.36,0.07,False,0.0
TPM__KRT8P45,74,24,0.74,0.14000000059604645,0.4,0.08,False,0.0
TPM__RFTN1,72,22,0.72,0.11999999731779099,-0.33,0.08,False,0.0
TPM__SELPLG,71,22,0.71,0.12999999523162842,-0.22,0.14,False,0.0
METH__PTPN22,68,18,0.68,0.10999999940395355,0.32,0.1,False,0.0
METH__TCF3,67,17,0.67,0.10999999940395355,0.37,0.14,False,0.0
TPM__FAM151B-DT,67,17,0.67,0.10999999940395355,0.31,0.07,False,0.0
TPM__ARHGAP5-AS1,62,13,0.62,0.11999999731779099,0.36,0.09,False,0.0
METH__MYH14,62,13,0.62,0.14000000059604645,-0.34,0.09,False,0.0
METH__MTOR,61,14,0.61,0.11999999731779099,-0.34,0.14,False,0.0
METH__KRI1,60,11,0.6,0.12999999523162842,0.31,0.14,False,0.0
METH__VAV1,60,13,0.6,0.11999999731779099,0.37,0.17,False,0.0
TPM__GRTP1,59,12,0.59,0.10999999940395355,0.33,0.12,False,0.0
TPM__SNX21,58,10,0.58,0.10999999940395355,0.29,0.12,False,0.0
TPM__LGMN,58,9,0.58,0.10999999940395355,0.27,0.07,False,0.002
METH__ST6GALNAC4,57,7,0.57,0.10999999940395355,0.34,0.15,True,0.053
TPM__CYTH4,57,9,0.57,0.14000000059604645,-0.27,0.14,False,0.002
TPM__PRR15,57,8,0.57,0.11999999731779099,0.32,0.11,False,0.013
METH__ZSCAN2,56,7,0.56,0.11999999731779099,-0.34,0.07,True,0.053
TPM__KLF4,56,8,0.56,0.1599999964237213,0.41,0.13,False,0.013
TPM__PIK3CG,55,8,0.55,0.12999999523162842,-0.3,0.11,False,0.013
TPM__MGAT4B,55,7,0.55,0.11999999731779099,0.38,0.17,True,0.053
TPM__MOB3A,55,10,0.55,0.12999999523162842,-0.34,0.11,False,0.0
TPM__TOM1L1,55,7,0.55,0.12999999523162842,0.26,0.13,True,0.053
TPM__KDM2B,54,9,0.54,0.10999999940395355,-0.33,0.06,False,0.002
TPM__SH3BP4,52,6,0.52,0.12999999523162842,0.29,0.14,True,0.181
TPM__EPB41L4B,51,3,0.51,0.11999999731779099,0.34,0.06,True,0.992
TPM__HDAC11,51,4,0.51,0.1599999964237213,0.38,0.11,True,0.832
TPM__NPAS2,51,4,0.51,0.12999999523162842,0.37,0.12,True,0.832
METH__GPR126,51,6,0.51,0.14000000059604645,-0.39,0.14,True,0.181
TPM__SH3TC2,51,5,0.51,0.10999999940395355,0.37,0.09,True,0.458
TPM__TMEM139,50,4,0.5,0.10999999940395355,0.33,0.06,True,0.832
METH__THBS1,50,3,0.5,0.14000000059604645,-0.3,0.18,True,0.992
TPM__TMEM45B,50,4,0.5,0.11999999731779099,0.33,0.07,True,0.832
METH__TBC1D10C,49,3,0.49,0.11999999731779099,0.34,0.12,True,0.992
TPM__ARHGAP39,49,5,0.49,0.12999999523162842,0.31,0.09,True,0.458
TPM__NECTIN2,49,5,0.49,0.10999999940395355,0.29,0.08,True,0.458
METH__CCDC88B,48,3,0.48,0.11999999731779099,0.29,0.07,True,0.992
TPM__RGL3,48,2,0.48,0.12999999523162842,0.38,0.15,True,1.0
TPM__CARD8-AS1,48,2,0.48,0.10999999940395355,-0.26,0.16,True,1.0
TPM__RIPK4,48,6,0.48,0.11999999731779099,0.35,0.11,True,0.181
METH__ZNF484,48,3,0.48,0.10999999940395355,-0.35,0.07,True,0.992
TPM__RFX5-AS1,48,2,0.48,0.11999999731779099,-0.35,0.04,True,1.0
TPM__LGALS3,47,2,0.47,0.15000000596046448,0.4,0.12,True,1.0
METH__MATN3,46,5,0.46,0.11999999731779099,-0.24,0.12,True,0.458
TPM__PLLP,46,5,0.46,0.11999999731779099,0.38,0.1,True,0.458
