feature,Selection count,Pair count,CPSS Score
TPM__ERRFI1,100,50,1.0
METH__PPIC,100,50,1.0
TPM__IKZF1,100,50,1.0
TPM__LAMB2,100,50,1.0
METH__C2orf60,100,50,1.0
METH__CCM2,100,50,1.0
TPM__CRK,100,50,1.0
TPM__WASL,100,50,1.0
TPM__DOCK1,100,50,1.0
TPM__PLEKHA1,100,50,1.0
METH__AGAP2,100,50,1.0
TPM__MIR142HG,100,50,1.0
TPM__TM4SF1,100,50,1.0
TPM__TRAF3IP3,100,50,1.0
TPM__GPRC5A,100,50,1.0
METH__ACTN1,100,50,1.0
TPM__WAS,100,50,1.0
TPM__TNFRSF12A,100,50,1.0
TPM__DAG1,100,50,1.0
TPM__TMEM51,100,50,1.0
TPM__CAP2,100,50,1.0
TPM__CORO1A-AS1,100,50,1.0
TPM__CD151,100,50,1.0
TPM__SH3D19,100,50,1.0
METH__KITLG,100,50,1.0
TPM__CHMP3,100,50,1.0
TPM__FOXG1,100,50,1.0
METH__SEC14L2,99,49,0.99
METH__NPAS2,99,49,0.99
METH__THBS1,99,49,0.99
METH__MIR1469,97,47,0.97
METH__DSTN,97,47,0.97
METH__LRP6,96,46,0.96
METH__P4HA2,96,46,0.96
METH__ADRA2A,96,46,0.96
METH__NRP1,93,43,0.93
METH__INTU,91,41,0.91
METH__SRGAP1,91,41,0.91
METH__TCEANC,89,39,0.89
METH__ADCY6,89,39,0.89
TPM__RNVU1-28,88,38,0.88
METH__LRIG3,87,37,0.87
METH__ITGB8,87,38,0.87
METH__PTPN14,87,37,0.87
METH__PTGR2,86,37,0.86
TPM__SCARNA22,83,34,0.83
METH__FAM84B,79,30,0.79
MUT__KRAS,77,27,0.77
TPM__SNORA29,76,27,0.76
TPM__SNORA31,75,27,0.75
TPM__SCARNA1,74,25,0.74
METH__BAIAP2,73,25,0.73
TPM__RNA5SP203,69,19,0.69
CNV__KCNJ5,67,19,0.67
METH__KLF4,66,18,0.66
METH__TMEM49,65,20,0.65
CNV__AKT1,64,18,0.64
CNV__FLI1,63,18,0.63
CNV__NFKBIA,63,14,0.63
METH__SLC1A1,62,15,0.62
CNV__RBFOX2,61,14,0.61
TPM__SNORD22,60,18,0.6
METH__ZNF230,59,14,0.59
METH__TEAD4,58,15,0.58
METH__TMEM93,58,12,0.58
METH__FAT1,54,12,0.54
CNV__LIFR,54,13,0.54
CNV__NIN,54,11,0.54
