feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
TPM__SEPTIN6,100,50,1.0,0.20999999344348907,-0.46,0.22,True,1.0,unimodal,0.71,True
TPM__PKD1L2,100,50,1.0,0.14000000059604645,0.5,0.22,True,1.0,unimodal,0.71,True
TPM__IL13RA1,100,50,1.0,0.2199999988079071,0.45,0.25,True,1.0,unimodal,0.71,True
TPM__CEP170B,100,50,1.0,0.25,0.44,0.21,True,1.0,unimodal,0.71,True
TPM__MYOF,100,50,1.0,0.3199999928474426,0.55,0.22,True,1.0,unimodal,0.71,True
TPM__NT5E,100,50,1.0,0.23999999463558197,0.51,0.24,True,1.0,unimodal,0.71,True
TPM__GPR39,100,50,1.0,0.23999999463558197,0.5,0.25,True,1.0,unimodal,0.71,True
METH__PRIC285,100,50,1.0,0.23999999463558197,0.45,0.24,True,1.0,unimodal,0.71,True
TPM__EDN1,100,50,1.0,0.14000000059604645,0.46,0.22,True,1.0,unimodal,0.71,True
TPM__EPHA2-AS1,100,50,1.0,0.18000000715255737,0.52,0.21,True,1.0,unimodal,0.71,True
METH__EIF3K,100,50,1.0,0.25999999046325684,0.45,0.24,True,1.0,unimodal,0.71,True
TPM__CCN1,100,50,1.0,0.30000001192092896,0.54,0.24,True,1.0,unimodal,0.71,True
TPM__ASPH,100,50,1.0,0.2199999988079071,0.5,0.22,True,1.0,unimodal,0.71,True
TPM__CD151,100,50,1.0,0.23000000417232513,0.5,0.24,True,1.0,unimodal,0.71,True
TPM__ANKRD1,100,50,1.0,0.1899999976158142,0.53,0.23,True,1.0,unimodal,0.71,True
TPM__EGFR,100,50,1.0,0.25999999046325684,0.52,0.24,True,1.0,unimodal,0.71,True
TPM__ITGA3,100,50,1.0,0.3199999928474426,0.57,0.24,True,1.0,unimodal,0.71,True
TPM__EPHA2,100,50,1.0,0.3199999928474426,0.56,0.23,True,1.0,unimodal,0.71,True
TPM__ANXA2,100,50,1.0,0.28999999165534973,0.59,0.25,True,1.0,unimodal,0.71,True
TPM__RHBDF1,100,50,1.0,0.2800000011920929,0.48,0.24,True,1.0,unimodal,0.71,True
TPM__AMOTL2,100,50,1.0,0.30000001192092896,0.52,0.23,True,1.0,unimodal,0.71,True
TPM__BCAR3,100,50,1.0,0.27000001072883606,0.52,0.25,True,1.0,unimodal,0.71,True
TPM__PRSS23,100,50,1.0,0.3100000023841858,0.56,0.26,True,1.0,unimodal,0.71,True
TPM__PPIC,100,50,1.0,0.28999999165534973,0.49,0.21,True,1.0,unimodal,0.71,True
TPM__AHNAK2,100,50,1.0,0.28999999165534973,0.55,0.25,True,1.0,unimodal,0.71,True
TPM__DOCK1,100,50,1.0,0.20999999344348907,0.35,0.21,True,1.0,unimodal,0.71,True
TPM__GPRC5A,99,49,0.99,0.27000001072883606,0.54,0.24,True,1.0,unimodal,0.71,True
TPM__SGMS2,99,49,0.99,0.25999999046325684,0.5,0.21,True,1.0,unimodal,0.71,True
TPM__KRT18,99,49,0.99,0.25999999046325684,0.5,0.23,True,1.0,unimodal,0.71,True
TPM__ERRFI1,99,49,0.99,0.23999999463558197,0.49,0.21,True,1.0,unimodal,0.71,True
TPM__MET,99,49,0.99,0.27000001072883606,0.5,0.22,True,1.0,unimodal,0.71,True
TPM__PADI1,99,49,0.99,0.14000000059604645,0.52,0.23,True,1.0,unimodal,0.71,True
TPM__NCKAP1L,98,48,0.98,0.20999999344348907,-0.31,0.22,True,1.0,unimodal,0.71,True
TPM__THSD4,98,48,0.98,0.2199999988079071,0.51,0.22,True,1.0,unimodal,0.71,True
TPM__ABCC3,98,48,0.98,0.20999999344348907,0.49,0.24,True,1.0,unimodal,0.71,True
TPM__MIR22HG,98,48,0.98,0.2199999988079071,0.49,0.21,True,1.0,unimodal,0.71,True
TPM__UACA,98,48,0.98,0.23000000417232513,0.48,0.21,True,1.0,unimodal,0.71,True
TPM__PSTPIP1,97,47,0.97,0.18000000715255737,-0.36,0.21,True,0.992,unimodal,0.71,True
TPM__NIBAN2,97,47,0.97,0.25,0.53,0.24,True,0.992,unimodal,0.71,True
TPM__LINC00857,97,47,0.97,0.20000000298023224,0.49,0.22,True,0.992,unimodal,0.71,True
TPM__NTN4,96,46,0.96,0.23000000417232513,0.52,0.21,True,0.832,unimodal,0.71,True
TPM__LINC03061,96,46,0.96,0.20000000298023224,0.5,0.25,True,0.832,unimodal,0.71,True
TPM__RN7SL689P,96,46,0.96,0.1599999964237213,0.41,0.25,True,0.832,unimodal,0.71,True
METH__INPP5D,95,45,0.95,0.2199999988079071,0.43,0.22,True,0.458,unimodal,0.71,True
TPM__IKZF1,95,45,0.95,0.23999999463558197,-0.37,0.24,True,0.458,unimodal,0.71,True
TPM__BCAR1,95,45,0.95,0.25999999046325684,0.5,0.23,True,0.458,unimodal,0.71,True
TPM__MATN3,94,44,0.94,0.14000000059604645,0.5,0.21,True,0.181,unimodal,0.71,True
TPM__MANBAL,93,43,0.93,0.23999999463558197,0.44,0.24,True,0.053,unimodal,0.71,True
METH__BZRAP1,93,43,0.93,0.23999999463558197,0.42,0.2,True,0.053,unimodal,0.71,True
TPM__MIR142HG,92,42,0.92,0.25,-0.32,0.26,False,0.013,worst_case,0.890745501285347,True
TPM__PTPN21,90,40,0.9,0.1899999976158142,0.43,0.22,False,0.0,worst_case,0.890745501285347,True
TPM__SH2D3C,90,40,0.9,0.20999999344348907,-0.41,0.22,False,0.0,worst_case,0.890745501285347,True
