feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__BCL2L1,100,50,1.0,0.09000000357627869,0.29,0.08,True,1.0
TPM__TNFAIP8,94,44,0.94,0.07000000029802322,-0.23,0.07,True,0.181
METH__LOC84989,93,43,0.93,0.07000000029802322,-0.25,0.07,True,0.053
TPM__ELOVL7,91,41,0.91,0.07000000029802322,0.27,0.06,False,0.002
TPM__MOB3A,91,41,0.91,0.07999999821186066,-0.24,0.05,False,0.002
METH__LHFPL2,89,39,0.89,0.05999999865889549,-0.25,0.02,False,0.0
METH__SPAG17,88,38,0.88,0.07000000029802322,-0.24,0.03,False,0.0
TPM__SMURF2,86,36,0.86,0.07999999821186066,0.28,0.05,False,0.0
TPM__RTN4IP1,85,35,0.85,0.05999999865889549,-0.23,0.1,False,0.0
METH__ONECUT2,85,35,0.85,0.07999999821186066,-0.14,0.14,False,0.0
TPM__NAV2,76,26,0.76,0.07000000029802322,0.25,0.1,False,0.0
METH__ZNF77,76,26,0.76,0.05999999865889549,-0.02,0.09,False,0.0
METH__CNKSR3,74,25,0.74,0.05999999865889549,-0.18,0.07,False,0.0
METH__KPTN,74,24,0.74,0.07000000029802322,0.2,0.11,False,0.0
TPM__L3MBTL2,74,24,0.74,0.07000000029802322,-0.25,0.04,False,0.0
METH__DQX1,74,24,0.74,0.07000000029802322,0.21,0.07,False,0.0
METH__PDGFC,72,22,0.72,0.07999999821186066,-0.26,0.07,False,0.0
TPM__TRAC,70,20,0.7,0.07000000029802322,-0.21,0.06,False,0.0
METH__RGS12,69,21,0.69,0.05999999865889549,0.26,0.04,False,0.0
TPM__GMIP,69,20,0.69,0.07999999821186066,-0.25,0.08,False,0.0
TPM__QRSL1,69,20,0.69,0.07999999821186066,-0.28,0.02,False,0.0
TPM__RASAL2-AS1,68,18,0.68,0.07000000029802322,0.26,0.13,False,0.0
TPM__NAGS,67,17,0.67,0.05999999865889549,0.24,0.03,False,0.0
METH__MIR365-1,67,17,0.67,0.05999999865889549,0.21,0.06,False,0.0
METH__MIR597,66,16,0.66,0.05999999865889549,0.1,0.08,False,0.0
METH__WASL,66,17,0.66,0.07000000029802322,-0.24,0.12,False,0.0
TPM__KLF6,66,17,0.66,0.05999999865889549,0.24,0.03,False,0.0
TPM__PLAT,65,15,0.65,0.05999999865889549,0.26,0.08,False,0.0
TPM__SEMA4A,64,15,0.64,0.07000000029802322,-0.18,0.1,False,0.0
TPM__RFXAP,64,16,0.64,0.07000000029802322,-0.26,0.01,False,0.0
METH__RHOBTB1,63,15,0.63,0.05999999865889549,-0.21,0.03,False,0.0
TPM__ME3,61,12,0.61,0.07000000029802322,0.25,0.07,False,0.0
TPM__GIPC1,61,11,0.61,0.05000000074505806,0.18,0.06,False,0.0
METH__NHLRC1,60,11,0.6,0.05999999865889549,-0.24,0.1,False,0.0
TPM__RTN4,60,13,0.6,0.07000000029802322,0.25,0.05,False,0.0
METH__FHOD3,60,11,0.6,0.05999999865889549,-0.25,0.09,False,0.0
TPM__NPAS2,60,12,0.6,0.07000000029802322,0.25,0.07,False,0.0
TPM__PLXNA1,60,11,0.6,0.05999999865889549,0.21,0.0,False,0.0
TPM__TM4SF1,59,12,0.59,0.05999999865889549,0.21,0.12,False,0.0
TPM__RPS28,59,9,0.59,0.05999999865889549,-0.21,0.11,False,0.002
TPM__ME2,59,11,0.59,0.05999999865889549,-0.25,0.01,False,0.0
TPM__MORN4,58,9,0.58,0.05999999865889549,0.17,0.04,False,0.002
TPM__CDC40,57,10,0.57,0.05999999865889549,-0.23,0.02,False,0.0
TPM__AREG,57,7,0.57,0.07000000029802322,0.24,0.07,True,0.053
METH__TUBB3,56,6,0.56,0.05999999865889549,-0.19,0.08,True,0.181
