feature,Selection count,Pair count,CPSS Score
TPM__SH3BP4,100,50,1.0
TPM__IKZF1,100,50,1.0
TPM__TRNP1,100,50,1.0
TPM__TMEM132A,100,50,1.0
TPM__PSAP,100,50,1.0
METH__FAM113B,100,50,1.0
TPM__ABLIM3,100,50,1.0
TPM__MANBAL,100,50,1.0
TPM__THBS1-IT1,100,50,1.0
TPM__MFNG,100,50,1.0
TPM__KLF4,100,50,1.0
METH__CCM2,100,50,1.0
TPM__PARVA,100,50,1.0
TPM__RCSD1,100,50,1.0
TPM__LAMB2,100,50,1.0
TPM__PPIC,100,50,1.0
TPM__MIR142HG,100,50,1.0
TPM__DOCK1,100,50,1.0
METH__LAMB2,100,50,1.0
TPM__P2RY8,100,50,1.0
TPM__LINC01843,100,50,1.0
TPM__NCKAP1L,100,50,1.0
METH__PSMB8,100,50,1.0
TPM__CTTN,100,50,1.0
TPM__TNS2,100,50,1.0
TPM__NCKAP1,100,50,1.0
TPM__WAS,100,50,1.0
TPM__FAXC,99,49,0.99
METH__TMEM149,99,49,0.99
METH__KRI1,99,49,0.99
METH__MAP1LC3B2,99,49,0.99
TPM__C4BPB,99,49,0.99
TPM__PIK3CG,98,48,0.98
METH__TMEM51,97,47,0.97
METH__LOC100130776,96,46,0.96
TPM__PTPRC,96,46,0.96
METH__GPR39,95,45,0.95
METH__NPAS2,93,43,0.93
TPM__LINC01508,93,43,0.93
METH__PRIC285,92,42,0.92
TPM__PDE1B,91,41,0.91
METH__GULP1,88,38,0.88
METH__FAT1,88,38,0.88
METH__THAP10,87,38,0.87
CNV__ASXL1,80,30,0.8
TPM__MIR200CHG,76,30,0.76
METH__ACTN1,75,26,0.75
METH__NRP1,74,26,0.74
CNV__PTK6,70,21,0.7
TPM__ATP5F1EP2,67,19,0.67
METH__PPIC,59,17,0.59
METH__DSTN,57,13,0.57
CNV__FOXP1,56,13,0.56
METH__SMAD1,54,11,0.54
CNV__PDGFRB,54,14,0.54
TPM__SNORD10,52,9,0.52
METH__SRGAP1,52,12,0.52
METH__NSMCE2,50,6,0.5
CNV__FAT2,50,11,0.5
METH__SRM,46,8,0.46
CNV__CD74,46,5,0.46
METH__GSPT1,44,10,0.44
METH__FRMD5,43,9,0.43
CNV__FUS,42,6,0.42
MUT__KRAS,42,3,0.42
CNV__TLX3,39,6,0.39
CNV__WIF1,36,4,0.36
METH__LRIG3,35,4,0.35
CNV__FGFR4,35,3,0.35
