feature,Selection count,Pair count,CPSS Score
TPM__PDSS2,89,39,0.89
TPM__NUDT18,84,34,0.84
METH__FAM73B,83,33,0.83
TPM__GSR,80,30,0.8
TPM__RPL24P2,79,29,0.79
TPM__MRTFA,72,24,0.72
TPM__LGALSL,72,23,0.72
METH__SRPRB,69,20,0.69
TPM__FOXJ1,60,11,0.6
TPM__SIPA1,59,11,0.59
TPM__MAGED4B,55,8,0.55
TPM__SLC44A5,54,7,0.54
METH__BTLA,54,8,0.54
METH__HDGF,53,8,0.53
METH__C4orf45,53,6,0.53
TPM__TCEAL9,52,6,0.52
METH__B3GNT8,51,3,0.51
TPM__CCDC200,50,7,0.5
TPM__RFXANK,50,5,0.5
TPM__TCF25,45,2,0.45
TPM__RRP7A,45,3,0.45
METH__LPAR4,45,4,0.45
METH__IFI30,44,5,0.44
TPM__CCDC61,42,1,0.42
TPM__MBD2,40,3,0.4
TPM__GPRASP3,39,3,0.39
METH__NIN,36,0,0.36
TPM__SPIN3,35,2,0.35
METH__ZNF124,35,0,0.35
METH__OSBP,35,3,0.35
METH__C21orf7,34,2,0.34
METH__EAF2,33,3,0.33
TPM__NOS1AP,33,0,0.33
TPM__GMIP,31,1,0.31
TPM__MTMR14,30,2,0.3
METH__SASH3,30,3,0.3
METH__GCET2,30,0,0.3
TPM__PLXNA2,29,0,0.29
TPM__MTFP1,29,2,0.29
TPM__DNAJC6,28,0,0.28
TPM__MORN4,27,0,0.27
TPM__DDX41,26,1,0.26
METH__P2RY14,26,1,0.26
TPM__MRPL16,25,0,0.25
METH__MIR339,24,0,0.24
TPM__LCP1,24,1,0.24
TPM__NEURL1,23,3,0.23
METH__KLHL6,22,0,0.22
TPM__NGLY1,21,0,0.21
TPM__ATP9A,21,0,0.21
METH__C17orf87,20,0,0.2
METH__MED12L,20,0,0.2
METH__SNORD17,20,0,0.2
TPM__EFR3B,20,0,0.2
TPM__CCDC69,19,0,0.19
TPM__TSC22D4,19,0,0.19
TPM__ACAP1,19,0,0.19
METH__SLC1A5,19,2,0.19
TPM__SERF2,18,0,0.18
METH__HNRNPC,18,2,0.18
METH__SHMT2,18,6,0.18
TPM__EAF2,18,0,0.18
METH__ASAH2B,18,2,0.18
METH__FCER1G,17,0,0.17
METH__AADAT,17,3,0.17
METH__NKX2-1,16,0,0.16
TPM__ARHGEF6,16,0,0.16
METH__SMG5,16,0,0.16
METH__PI16,16,0,0.16
METH__CAMK2N1,15,2,0.15
METH__C9orf7,15,3,0.15
METH__PIGM,15,1,0.15
METH__PTPN7,14,1,0.14
METH__SLA2,14,0,0.14
TPM__ZNF853,13,1,0.13
TPM__RGS19,13,3,0.13
TPM__PRR13,13,3,0.13
TPM__RHOG,13,0,0.13
METH__TMEM206,13,1,0.13
METH__NR4A3,13,0,0.13
METH__ATP5L2,12,1,0.12
TPM__C1orf226,12,0,0.12
METH__SNAPC5,12,2,0.12
TPM__DOCK8,12,2,0.12
TPM__PLCG2,12,2,0.12
TPM__MAGED4,12,0,0.12
TPM__WAS,11,0,0.11
METH__DENND4B,11,1,0.11
METH__MYO1G,11,0,0.11
TPM__SCG2,11,2,0.11
TPM__LPXN,11,0,0.11
TPM__GM2A,10,1,0.1
TPM__CD38,10,1,0.1
METH__SGEF,10,2,0.1
TPM__NFKB1,10,0,0.1
TPM__ITGB7,9,1,0.09
METH__MIR1284,9,1,0.09
TPM__CD37,9,1,0.09
TPM__BEX2,9,1,0.09
TPM__ATL1,8,1,0.08
TPM__APRT,8,1,0.08
METH__P2RY12,8,1,0.08
TPM__ALOX5AP,8,0,0.08
TPM__RPL18A,8,0,0.08
METH__SNX5,8,2,0.08
TPM__PSMB10,8,0,0.08
METH__TCF3,8,0,0.08
METH__TMEM149,7,0,0.07
TPM__NCF1,7,0,0.07
TPM__ACTB,7,1,0.07
TPM__ARHGAP30,7,0,0.07
METH__IL18BP,7,0,0.07
METH__MIR24-2,7,1,0.07
TPM__EVI2B,6,0,0.06
TPM__DOCK2,6,2,0.06
METH__BBX,6,0,0.06
TPM__GMFG,6,0,0.06
TPM__RPL10A,6,0,0.06
METH__PRDM10,6,1,0.06
TPM__ARPC2,6,0,0.06
METH__CTSZ,6,0,0.06
METH__CARD8,6,0,0.06
METH__ITGA4,5,0,0.05
METH__ANKRD44,5,0,0.05
TPM__ICAM3,5,1,0.05
TPM__ELF1,5,1,0.05
METH__U2AF1L4,5,1,0.05
METH__LAG3,4,0,0.04
METH__STAP1,4,0,0.04
TPM__GPRASP2,4,0,0.04
TPM__PCED1B-AS1,4,1,0.04
METH__MGC29506,4,1,0.04
METH__B2M,4,1,0.04
METH__MIR765,4,0,0.04
METH__FAM113B,4,0,0.04
TPM__APBB1IP,4,0,0.04
METH__LOC100233209,4,0,0.04
METH__LTC4S,4,0,0.04
TPM__MZB1,4,0,0.04
METH__KIAA0427,3,0,0.03
TPM__ZNF112,3,0,0.03
TPM__RHOH,3,0,0.03
METH__CENPM,3,0,0.03
METH__CCDC88B,3,0,0.03
TPM__RPL13,3,0,0.03
METH__IMPAD1,2,0,0.02
METH__TNFRSF13C,2,0,0.02
TPM__CARD8-AS1,2,0,0.02
METH__CFP,2,0,0.02
METH__FERMT3,2,0,0.02
TPM__LAPTM5,2,0,0.02
METH__SRGN,2,0,0.02
METH__GPR171,1,0,0.01
METH__CENPH,1,0,0.01
METH__FAM129C,1,0,0.01
METH__NLRC3,0,0,0.0
METH__KRI1,0,0,0.0
METH__PTPN6,0,0,0.0
TPM__PTPRCAP,0,0,0.0
METH__BIN2,0,0,0.0
METH__DOK3,0,0,0.0
METH__OSM,0,0,0.0
