feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
CNV__WRN,100,50,1.0,0.019999999552965164,-0.16,0.22,True,1.0
CNV__PCM1,99,49,0.99,0.009999999776482582,-0.13,0.19,True,1.0
TPM__RNVU1-26,98,48,0.98,0.03999999910593033,-0.2,0.18,True,1.0
METH__SPRY2,97,47,0.97,0.019999999552965164,-0.06,0.18,True,0.992
CNV__ARHGEF10,96,46,0.96,0.019999999552965164,-0.15,0.2,True,0.832
CNV__NRG1,95,45,0.95,0.0,-0.14,0.2,True,0.458
CNV__CHD4,93,43,0.93,0.019999999552965164,0.15,0.2,True,0.053
TPM__VTRNA2-1,93,43,0.93,0.019999999552965164,-0.13,0.21,True,0.053
CNV__CCND2,88,39,0.88,0.0,0.13,0.19,False,0.0
CNV__ZNF384,88,39,0.88,0.019999999552965164,0.14,0.2,False,0.0
METH__C1orf128,87,37,0.87,0.019999999552965164,-0.13,0.17,False,0.0
TPM__SNORA4,87,37,0.87,0.009999999776482582,0.12,0.18,False,0.0
TPM__MIR6753,86,36,0.86,0.0,0.0,0.17,False,0.0
CNV__KAT6A,85,35,0.85,0.0,-0.02,0.18,False,0.0
CNV__PTPN6,84,34,0.84,0.019999999552965164,0.14,0.21,False,0.0
TPM__SNORA71A,82,33,0.82,0.0,-0.01,0.22,False,0.0
MUT__KRAS,78,28,0.78,0.009999999776482582,0.09,0.25,False,0.0
TPM__RNA5SP187,75,26,0.75,0.009999999776482582,-0.11,0.2,False,0.0
CNV__LPP,75,28,0.75,0.009999999776482582,0.09,0.18,False,0.0
CNV__FANCM,74,25,0.74,0.009999999776482582,0.12,0.18,False,0.0
CNV__ERC1,72,24,0.72,0.009999999776482582,0.13,0.18,False,0.0
CNV__KDM5A,72,25,0.72,0.009999999776482582,0.13,0.18,False,0.0
CNV__TGIF1,71,24,0.71,0.0,0.09,0.18,False,0.0
CNV__TRAF3,71,22,0.71,0.009999999776482582,0.12,0.19,False,0.0
CNV__CBFA2T3,69,24,0.69,0.0,0.01,0.18,False,0.0
METH__ZBED5,68,21,0.68,0.009999999776482582,-0.07,0.18,False,0.0
METH__MRPS27,67,19,0.67,0.019999999552965164,0.13,0.18,False,0.0
TPM__RNU4-52P,66,18,0.66,0.0,0.02,0.2,False,0.0
CNV__ETV6,65,20,0.65,0.009999999776482582,0.11,0.17,False,0.0
METH__PTCD2,64,15,0.64,0.019999999552965164,0.11,0.2,False,0.0
CNV__PARP4,63,19,0.63,0.0,0.06,0.19,False,0.0
CNV__BCR,63,15,0.63,0.009999999776482582,0.06,0.19,False,0.0
METH__TEX261,63,19,0.63,0.0,-0.03,0.18,False,0.0
METH__TIGD4,62,19,0.62,0.009999999776482582,-0.08,0.17,False,0.0
METH__KLHL12,61,17,0.61,0.0,-0.05,0.18,False,0.0
CNV__SMARCB1,61,15,0.61,0.009999999776482582,0.08,0.2,False,0.0
CNV__MB21D2,61,19,0.61,0.009999999776482582,0.1,0.18,False,0.0
METH__MAZ,60,18,0.6,0.0,0.03,0.17,False,0.0
TPM__SNORA14B,60,20,0.6,0.0,-0.06,0.18,False,0.0
CNV__HSP90AA1,58,15,0.58,0.0,0.11,0.2,False,0.0
METH__PLRG1,58,12,0.58,0.009999999776482582,0.12,0.18,False,0.0
