feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__PPFIA3,100,50,1.0,0.09000000357627869,-0.26,0.06,True,1.0
TPM__STK32A,99,49,0.99,0.10000000149011612,0.35,0.11,True,1.0
TPM__TRPM4,98,48,0.98,0.17000000178813934,-0.43,0.24,True,1.0
TPM__AP1S2,97,47,0.97,0.1599999964237213,0.36,0.1,True,0.992
METH__PER1,93,43,0.93,0.10000000149011612,-0.24,0.1,True,0.053
TPM__SNHG33,92,42,0.92,0.09000000357627869,0.27,0.12,False,0.013
METH__FBXL20,87,37,0.87,0.07000000029802322,0.18,0.12,False,0.0
TPM__KAZALD1,86,36,0.86,0.07000000029802322,-0.22,0.0,False,0.0
METH__RPL23,86,36,0.86,0.07000000029802322,0.24,0.09,False,0.0
TPM__DOCK4,82,32,0.82,0.09000000357627869,0.33,0.05,False,0.0
TPM__B3GAT3,79,29,0.79,0.07000000029802322,0.26,0.05,False,0.0
METH__MIR568,79,29,0.79,0.11999999731779099,0.34,0.08,False,0.0
TPM__SLC44A2,78,28,0.78,0.07999999821186066,-0.26,0.07,False,0.0
TPM__ZSCAN16-AS1,76,26,0.76,0.11999999731779099,0.31,0.08,False,0.0
TPM__HPCAL1,75,26,0.75,0.07999999821186066,0.29,0.05,False,0.0
TPM__PMAIP1,73,23,0.73,0.11999999731779099,0.29,0.1,False,0.0
METH__TCN2,72,23,0.72,0.09000000357627869,-0.25,0.06,False,0.0
METH__NDST1,67,18,0.67,0.10999999940395355,0.24,0.07,False,0.0
TPM__BTBD19,67,17,0.67,0.07999999821186066,0.26,0.07,False,0.0
TPM__LMX1B,62,14,0.62,0.10000000149011612,-0.22,0.1,False,0.0
TPM__GOSR2,61,11,0.61,0.10000000149011612,0.31,0.06,False,0.0
TPM__RTN4RL1,60,10,0.6,0.10999999940395355,-0.21,0.09,False,0.0
METH__BRD7P3,59,9,0.59,0.10999999940395355,0.27,0.06,False,0.002
METH__CBX5,59,10,0.59,0.12999999523162842,-0.31,0.04,False,0.0
TPM__WIPF1,57,11,0.57,0.09000000357627869,0.24,0.11,False,0.0
TPM__S100P,57,8,0.57,0.07999999821186066,-0.22,0.06,False,0.013
TPM__TMEM263-DT,57,9,0.57,0.09000000357627869,0.31,0.06,False,0.002
METH__CLP1,54,5,0.54,0.07999999821186066,0.25,0.0,True,0.458
TPM__CAMSAP3,54,7,0.54,0.07999999821186066,-0.23,0.04,True,0.053
TPM__MAFG,53,7,0.53,0.07999999821186066,0.27,0.07,True,0.053
TPM__PLXNC1,53,8,0.53,0.07999999821186066,0.28,0.11,False,0.013
TPM__AKR1B1,52,9,0.52,0.12999999523162842,0.32,0.08,False,0.002
METH__DAZAP1,52,6,0.52,0.09000000357627869,0.32,0.08,True,0.181
TPM__LINC01133,52,3,0.52,0.09000000357627869,-0.23,0.13,True,0.992
TPM__CCDC6,52,7,0.52,0.07000000029802322,-0.25,0.04,True,0.053
TPM__SNRNP27,51,5,0.51,0.07999999821186066,0.27,0.06,True,0.458
METH__ELF5,50,4,0.5,0.07000000029802322,0.22,0.09,True,0.832
TPM__ETS1,50,7,0.5,0.07000000029802322,0.25,0.04,True,0.053
METH__FAM53B,50,2,0.5,0.07000000029802322,0.23,0.06,True,1.0
TPM__MSANTD4,48,3,0.48,0.10999999940395355,0.29,0.05,True,0.992
TPM__JAZF1,48,4,0.48,0.09000000357627869,0.3,0.07,True,0.832
METH__HGSNAT,48,5,0.48,0.07000000029802322,0.26,0.14,True,0.458
TPM__GRHL3,47,2,0.47,0.15000000596046448,-0.32,0.11,True,1.0
TPM__TNK1,47,1,0.47,0.09000000357627869,-0.25,0.15,True,1.0
TPM__GLS,45,3,0.45,0.09000000357627869,0.25,0.03,True,0.992
TPM__NNT-AS1,44,2,0.44,0.10999999940395355,0.26,0.13,True,1.0
METH__C14orf182,44,3,0.44,0.12999999523162842,0.34,0.09,True,0.992
TPM__NECTIN4,44,2,0.44,0.18000000715255737,-0.27,0.13,True,1.0
TPM__INPP5J,44,5,0.44,0.09000000357627869,-0.21,0.09,True,0.458
TPM__SH2D3A,43,1,0.43,0.07000000029802322,-0.25,0.08,True,1.0
METH__PVRL4,42,0,0.42,0.10000000149011612,0.27,0.08,False,
TPM__NNT,42,3,0.42,0.09000000357627869,0.21,0.04,True,0.992
TPM__C8orf88,41,2,0.41,0.07999999821186066,0.28,0.07,True,1.0
TPM__PPP1R13L,41,2,0.41,0.09000000357627869,-0.26,0.08,True,1.0
TPM__SYT8,40,1,0.4,0.07999999821186066,-0.19,0.1,True,1.0
TPM__EID2B,40,0,0.4,0.11999999731779099,0.33,0.08,False,
METH__C9orf152,39,1,0.39,0.07999999821186066,0.2,0.07,True,1.0
TPM__KLRG2,39,1,0.39,0.07999999821186066,-0.16,0.06,True,1.0
TPM__VCAN,39,2,0.39,0.07999999821186066,0.28,0.13,True,1.0
TPM__CDH2,39,2,0.39,0.12999999523162842,0.36,0.12,True,1.0
TPM__MUC3A,39,3,0.39,0.07000000029802322,-0.23,0.09,True,0.992
TPM__LSR,39,1,0.39,0.07999999821186066,-0.24,0.1,True,1.0
METH__GAP43,39,1,0.39,0.10000000149011612,0.3,0.08,True,1.0
TPM__MCAM,39,0,0.39,0.07999999821186066,0.32,0.0,False,
TPM__OSR2,38,0,0.38,0.09000000357627869,-0.28,0.11,False,
TPM__CASZ1,38,2,0.38,0.09000000357627869,-0.26,0.07,True,1.0
TPM__TMEM254-AS1,38,1,0.38,0.07999999821186066,-0.19,0.09,True,1.0
METH__KIAA1751,37,1,0.37,0.07000000029802322,-0.27,0.04,True,1.0
TPM__CDH3,37,0,0.37,0.10000000149011612,-0.25,0.11,False,
TPM__KLK8,37,0,0.37,0.11999999731779099,-0.24,0.06,False,
TPM__ANO1,35,0,0.35,0.11999999731779099,-0.26,0.09,False,
TPM__ST3GAL3,35,0,0.35,0.07999999821186066,0.24,0.01,False,
TPM__P2RY2,34,2,0.34,0.07000000029802322,-0.21,0.09,True,1.0
TPM__ZBTB18,34,2,0.34,0.10999999940395355,0.3,0.09,True,1.0
TPM__KRT16,34,0,0.34,0.10999999940395355,-0.19,0.09,False,
METH__RGS17,33,1,0.33,0.07999999821186066,-0.3,0.0,True,1.0
TPM__GNG2,33,2,0.33,0.09000000357627869,0.32,0.12,True,1.0
TPM__NEBL,33,0,0.33,0.09000000357627869,-0.2,0.13,False,
TPM__DPYSL3,33,1,0.33,0.09000000357627869,0.32,0.07,True,1.0
TPM__EPHB3,33,0,0.33,0.07999999821186066,-0.2,0.08,False,
TPM__VIM,33,0,0.33,0.07999999821186066,0.25,0.08,False,
METH__ATXN10,33,1,0.33,0.09000000357627869,-0.24,0.05,True,1.0
TPM__MCTP1,31,1,0.31,0.07999999821186066,0.26,0.06,True,1.0
TPM__ANXA9,31,0,0.31,0.09000000357627869,-0.2,0.03,False,
TPM__DISC1,31,0,0.31,0.07999999821186066,0.29,0.03,False,
TPM__OPLAH,31,1,0.31,0.07000000029802322,-0.25,0.09,True,1.0
TPM__TINCR,30,1,0.3,0.15000000596046448,-0.31,0.14,True,1.0
TPM__BICD1,30,0,0.3,0.10999999940395355,0.31,0.05,False,
TPM__EFNA4,30,0,0.3,0.10999999940395355,-0.32,0.13,False,
TPM__SYNE1,29,0,0.29,0.14000000059604645,0.34,0.1,False,
TPM__FTLP14,29,1,0.29,0.07000000029802322,-0.17,0.1,True,1.0
TPM__PKN1,29,0,0.29,0.07999999821186066,0.22,0.09,False,
TPM__CGN,29,0,0.29,0.07999999821186066,-0.22,0.1,False,
TPM__ABL2,29,1,0.29,0.07999999821186066,0.29,0.09,True,1.0
TPM__CDS1,28,0,0.28,0.07999999821186066,-0.2,0.15,False,
TPM__LLGL2,28,0,0.28,0.09000000357627869,-0.25,0.04,False,
