feature,Selection count,Pair count,CPSS Score
TPM__PPFIA3,100,50,1.0
TPM__STK32A,99,49,0.99
TPM__TRPM4,98,48,0.98
TPM__AP1S2,97,47,0.97
METH__PER1,93,43,0.93
TPM__SNHG33,92,42,0.92
METH__FBXL20,87,37,0.87
TPM__KAZALD1,86,36,0.86
METH__RPL23,86,36,0.86
TPM__DOCK4,82,32,0.82
TPM__B3GAT3,79,29,0.79
METH__MIR568,79,29,0.79
TPM__SLC44A2,78,28,0.78
TPM__ZSCAN16-AS1,76,26,0.76
TPM__HPCAL1,75,26,0.75
TPM__PMAIP1,73,23,0.73
METH__TCN2,72,23,0.72
METH__NDST1,67,18,0.67
TPM__BTBD19,67,17,0.67
TPM__LMX1B,62,14,0.62
TPM__GOSR2,61,11,0.61
TPM__RTN4RL1,60,10,0.6
METH__BRD7P3,59,9,0.59
METH__CBX5,59,10,0.59
TPM__TMEM263-DT,57,9,0.57
TPM__S100P,57,8,0.57
TPM__WIPF1,57,11,0.57
METH__CLP1,54,5,0.54
TPM__CAMSAP3,54,7,0.54
TPM__MAFG,53,7,0.53
TPM__PLXNC1,53,8,0.53
TPM__AKR1B1,52,9,0.52
METH__DAZAP1,52,6,0.52
TPM__LINC01133,52,3,0.52
TPM__CCDC6,52,7,0.52
TPM__SNRNP27,51,5,0.51
METH__FAM53B,50,2,0.5
TPM__ETS1,50,7,0.5
METH__ELF5,50,4,0.5
TPM__MSANTD4,48,3,0.48
TPM__JAZF1,48,4,0.48
METH__HGSNAT,48,5,0.48
TPM__GRHL3,47,2,0.47
TPM__TNK1,47,1,0.47
TPM__GLS,45,3,0.45
TPM__NNT-AS1,44,2,0.44
METH__C14orf182,44,3,0.44
TPM__NECTIN4,44,2,0.44
TPM__INPP5J,44,5,0.44
TPM__SH2D3A,43,1,0.43
METH__PVRL4,42,0,0.42
TPM__NNT,42,3,0.42
TPM__C8orf88,41,2,0.41
TPM__PPP1R13L,41,2,0.41
TPM__SYT8,40,1,0.4
TPM__EID2B,40,0,0.4
TPM__MUC3A,39,3,0.39
TPM__MCAM,39,0,0.39
METH__GAP43,39,1,0.39
TPM__LSR,39,1,0.39
TPM__CDH2,39,2,0.39
TPM__VCAN,39,2,0.39
TPM__KLRG2,39,1,0.39
METH__C9orf152,39,1,0.39
TPM__OSR2,38,0,0.38
TPM__CASZ1,38,2,0.38
TPM__TMEM254-AS1,38,1,0.38
METH__KIAA1751,37,1,0.37
TPM__CDH3,37,0,0.37
TPM__KLK8,37,0,0.37
TPM__ANO1,35,0,0.35
TPM__ST3GAL3,35,0,0.35
TPM__KRT16,34,0,0.34
TPM__ZBTB18,34,2,0.34
TPM__P2RY2,34,2,0.34
TPM__GNG2,33,2,0.33
TPM__NEBL,33,0,0.33
TPM__DPYSL3,33,1,0.33
TPM__EPHB3,33,0,0.33
TPM__VIM,33,0,0.33
METH__ATXN10,33,1,0.33
METH__RGS17,33,1,0.33
TPM__DISC1,31,0,0.31
TPM__OPLAH,31,1,0.31
TPM__ANXA9,31,0,0.31
TPM__MCTP1,31,1,0.31
TPM__TINCR,30,1,0.3
TPM__BICD1,30,0,0.3
TPM__EFNA4,30,0,0.3
TPM__SYNE1,29,0,0.29
TPM__FTLP14,29,1,0.29
TPM__PKN1,29,0,0.29
TPM__CGN,29,0,0.29
TPM__ABL2,29,1,0.29
TPM__CDS1,28,0,0.28
TPM__LLGL2,28,0,0.28
TPM__FUT1,28,0,0.28
METH__AKR1B1,27,0,0.27
TPM__RNF39,27,3,0.27
TPM__KRT23,26,1,0.26
TPM__MMD,26,1,0.26
TPM__RBBP8NL,26,1,0.26
TPM__AKT3,26,0,0.26
TPM__FAM229B,26,0,0.26
TPM__MACF1,25,0,0.25
METH__RASL11A,25,0,0.25
METH__SNORD119,25,0,0.25
TPM__CPAMD8,25,7,0.25
TPM__SREBF1,25,2,0.25
TPM__IMPA1,25,0,0.25
METH__EHF,24,0,0.24
TPM__DPY19L2P2,24,0,0.24
TPM__S100A8,24,1,0.24
TPM__LEISA1,24,0,0.24
TPM__SLC20A1,24,1,0.24
TPM__RAB3D,23,0,0.23
TPM__SLC35G2,23,0,0.23
METH__MACC1,23,0,0.23
METH__PARP4,23,9,0.23
TPM__FSD1L,23,0,0.23
TPM__ABCA12,22,1,0.22
METH__DGUOK,22,0,0.22
TPM__SYT11,22,0,0.22
TPM__EFNA1,21,0,0.21
TPM__CBLC,21,0,0.21
TPM__IRF6,21,0,0.21
TPM__CNKSR1,21,0,0.21
METH__PITRM1,20,1,0.2
TPM__HES2,20,2,0.2
TPM__CARD14,20,0,0.2
TPM__CERK,20,5,0.2
METH__ZNF750,20,0,0.2
TPM__DPYD,20,0,0.2
METH__IRF9,20,2,0.2
TPM__MSX2,20,5,0.2
METH__OSGIN2,20,1,0.2
TPM__STK33,19,1,0.19
TPM__CD99L2,19,0,0.19
TPM__IL1RN,19,1,0.19
TPM__UPK2,19,0,0.19
TPM__NTF4,19,0,0.19
TPM__ZNF655,19,7,0.19
METH__ANKRD22,18,1,0.18
TPM__PIP4P2,18,0,0.18
TPM__DLX3,18,0,0.18
TPM__SACS,18,0,0.18
TPM__HIPK2,18,0,0.18
TPM__ARRDC1,17,0,0.17
TPM__TMPRSS4,17,0,0.17
TPM__VIPR1,17,0,0.17
TPM__NOTCH3,17,0,0.17
TPM__MYH14,17,0,0.17
TPM__TRIM9,17,0,0.17
TPM__CLIC3,17,1,0.17
TPM__ST3GAL2,16,1,0.16
TPM__TC2N,16,0,0.16
TPM__SYNE4,16,2,0.16
TPM__CEP41,16,2,0.16
METH__SLC11A2,15,1,0.15
TPM__C11orf52,15,0,0.15
TPM__CORO2B,15,1,0.15
TPM__CAMK4,15,2,0.15
TPM__ERP27,15,1,0.15
TPM__ERBB3,15,0,0.15
METH__RTKN,15,0,0.15
TPM__SPINT1,14,0,0.14
TPM__DTX4,14,0,0.14
METH__IL20RA,14,0,0.14
TPM__IFFO1,14,0,0.14
TPM__TBXAS1,14,0,0.14
TPM__ITGB3,14,0,0.14
METH__CCDC13,13,1,0.13
TPM__NRARP,13,1,0.13
METH__RABEPK,13,1,0.13
TPM__TNS4,13,0,0.13
TPM__FUT3,12,0,0.12
TPM__RGS17,12,4,0.12
METH__SNORD19,12,2,0.12
TPM__AP1M1,12,0,0.12
TPM__TMPRSS13,12,0,0.12
METH__ANXA9,12,4,0.12
TPM__HOOK2,12,0,0.12
TPM__HDHD3,12,0,0.12
METH__GGT6,12,3,0.12
TPM__MAPK15,12,1,0.12
TPM__REEP6,12,2,0.12
TPM__PHC2,12,0,0.12
TPM__IL20RA,12,0,0.12
TPM__MAP7-AS1,12,0,0.12
TPM__MPP7,12,5,0.12
TPM__ZBTB42,12,0,0.12
METH__CYP4F8,11,0,0.11
TPM__SULT2B1,11,4,0.11
METH__TFAP2A,11,3,0.11
TPM__PSCA,11,0,0.11
TPM__EFNA3,11,0,0.11
TPM__MAP1B,11,1,0.11
TPM__TUBA1A,11,1,0.11
TPM__HOXC13,11,1,0.11
TPM__TOB1,11,0,0.11
TPM__CCDC82,11,3,0.11
TPM__EHF,11,0,0.11
TPM__PDXP,10,0,0.1
TPM__CEBPA-DT,10,0,0.1
TPM__MYORG,10,3,0.1
TPM__FAM216A,10,1,0.1
TPM__DEGS2,10,0,0.1
METH__PDE9A,10,0,0.1
TPM__ABHD11,10,1,0.1
TPM__FAM83E,10,0,0.1
TPM__VGLL1,10,0,0.1
METH__C1orf116,10,0,0.1
TPM__MPP1,10,1,0.1
TPM__FYN,10,0,0.1
TPM__LMTK3,10,0,0.1
TPM__ENO2,10,1,0.1
METH__PDGFRB,9,1,0.09
TPM__EPS8L1,9,0,0.09
TPM__ITPKC,9,1,0.09
TPM__S100A14,9,0,0.09
METH__C21orf122,9,0,0.09
METH__ADARB1,9,0,0.09
TPM__DNAJC18,9,0,0.09
METH__NUMA1,9,0,0.09
METH__AKAP2,9,1,0.09
TPM__MPZL2,9,0,0.09
TPM__SPINT2,9,0,0.09
TPM__GALNT3,9,0,0.09
TPM__ZEB1,9,0,0.09
TPM__P3H1,9,0,0.09
TPM__RAPGEFL1,9,0,0.09
TPM__SP6,9,0,0.09
TPM__SLC35B4,9,0,0.09
METH__TRIT1,8,1,0.08
TPM__ANK2,8,0,0.08
TPM__CHST10,8,1,0.08
TPM__FKBP7,8,0,0.08
TPM__TJP3,8,0,0.08
METH__CMTM3,8,0,0.08
METH__KDELR2,8,0,0.08
TPM__MAB21L4,8,1,0.08
TPM__EPPK1,8,1,0.08
METH__TACSTD2,8,0,0.08
TPM__ALDH3B2,8,0,0.08
TPM__TACSTD2,8,0,0.08
TPM__PALM2AKAP2,8,0,0.08
TPM__HOXC13-AS,8,1,0.08
METH__UCN2,8,3,0.08
TPM__PROM2,7,0,0.07
TPM__STARD9,7,0,0.07
METH__CLDN4,7,0,0.07
METH__BMF,7,0,0.07
TPM__PLEKHG6,7,0,0.07
METH__HRC,7,2,0.07
TPM__CDH1,7,0,0.07
TPM__TMPRSS2,7,1,0.07
TPM__EVPL,7,0,0.07
TPM__TRIM29,7,0,0.07
TPM__MKRN2OS,7,1,0.07
TPM__JUP,7,0,0.07
TPM__CNRIP1,7,0,0.07
TPM__MIR205HG,7,1,0.07
TPM__FAM83F,7,0,0.07
TPM__RASSF4,7,1,0.07
TPM__MAP4K4,7,1,0.07
TPM__RNF223,7,0,0.07
METH__EPGN,7,3,0.07
TPM__SYT7,7,0,0.07
TPM__VTCN1,7,0,0.07
TPM__SLPI,7,1,0.07
TPM__NXPE3,7,2,0.07
TPM__BSPRY,7,0,0.07
TPM__LINC02894,6,0,0.06
METH__ADAT3,6,0,0.06
METH__RICS,6,2,0.06
TPM__OVOL1,6,0,0.06
TPM__GSTO2,6,2,0.06
METH__SLC35B3,6,0,0.06
TPM__CDC42BPG,6,0,0.06
METH__SCAMP4,6,0,0.06
TPM__LIMD2,6,0,0.06
TPM__MAPRE2,6,1,0.06
TPM__PRR15,6,0,0.06
TPM__GJB5,6,0,0.06
TPM__CEP170,6,0,0.06
TPM__DGKG,6,0,0.06
TPM__SLC29A2,6,1,0.06
TPM__PRRG4,6,1,0.06
TPM__PRSS22,6,0,0.06
TPM__FAM83B,6,0,0.06
METH__IRF6,5,0,0.05
TPM__TRPC1,5,1,0.05
TPM__ERBB2,5,1,0.05
TPM__C1orf116,5,0,0.05
TPM__CHROMR,5,0,0.05
TPM__CXCL16,5,1,0.05
TPM__MAGI2-AS3,5,0,0.05
TPM__ENTPD2,5,1,0.05
TPM__RHOV,5,0,0.05
TPM__CLDN7,5,0,0.05
TPM__PTK6,5,0,0.05
TPM__S100A9,5,1,0.05
METH__TNNC1,4,0,0.04
TPM__CCDC88A,4,0,0.04
METH__DDR1,4,0,0.04
TPM__GRHL1,4,0,0.04
TPM__DOCK10,4,0,0.04
TPM__LIX1L,4,0,0.04
TPM__KLC3,4,0,0.04
TPM__LYPD3,4,0,0.04
METH__NISCH,4,0,0.04
TPM__SGTB,4,1,0.04
TPM__CNFN,4,0,0.04
TPM__GRTP1,4,0,0.04
TPM__EMP3,4,1,0.04
METH__TTLL10,4,0,0.04
TPM__ETV1,4,1,0.04
TPM__SH2B3,4,0,0.04
METH__ITGB6,3,0,0.03
TPM__CKMT1A,3,1,0.03
TPM__OVOL2,3,0,0.03
TPM__CKMT1B,3,0,0.03
TPM__HSD11B2,3,0,0.03
TPM__FGFR3,3,0,0.03
TPM__CEP85L,3,0,0.03
TPM__ST14,3,0,0.03
METH__CHD3,3,0,0.03
TPM__ATP2C2,3,0,0.03
TPM__ESRP2,3,0,0.03
TPM__SPINT1-AS1,3,0,0.03
METH__PLEKHF2,3,0,0.03
TPM__IKBIP,3,0,0.03
TPM__ACSL4,3,1,0.03
TPM__BICDL2,3,0,0.03
METH__VAMP8,3,0,0.03
METH__JMJD7-PLA2G4B,2,0,0.02
TPM__HID1,2,0,0.02
TPM__STARD10,2,0,0.02
TPM__PRSS8,2,1,0.02
METH__CCDC19,2,0,0.02
TPM__ARHGEF16,2,0,0.02
METH__TBCD,2,0,0.02
