feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__BCL2L1,100,50,1.0,0.07999999821186066,0.27,0.08,True,1.0
TPM__SMURF2,99,49,0.99,0.10000000149011612,0.32,0.1,True,1.0
TPM__MACF1,99,49,0.99,0.05999999865889549,0.27,0.04,True,1.0
TPM__TNFAIP8,98,48,0.98,0.07000000029802322,-0.23,0.03,True,1.0
TPM__RAI14,96,46,0.96,0.05999999865889549,0.23,0.05,True,0.832
METH__RBAK,96,46,0.96,0.05999999865889549,0.24,0.13,True,0.832
TPM__RTN4IP1,89,39,0.89,0.05999999865889549,-0.23,0.04,False,0.0
METH__TUBB3,84,34,0.84,0.07999999821186066,-0.19,0.13,False,0.0
TPM__MOB3A,84,34,0.84,0.05999999865889549,-0.18,0.08,False,0.0
METH__ZNF285A,83,33,0.83,0.05999999865889549,-0.22,0.04,False,0.0
TPM__NAV2,81,31,0.81,0.07000000029802322,0.25,0.06,False,0.0
TPM__CRIM1-DT,81,31,0.81,0.09000000357627869,0.3,0.08,False,0.0
TPM__L3MBTL2,79,29,0.79,0.05999999865889549,-0.24,0.01,False,0.0
TPM__SOCS3,78,28,0.78,0.07999999821186066,0.28,0.12,False,0.0
METH__ONECUT2,77,27,0.77,0.07999999821186066,-0.13,0.12,False,0.0
METH__NHLRC1,77,27,0.77,0.05999999865889549,-0.25,0.01,False,0.0
TPM__MAST3,77,27,0.77,0.07000000029802322,-0.27,0.07,False,0.0
TPM__ME2,76,26,0.76,0.05999999865889549,-0.26,0.06,False,0.0
METH__PLOD2,74,24,0.74,0.07000000029802322,-0.25,0.02,False,0.0
TPM__ARHGEF6,68,18,0.68,0.07000000029802322,-0.23,0.06,False,0.0
METH__ME1,67,17,0.67,0.07000000029802322,-0.2,0.04,False,0.0
TPM__RFXAP,67,20,0.67,0.07999999821186066,-0.28,0.02,False,0.0
METH__MIR365-1,67,17,0.67,0.05999999865889549,0.21,0.03,False,0.0
TPM__SEMA4A,65,15,0.65,0.07999999821186066,-0.2,0.09,False,0.0
METH__MAOA,64,16,0.64,0.10000000149011612,-0.26,0.06,False,0.0
METH__MIR597,64,16,0.64,0.05999999865889549,0.11,0.13,False,0.0
TPM__RASSF8,64,16,0.64,0.07000000029802322,0.24,0.07,False,0.0
METH__SPAG17,64,14,0.64,0.07000000029802322,-0.24,0.04,False,0.0
TPM__RPS28,63,14,0.63,0.05999999865889549,-0.23,0.04,False,0.0
TPM__SH3BP4,62,12,0.62,0.05999999865889549,0.2,0.07,False,0.0
TPM__ZBTB24,62,13,0.62,0.07000000029802322,-0.24,0.05,False,0.0
TPM__LCMT1-AS1,61,12,0.61,0.07000000029802322,-0.21,0.03,False,0.0
TPM__BEND7,61,11,0.61,0.07000000029802322,0.26,0.05,False,0.0
TPM__ZC3H12C,59,12,0.59,0.07000000029802322,0.24,0.04,False,0.0
TPM__COL6A1,57,11,0.57,0.07000000029802322,0.27,0.07,False,0.0
TPM__UACA,56,9,0.56,0.05999999865889549,0.23,0.07,False,0.002
TPM__PVR,56,9,0.56,0.07999999821186066,0.22,0.04,False,0.002
TPM__MIR100HG,56,9,0.56,0.07000000029802322,0.27,0.06,False,0.002
TPM__RND3,55,7,0.55,0.05999999865889549,0.21,0.07,True,0.053
TPM__RASAL2-AS1,54,5,0.54,0.07999999821186066,0.28,0.05,True,0.458
TPM__AKAP12,53,5,0.53,0.07999999821186066,0.28,0.07,True,0.458
TPM__STAC3,53,6,0.53,0.09000000357627869,-0.27,0.05,True,0.181
METH__ITGA4,51,3,0.51,0.07000000029802322,0.21,0.08,True,0.992
TPM__QRSL1,50,4,0.5,0.07999999821186066,-0.26,0.05,True,0.832
METH__TMEM149,49,7,0.49,0.07000000029802322,0.18,0.09,True,0.053
TPM__TLCD5,49,4,0.49,0.05999999865889549,0.23,0.05,True,0.832
TPM__TPM1,49,4,0.49,0.05999999865889549,0.22,0.08,True,0.832
METH__CDC14B,48,1,0.48,0.07000000029802322,-0.21,0.06,True,1.0
TPM__RP9P,47,4,0.47,0.07999999821186066,0.2,0.08,True,0.832
METH__CCDC12,47,3,0.47,0.05999999865889549,-0.18,0.09,True,0.992
METH__OPHN1,47,4,0.47,0.09000000357627869,-0.22,0.15,True,0.832
METH__SIRT2,46,3,0.46,0.05999999865889549,0.19,0.1,True,0.992
