feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__GOLGA4-AS1,99,49,0.99,0.14000000059604645,0.37,0.12,True,1.0
TPM__ABHD12,96,46,0.96,0.12999999523162842,0.36,0.08,True,0.832
METH__MIR150,94,44,0.94,0.11999999731779099,0.31,0.09,True,0.181
TPM__KRT8P3,89,39,0.89,0.12999999523162842,0.35,0.11,False,0.0
TPM__METRN,89,39,0.89,0.11999999731779099,0.3,0.07,False,0.0
METH__ZSCAN2,86,36,0.86,0.14000000059604645,-0.33,0.14,False,0.0
TPM__SOX13,83,33,0.83,0.1599999964237213,0.37,0.09,False,0.0
TPM__RPL18A,83,33,0.83,0.11999999731779099,-0.35,0.11,False,0.0
TPM__SLC38A5,80,30,0.8,0.14000000059604645,-0.35,0.16,False,0.0
TPM__PSTPIP1,80,30,0.8,0.1899999976158142,-0.37,0.12,False,0.0
METH__NSMCE4A,79,29,0.79,0.11999999731779099,-0.32,0.06,False,0.0
TPM__PYGB,78,28,0.78,0.11999999731779099,0.32,0.12,False,0.0
TPM__SNRPA,77,27,0.77,0.12999999523162842,-0.37,0.13,False,0.0
TPM__DDN,77,27,0.77,0.18000000715255737,-0.36,0.12,False,0.0
METH__DKFZp434J0226,73,23,0.73,0.10999999940395355,0.29,0.12,False,0.0
TPM__NPTN,72,22,0.72,0.12999999523162842,0.34,0.11,False,0.0
TPM__RIPK4,69,20,0.69,0.10999999940395355,0.32,0.1,False,0.0
METH__TCF3,66,17,0.66,0.12999999523162842,0.35,0.1,False,0.0
METH__RWDD3,65,15,0.65,0.10999999940395355,-0.33,0.02,False,0.0
METH__PSTK,64,14,0.64,0.14000000059604645,-0.36,0.07,False,0.0
METH__RASAL2,62,13,0.62,0.10999999940395355,-0.28,0.15,False,0.0
TPM__OSBPL10,61,12,0.61,0.11999999731779099,0.29,0.1,False,0.0
TPM__ELMO1,61,12,0.61,0.18000000715255737,-0.32,0.12,False,0.0
METH__GALE,60,10,0.6,0.10999999940395355,-0.28,0.04,False,0.0
TPM__AGRN,60,13,0.6,0.11999999731779099,0.27,0.14,False,0.0
METH__DGKZ,59,9,0.59,0.12999999523162842,0.33,0.1,False,0.002
TPM__TMEM87B,58,9,0.58,0.11999999731779099,0.34,0.08,False,0.002
METH__KIAA1919,56,9,0.56,0.11999999731779099,-0.28,0.13,False,0.002
TPM__GPR39,55,7,0.55,0.11999999731779099,0.32,0.1,True,0.053
