feature,Selection count,Pair count,CPSS Score
TPM__GOLGA4-AS1,99,49,0.99
TPM__ABHD12,96,46,0.96
METH__MIR150,94,44,0.94
TPM__KRT8P3,89,39,0.89
TPM__METRN,89,39,0.89
METH__ZSCAN2,86,36,0.86
TPM__SOX13,83,33,0.83
TPM__RPL18A,83,33,0.83
TPM__SLC38A5,80,30,0.8
TPM__PSTPIP1,80,30,0.8
METH__NSMCE4A,79,29,0.79
TPM__PYGB,78,28,0.78
TPM__DDN,77,27,0.77
TPM__SNRPA,77,27,0.77
METH__DKFZp434J0226,73,23,0.73
TPM__NPTN,72,22,0.72
TPM__RIPK4,69,20,0.69
METH__TCF3,66,17,0.66
METH__RWDD3,65,15,0.65
METH__PSTK,64,14,0.64
METH__RASAL2,62,13,0.62
TPM__OSBPL10,61,12,0.61
TPM__ELMO1,61,12,0.61
METH__GALE,60,10,0.6
TPM__AGRN,60,13,0.6
METH__DGKZ,59,9,0.59
TPM__TMEM87B,58,9,0.58
METH__KIAA1919,56,9,0.56
TPM__GPR39,55,7,0.55
TPM__MGAT4B,54,7,0.54
METH__ABHD10,53,7,0.53
METH__C1orf97,52,6,0.52
TPM__PPP1R16B,52,7,0.52
TPM__ATP6V0E1,51,6,0.51
TPM__ABTB2,50,5,0.5
TPM__GLMP,50,3,0.5
METH__RHEB,50,2,0.5
TPM__IL17RC,49,3,0.49
TPM__APLP2,48,1,0.48
TPM__GNG12,48,2,0.48
METH__S100A1,47,6,0.47
TPM__CTSA,47,2,0.47
METH__LAPTM4A,46,3,0.46
TPM__GRAMD2B,45,4,0.45
METH__FCHO2,45,2,0.45
METH__PTP4A1,45,2,0.45
TPM__EIF3L,45,4,0.45
METH__EEF2K,45,3,0.45
TPM__NPAS2,45,1,0.45
TPM__DLGAP1-AS1,44,3,0.44
TPM__PON2,44,4,0.44
TPM__SEPTIN1,44,1,0.44
TPM__CARMIL2,44,6,0.44
METH__CFDP1,44,2,0.44
TPM__NECTIN2,44,3,0.44
TPM__INPP4B,44,2,0.44
METH__CELSR3,44,2,0.44
METH__EIF2S1,44,4,0.44
METH__CEBPE,43,2,0.43
TPM__SH3BP4,43,2,0.43
METH__GNS,42,3,0.42
TPM__KLRG1,42,0,0.42
METH__IPO7,42,1,0.42
TPM__GBA1,41,2,0.41
TPM__RSL24D1,41,1,0.41
METH__WWTR1,40,0,0.4
METH__TMEM49,40,1,0.4
METH__EIF3K,40,3,0.4
TPM__SDC1,39,0,0.39
METH__C16orf54,39,2,0.39
TPM__BCL11A,39,2,0.39
METH__YOD1,39,5,0.39
TPM__LTBR,38,3,0.38
METH__CDC14B,38,0,0.38
TPM__WRN,38,2,0.38
TPM__GRK3,38,0,0.38
METH__TREX1,38,2,0.38
TPM__GPAT3,37,2,0.37
TPM__ERBB2,37,2,0.37
METH__NFKBIZ,37,0,0.37
TPM__RHBDF1,37,0,0.37
TPM__MLPH,36,2,0.36
TPM__SPATS2L,36,2,0.36
METH__MIR1284,36,0,0.36
TPM__CTNNA1,35,1,0.35
TPM__WFS1,35,2,0.35
METH__PRKAG1,34,2,0.34
