feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
MUT__PIK3CA,100,50,1.0,0.05999999865889549,-0.22,0.23,True,1.0
TPM__PPME1,97,47,0.97,0.05999999865889549,0.24,0.05,True,0.992
TPM__BCL2L1,97,47,0.97,0.03999999910593033,0.21,0.06,True,0.992
METH__FAM110A,96,46,0.96,0.07999999821186066,0.3,0.12,True,0.832
METH__LHFPL2,92,42,0.92,0.07000000029802322,-0.27,0.05,False,0.013
TPM__ALDH16A1,84,34,0.84,0.05000000074505806,-0.19,0.05,False,0.0
TPM__JARID2,83,33,0.83,0.03999999910593033,-0.2,0.04,False,0.0
TPM__TRNP1,83,33,0.83,0.07999999821186066,0.29,0.06,False,0.0
TPM__FOXO1,81,31,0.81,0.03999999910593033,-0.2,0.02,False,0.0
TPM__BMF,81,31,0.81,0.03999999910593033,-0.2,0.03,False,0.0
METH__DCUN1D3,81,31,0.81,0.07000000029802322,-0.28,0.1,False,0.0
TPM__SLC38A5,79,29,0.79,0.05000000074505806,-0.24,0.07,False,0.0
TPM__DNER,78,28,0.78,0.05000000074505806,0.22,0.1,False,0.0
TPM__RGL3,76,26,0.76,0.05999999865889549,0.24,0.05,False,0.0
TPM__TNFAIP8,76,26,0.76,0.05999999865889549,-0.24,0.07,False,0.0
TPM__RPUSD2,75,25,0.75,0.05000000074505806,-0.22,0.05,False,0.0
TPM__KRTAP2-3,74,24,0.74,0.07000000029802322,0.27,0.12,False,0.0
TPM__SH3BP1,74,24,0.74,0.07999999821186066,-0.28,0.01,False,0.0
METH__DZIP1L,70,20,0.7,0.03999999910593033,-0.23,0.06,False,0.0
TPM__KBTBD7,68,18,0.68,0.05000000074505806,-0.21,0.02,False,0.0
TPM__HOXB8,67,17,0.67,0.05000000074505806,0.25,0.07,False,0.0
TPM__FRAT2,67,19,0.67,0.09000000357627869,-0.31,0.06,False,0.0
METH__RDH16,67,17,0.67,0.05000000074505806,-0.24,0.04,False,0.0
TPM__TM4SF18,67,17,0.67,0.05000000074505806,0.25,0.06,False,0.0
TPM__ACVR1,66,18,0.66,0.03999999910593033,0.2,0.06,False,0.0
METH__CPE,66,17,0.66,0.05000000074505806,-0.23,0.04,False,0.0
TPM__PYGB,66,16,0.66,0.07000000029802322,0.26,0.09,False,0.0
TPM__AK5,64,15,0.64,0.05000000074505806,0.24,0.03,False,0.0
TPM__HOXB2,62,14,0.62,0.05000000074505806,0.24,0.01,False,0.0
TPM__DUSP2,62,13,0.62,0.05000000074505806,-0.22,0.05,False,0.0
TPM__NNMT,61,12,0.61,0.05000000074505806,0.24,0.06,False,0.0
TPM__SLFN12,60,14,0.6,0.05000000074505806,0.21,0.05,False,0.0
METH__HSPBP1,58,8,0.58,0.05000000074505806,0.25,0.03,False,0.013
TPM__ITGB5,58,11,0.58,0.03999999910593033,0.22,0.01,False,0.0
TPM__BEND7,57,10,0.57,0.05000000074505806,0.2,0.07,False,0.0
TPM__ITGB1-DT,57,8,0.57,0.05000000074505806,0.25,0.08,False,0.013
TPM__AGAP2,56,8,0.56,0.05999999865889549,-0.25,0.05,False,0.013
TPM__IGFBP3,56,9,0.56,0.05000000074505806,0.23,0.03,False,0.002
TPM__RAB11B-AS1,55,7,0.55,0.05000000074505806,-0.23,0.04,True,0.053
TPM__NRIP3,55,8,0.55,0.05999999865889549,0.22,0.08,False,0.013
TPM__CPQ,54,5,0.54,0.05000000074505806,0.2,0.08,True,0.458
TPM__TBC1D10C,53,10,0.53,0.03999999910593033,-0.2,0.07,False,0.0
TPM__SLC15A2,53,7,0.53,0.09000000357627869,-0.32,0.07,True,0.053
TPM__BICC1,53,6,0.53,0.03999999910593033,0.24,0.05,True,0.181
TPM__EVA1A,51,7,0.51,0.10000000149011612,0.32,0.03,True,0.053
TPM__GMIP,50,5,0.5,0.05999999865889549,-0.24,0.1,True,0.458
METH__TP53I3,48,3,0.48,0.05000000074505806,-0.22,0.09,True,0.992
TPM__SBDS,47,5,0.47,0.05999999865889549,0.26,0.06,True,0.458
METH__CYR61,47,7,0.47,0.05000000074505806,-0.24,0.0,True,0.053
METH__SPERT,46,2,0.46,0.05000000074505806,-0.21,0.03,True,1.0
METH__PARP10,45,2,0.45,0.05999999865889549,0.26,0.08,True,1.0
TPM__ME3,44,3,0.44,0.05000000074505806,0.2,0.08,True,0.992
TPM__TNFSF12,44,1,0.44,0.07999999821186066,0.28,0.06,True,1.0
TPM__UROD,44,5,0.44,0.05000000074505806,0.26,0.05,True,0.458
TPM__TNS2,44,2,0.44,0.03999999910593033,0.22,0.03,True,1.0
TPM__EHBP1,43,3,0.43,0.05000000074505806,0.23,0.04,True,0.992
METH__ERC2,43,4,0.43,0.05000000074505806,-0.23,0.04,True,0.832
