feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__BCL2L1,99,49,0.99,0.12999999523162842,0.35,0.13,True,1.0
METH__FOXJ3,89,39,0.89,0.12999999523162842,-0.36,0.13,False,0.0
TPM__ARHGAP12,89,39,0.89,0.15000000596046448,0.39,0.12,False,0.0
TPM__PRSS23,83,33,0.83,0.20999999344348907,0.47,0.18,False,0.0
TPM__CARD10,79,29,0.79,0.14000000059604645,0.35,0.13,False,0.0
TPM__DOCK1,79,29,0.79,0.14000000059604645,0.28,0.12,False,0.0
TPM__CCDC9B,77,27,0.77,0.17000000178813934,0.42,0.09,False,0.0
TPM__DNAJC22,73,23,0.73,0.11999999731779099,0.38,0.11,False,0.0
METH__TBC1D10C,70,20,0.7,0.12999999523162842,0.35,0.11,False,0.0
TPM__CCND1,67,18,0.67,0.1599999964237213,0.35,0.1,False,0.0
METH__FAIM3,67,17,0.67,0.15000000596046448,0.38,0.07,False,0.0
METH__ZNF462,66,17,0.66,0.11999999731779099,-0.29,0.1,False,0.0
TPM__DCBLD2,65,16,0.65,0.1599999964237213,0.41,0.13,False,0.0
TPM__MAP4K3,62,13,0.62,0.15000000596046448,0.38,0.07,False,0.0
TPM__LAMB1,61,12,0.61,0.12999999523162842,0.34,0.11,False,0.0
TPM__TMEM51,60,10,0.6,0.12999999523162842,0.32,0.1,False,0.0
TPM__VMP1,60,10,0.6,0.12999999523162842,0.35,0.09,False,0.0
TPM__UACA,57,8,0.57,0.1899999976158142,0.43,0.14,False,0.013
METH__WDR35,57,10,0.57,0.14000000059604645,-0.33,0.08,False,0.0
TPM__SHISA4,56,8,0.56,0.12999999523162842,0.36,0.07,False,0.013
TPM__SRGAP1,55,6,0.55,0.11999999731779099,0.34,0.11,True,0.181
TPM__LINC00511,54,5,0.54,0.15000000596046448,0.41,0.18,True,0.458
TPM__GULP1,53,3,0.53,0.1599999964237213,0.4,0.13,True,0.992
TPM__PSAP,53,6,0.53,0.11999999731779099,0.34,0.05,True,0.181
