feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
METH__LRRC49,100,50,1.0,0.07999999821186066,-0.16,0.2,True,1.0
METH__NRP1,100,50,1.0,0.10000000149011612,-0.26,0.2,True,1.0
TPM__PIK3CG,100,50,1.0,0.10000000149011612,-0.26,0.18,True,1.0
TPM__NCKAP1L,100,50,1.0,0.10999999940395355,-0.27,0.21,True,1.0
METH__ZNF697,100,50,1.0,0.09000000357627869,-0.21,0.24,True,1.0
METH__DSTN,100,50,1.0,0.10999999940395355,-0.24,0.2,True,1.0
METH__LAMB2,100,50,1.0,0.10000000149011612,-0.16,0.21,True,1.0
TPM__MIR142HG,100,50,1.0,0.12999999523162842,-0.28,0.2,True,1.0
METH__C9orf150,99,49,0.99,0.10000000149011612,-0.24,0.22,True,1.0
METH__THAP10,99,49,0.99,0.07999999821186066,-0.17,0.22,True,1.0
METH__KLF4,99,49,0.99,0.09000000357627869,-0.23,0.24,True,1.0
METH__TEAD4,98,48,0.98,0.07999999821186066,-0.22,0.25,True,1.0
METH__FST,98,48,0.98,0.03999999910593033,-0.17,0.2,True,1.0
METH__CD276,97,47,0.97,0.05999999865889549,-0.17,0.2,True,0.992
METH__FLJ41603,92,42,0.92,0.05000000074505806,-0.22,0.2,False,0.013
METH__CHCHD4,92,42,0.92,0.019999999552965164,0.18,0.2,False,0.013
CNV__SMO,88,38,0.88,0.03999999910593033,0.19,0.2,False,0.0
METH__TRPM4,88,38,0.88,0.03999999910593033,-0.16,0.21,False,0.0
METH__LNPEP,84,34,0.84,0.07000000029802322,0.21,0.24,False,0.0
METH__SPRYD3,84,34,0.84,0.07000000029802322,-0.25,0.2,False,0.0
METH__GEMIN7,84,35,0.84,0.03999999910593033,0.15,0.22,False,0.0
METH__TOP2A,82,34,0.82,0.05000000074505806,-0.16,0.21,False,0.0
METH__ST7,81,32,0.81,0.03999999910593033,-0.16,0.19,False,0.0
METH__ALCAM,76,27,0.76,0.019999999552965164,-0.19,0.2,False,0.0
METH__ZNF434,74,26,0.74,0.019999999552965164,-0.11,0.2,False,0.0
CNV__STAT6,72,24,0.72,0.019999999552965164,0.22,0.2,False,0.0
CNV__COL1A1,70,24,0.7,0.05999999865889549,0.25,0.21,False,0.0
CNV__NAB2,70,21,0.7,0.019999999552965164,0.22,0.2,False,0.0
METH__LCA5,69,25,0.69,0.07000000029802322,-0.22,0.24,False,0.0
CNV__FAM135B,69,21,0.69,0.029999999329447746,0.18,0.21,False,0.0
CNV__CUX1,68,20,0.68,0.009999999776482582,0.16,0.23,False,0.0
CNV__ABCB1,68,21,0.68,0.019999999552965164,0.17,0.2,False,0.0
CNV__LTB,67,21,0.67,0.029999999329447746,0.18,0.19,False,0.0
CNV__FAT3,66,20,0.66,0.03999999910593033,0.22,0.21,False,0.0
CNV__GLI1,66,19,0.66,0.009999999776482582,0.21,0.2,False,0.0
CNV__CDK12,66,18,0.66,0.0,0.22,0.2,False,0.0
CNV__SPOP,65,18,0.65,0.05999999865889549,0.24,0.2,False,0.0
CNV__ERBB3,64,17,0.64,0.05000000074505806,0.23,0.2,False,0.0
CNV__TRRAP,62,18,0.62,0.009999999776482582,0.16,0.21,False,0.0
CNV__TERT,61,17,0.61,0.009999999776482582,0.21,0.19,False,0.0
