feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__F2RL1,100,50,1.0,0.07999999821186066,0.3,0.15,True,1.0
TPM__CCN1,100,50,1.0,0.1599999964237213,0.4,0.17,True,1.0
TPM__VEPH1,100,50,1.0,0.10000000149011612,0.37,0.14,True,1.0
TPM__LINC00702,100,50,1.0,0.07999999821186066,0.31,0.15,True,1.0
TPM__KRTAP2-3,100,50,1.0,0.07000000029802322,0.34,0.19,True,1.0
TPM__TPM1,100,50,1.0,0.11999999731779099,0.33,0.18,True,1.0
METH__CCDC12,100,50,1.0,0.09000000357627869,-0.27,0.18,True,1.0
TPM__SLFN11,100,50,1.0,0.1599999964237213,-0.38,0.18,True,1.0
TPM__HDAC11,100,50,1.0,0.12999999523162842,0.37,0.15,True,1.0
TPM__QPCT,100,50,1.0,0.009999999776482582,0.09,0.14,True,1.0
TPM__KDELR2,100,50,1.0,0.10000000149011612,0.29,0.14,True,1.0
TPM__LINC01836,100,50,1.0,0.05000000074505806,0.29,0.15,True,1.0
TPM__SLC19A3,100,50,1.0,0.0,0.19,0.15,True,1.0
TPM__TSPOAP1-AS1,100,50,1.0,0.07999999821186066,-0.2,0.15,True,1.0
TPM__CORO1A,100,50,1.0,0.07999999821186066,-0.25,0.14,True,1.0
TPM__UACA,100,50,1.0,0.10000000149011612,0.34,0.14,True,1.0
METH__LHFPL2,99,49,0.99,0.029999999329447746,-0.17,0.15,True,1.0
METH__PTPN14,97,47,0.97,0.05000000074505806,-0.26,0.15,True,0.992
METH__LRIG3,91,42,0.91,0.05999999865889549,-0.21,0.15,False,0.013
CNV__TCIRG1,90,40,0.9,0.05000000074505806,0.28,0.16,False,0.0
CNV__CCND1,87,37,0.87,0.029999999329447746,0.29,0.14,False,0.0
TPM__RNVU1-3,85,37,0.85,0.0,-0.08,0.14,False,0.0
CNV__KIFC1,84,35,0.84,0.05000000074505806,0.24,0.15,False,0.0
TPM__CDH12P2,81,32,0.81,0.009999999776482582,-0.11,0.16,False,0.0
CNV__LZTR1,80,30,0.8,0.019999999552965164,0.22,0.15,False,0.0
TPM__RNVU1-25,80,30,0.8,0.0,0.04,0.17,False,0.0
METH__EIF4H,74,25,0.74,0.0,0.07,0.16,False,0.0
CNV__MAML2,74,27,0.74,0.03999999910593033,0.21,0.16,False,0.0
METH__TUBGCP5,73,25,0.73,0.0,-0.08,0.14,False,0.0
CNV__SRSF3,71,22,0.71,0.03999999910593033,0.23,0.15,False,0.0
CNV__POU5F1,71,23,0.71,0.05000000074505806,0.23,0.16,False,0.0
CNV__KDM3B,69,20,0.69,0.05000000074505806,0.26,0.17,False,0.0
CNV__FANCE,68,21,0.68,0.03999999910593033,0.24,0.16,False,0.0
CNV__KLF4,66,20,0.66,0.05999999865889549,0.25,0.19,False,0.0
METH__LRP11,66,22,0.66,0.019999999552965164,-0.11,0.16,False,0.0
CNV__MLF1,63,17,0.63,0.05000000074505806,0.25,0.14,False,0.0
CNV__FBN2,62,16,0.62,0.03999999910593033,0.23,0.14,False,0.0
CNV__ARHGEF12,62,17,0.62,0.029999999329447746,0.2,0.16,False,0.0
METH__C7orf60,62,21,0.62,0.0,-0.1,0.16,False,0.0
METH__ATP6V1D,61,16,0.61,0.029999999329447746,-0.15,0.14,False,0.0
CNV__CREBBP,61,13,0.61,0.019999999552965164,0.19,0.14,False,0.0
CNV__TNC,59,13,0.59,0.05999999865889549,0.25,0.15,False,0.0
CNV__CBL,59,15,0.59,0.029999999329447746,0.21,0.15,False,0.0
CNV__ARHGAP26,58,12,0.58,0.05000000074505806,0.26,0.15,False,0.0
CNV__DDB2,57,13,0.57,0.05000000074505806,0.24,0.14,False,0.0
CNV__FAT2,56,12,0.56,0.05999999865889549,0.26,0.15,False,0.0
CNV__HMGA1,56,12,0.56,0.05000000074505806,0.24,0.15,False,0.0
CNV__RBFOX1,55,13,0.55,0.019999999552965164,0.18,0.14,False,0.0
CNV__FANCG,54,11,0.54,0.03999999910593033,0.19,0.17,False,0.0
CNV__DAXX,53,10,0.53,0.05000000074505806,0.24,0.15,False,0.0
TPM__RNU1-91P,52,15,0.52,0.0,-0.07,0.15,False,0.0
CNV__PIM1,52,11,0.52,0.03999999910593033,0.23,0.15,False,0.0
CNV__WT1,51,11,0.51,0.03999999910593033,0.22,0.18,False,0.0
METH__VAV2,50,9,0.5,0.029999999329447746,-0.11,0.18,False,0.002
TPM__SNORA70,50,12,0.5,0.0,0.05,0.2,False,0.0
TPM__RNA5SP216,48,10,0.48,0.0,-0.03,0.15,False,0.0
TPM__SCARNA8,47,9,0.47,0.019999999552965164,-0.11,0.21,False,0.002
CNV__TSHR,47,10,0.47,0.019999999552965164,0.2,0.15,False,0.0
METH__RAPH1,46,6,0.46,0.029999999329447746,-0.17,0.15,True,0.181
TPM__SNORA80E,46,10,0.46,0.009999999776482582,-0.11,0.2,False,0.0
CNV__CALR,44,9,0.44,0.03999999910593033,0.16,0.15,False,0.002
MUT__PIK3CA,44,5,0.44,0.009999999776482582,0.1,0.23,True,0.458
CNV__UBE2D2,44,8,0.44,0.05999999865889549,0.26,0.16,False,0.013
MUT__KRAS,42,4,0.42,0.009999999776482582,0.09,0.23,True,0.832
