feature,Selection count,Pair count,CPSS Score
TPM__TRNP1,97,47,0.97
TPM__APLP2,93,43,0.93
TPM__RSL24D1,87,37,0.87
TPM__FN1,86,36,0.86
TPM__LAMP1,85,35,0.85
TPM__CARMIL2,84,34,0.84
TPM__EEF2,80,30,0.8
TPM__AREG,79,29,0.79
TPM__RRP1B,78,28,0.78
TPM__ABHD11,78,28,0.78
TPM__CCDC138,78,28,0.78
TPM__BCL11A,77,27,0.77
TPM__KIF21B,76,26,0.76
METH__LMCD1,74,25,0.74
TPM__NAV2,73,23,0.73
TPM__MLPH,71,21,0.71
TPM__KDM2B,71,22,0.71
METH__MGAT1,70,20,0.7
METH__PSTK,70,20,0.7
TPM__NPAS2,69,19,0.69
TPM__MORC4,69,19,0.69
TPM__CAMK2N1,69,20,0.69
TPM__CARD10,65,17,0.65
TPM__WFS1,65,16,0.65
TPM__BTC,64,14,0.64
TPM__KRT80,62,12,0.62
TPM__EMP2,61,12,0.61
TPM__IGFBP3,60,12,0.6
TPM__LTBR,60,12,0.6
TPM__CDT1,59,11,0.59
TPM__ADAT2,59,11,0.59
METH__JUB,58,9,0.58
METH__MIR203,56,8,0.56
METH__FAM129C,54,5,0.54
TPM__C11orf52,54,7,0.54
TPM__AGRN,54,7,0.54
METH__SNED1,54,8,0.54
TPM__PTGR1,53,7,0.53
METH__AGXT2L2,53,7,0.53
TPM__EIF3L,52,7,0.52
TPM__ZBED4,52,4,0.52
TPM__ERBB2,52,6,0.52
METH__S100A1,51,5,0.51
TPM__ATP6V0E1,51,7,0.51
TPM__OPHN1,51,4,0.51
TPM__PPP1R16B,50,7,0.5
TPM__WDCP,50,7,0.5
TPM__LGALS3,49,4,0.49
TPM__ME2,49,6,0.49
TPM__ARHGAP29,48,4,0.48
TPM__RGL3,47,4,0.47
TPM__HDAC11,47,2,0.47
TPM__GABPB1-AS1,47,1,0.47
TPM__GDF15,46,5,0.46
TPM__TAF4B,46,3,0.46
TPM__TRAF3IP3,45,3,0.45
TPM__ELOVL1,45,3,0.45
METH__TBC1D10C,44,5,0.44
TPM__DUSP23,44,4,0.44
METH__GCET2,43,3,0.43
TPM__SEPTIN1,43,1,0.43
METH__PROCA1,43,3,0.43
TPM__CTNNA1,43,2,0.43
METH__EIF3K,42,4,0.42
TPM__SOX13,42,2,0.42
TPM__RPL18A,41,0,0.41
METH__TRIM44,41,5,0.41
TPM__AGAP2,41,4,0.41
TPM__FKBP9,40,1,0.4
TPM__CTSD,40,0,0.4
TPM__CUEDC1,39,2,0.39
TPM__NBL1,39,2,0.39
TPM__PTTG1IP,39,0,0.39
TPM__B4GALT4,39,4,0.39
TPM__S100A13,38,3,0.38
TPM__ARHGAP19,38,2,0.38
TPM__RASSF7,38,3,0.38
METH__MOSC2,37,1,0.37
TPM__DDN,37,1,0.37
TPM__BMS1P23,37,1,0.37
TPM__DCP2,37,2,0.37
TPM__MICALL2,37,1,0.37
TPM__IQCB1,36,0,0.36
METH__VTRNA1-2,36,3,0.36
TPM__ELMO1,36,0,0.36
METH__TERF1,36,1,0.36
METH__PTPN14,36,0,0.36
TPM__PSTPIP1,35,1,0.35
TPM__PSAP,34,2,0.34
METH__GSPT1,34,1,0.34
TPM__ZCCHC3,33,0,0.33
TPM__TMEM131L,33,2,0.33
TPM__KLRG1,33,1,0.33
TPM__PCBP1-AS1,33,0,0.33
METH__HCST,32,0,0.32
TPM__KBTBD8,32,0,0.32
TPM__CYB561,32,0,0.32
TPM__NCEH1,31,0,0.31
TPM__TPM1,31,0,0.31
TPM__CBR3-AS1,31,1,0.31
METH__ZNF395,31,1,0.31
METH__HOOK1,31,0,0.31
TPM__RPL11,30,1,0.3
METH__MAP4K1,30,1,0.3
METH__GULP1,30,0,0.3
TPM__RIPK4,29,1,0.29
TPM__PLS3,29,1,0.29
METH__ZNF579,29,1,0.29
METH__KRI1,28,0,0.28
METH__CDKN2D,28,0,0.28
TPM__GNG12,28,0,0.28
TPM__RND3,28,0,0.28
METH__PQLC3,28,1,0.28
TPM__RBPMS,27,0,0.27
TPM__RFXAP,27,0,0.27
TPM__TBC1D10C,27,2,0.27
METH__RAVER1,26,0,0.26
TPM__SEPTIN6,26,0,0.26
TPM__CNTRL,26,0,0.26
TPM__TMEM51,26,0,0.26
TPM__LAPTM4A,26,0,0.26
TPM__EVA1A,25,0,0.25
TPM__CTSL,25,1,0.25
TPM__GPC1,24,0,0.24
METH__TMEM149,24,0,0.24
TPM__CRLF3,24,4,0.24
TPM__TAF5,24,0,0.24
METH__RHEB,24,0,0.24
METH__NFIB,24,2,0.24
TPM__GPR39,24,0,0.24
TPM__RPL10A,24,0,0.24
TPM__EGFR,23,0,0.23
TPM__KRT7,23,4,0.23
TPM__GRAMD2B,23,1,0.23
TPM__RBM15,23,2,0.23
TPM__CSK,23,1,0.23
METH__CD160,23,3,0.23
METH__SLC44A2,22,0,0.22
TPM__SPATS2L,22,0,0.22
TPM__THBS1,22,0,0.22
METH__PTP4A1,22,1,0.22
TPM__EPHA2,22,0,0.22
METH__ARHGAP4,22,6,0.22
TPM__PLPP2,22,0,0.22
TPM__CCDC9B,22,1,0.22
TPM__NPC2,21,1,0.21
TPM__ABCC3,21,0,0.21
METH__BCL9L,21,0,0.21
TPM__NPTN,21,0,0.21
TPM__SEC14L2,21,0,0.21
METH__FAT1,21,0,0.21
TPM__NQO1,21,0,0.21
TPM__TGFA,21,2,0.21
TPM__GPRC5A,21,0,0.21
METH__PPP1R16B,21,0,0.21
TPM__WWC1,20,0,0.2
TPM__ARHGAP30,20,0,0.2
TPM__AHNAK2,20,0,0.2
