feature,Selection count,Pair count,CPSS Score
METH__LMCD1,100,50,1.0
METH__AHI1,100,50,1.0
TPM__IKZF1,100,50,1.0
METH__TCEANC,100,50,1.0
METH__AP1B1,100,50,1.0
METH__PTGR2,100,50,1.0
TPM__MIR142HG,100,50,1.0
METH__ZNF697,99,49,0.99
METH__DENND4B,99,49,0.99
METH__KLF4,99,49,0.99
METH__EFNA5,98,48,0.98
METH__LRP6,98,48,0.98
METH__CMTM1,96,46,0.96
METH__FGGY,94,44,0.94
METH__ATG4D,94,44,0.94
METH__TPX2,94,44,0.94
METH__GPAA1,93,43,0.93
METH__WIBG,92,42,0.92
METH__PELP1,90,40,0.9
CNV__NPEPPS,90,41,0.9
METH__RPS19BP1,89,39,0.89
METH__FBXO18,86,37,0.86
METH__AGPHD1,85,35,0.85
METH__TMEM106B,80,31,0.8
METH__VPS37C,78,28,0.78
CNV__PTK6,77,28,0.77
METH__RAPH1,74,24,0.74
METH__ZNF434,73,25,0.73
CNV__MAML2,72,24,0.72
METH__DNAJC13,70,22,0.7
CNV__CD74,69,22,0.69
METH__ZMYND17,66,18,0.66
CNV__NFKBIA,66,22,0.66
METH__TFG,65,17,0.65
METH__PDXP,65,16,0.65
CNV__ASXL1,65,20,0.65
METH__TAX1BP3,63,16,0.63
CNV__FOXA2,62,15,0.62
METH__DECR1,62,16,0.62
METH__KPNA6,59,14,0.59
METH__EIF1,55,11,0.55
CNV__IKZF1,55,13,0.55
CNV__PDGFRB,54,10,0.54
METH__CSDA,54,9,0.54
METH__C20orf111,53,10,0.53
METH__RPL14,52,9,0.52
METH__CEP170,51,13,0.51
METH__CCDC88A,51,9,0.51
CNV__EGFR,49,8,0.49
CNV__PREX2,49,11,0.49
CNV__SRC,49,9,0.49
CNV__CARD11,48,9,0.48
METH__KIAA1279,47,8,0.47
CNV__ACSL3,47,4,0.47
CNV__SFRP4,46,4,0.46
METH__PIGT,45,3,0.45
CNV__BRIP1,45,6,0.45
CNV__BCL11A,45,7,0.45
