feature,Selection count,Pair count,CPSS Score
TPM__BCL2L1,99,49,0.99
METH__TRIM65,96,46,0.96
TPM__SLC38A5,95,45,0.95
METH__SNORA80B,93,43,0.93
TPM__DHPS,80,30,0.8
METH__SHISA4,78,28,0.78
METH__LOC100271836,78,28,0.78
TPM__PEA15,77,27,0.77
TPM__ABHD12,76,26,0.76
TPM__GRAMD2B,74,24,0.74
METH__C11orf95,73,23,0.73
TPM__TPP2,68,18,0.68
TPM__SIL1,67,17,0.67
METH__TSPAN14,66,16,0.66
TPM__KRT80,64,17,0.64
TPM__RPL36,63,14,0.63
TPM__RNF122,62,12,0.62
TPM__MFAP4,62,12,0.62
TPM__EVA1A,61,12,0.61
TPM__METRN,61,14,0.61
METH__MIR193A,61,11,0.61
METH__CFD,61,11,0.61
TPM__CELSR1,61,14,0.61
METH__C7orf30,61,14,0.61
TPM__MET,60,10,0.6
TPM__PLA2G15,58,8,0.58
METH__PGCP,57,8,0.57
METH__NFKBIZ,56,11,0.56
METH__MIR21,56,10,0.56
METH__TMEM140,56,7,0.56
METH__KLHDC7A,53,5,0.53
METH__C17orf93,53,8,0.53
TPM__ERBB2,53,6,0.53
TPM__BCL11A,53,6,0.53
TPM__CSNK1G2,52,5,0.52
METH__JUB,52,6,0.52
METH__ASB9,51,5,0.51
TPM__EEF2,50,1,0.5
TPM__TSPAN4,49,5,0.49
METH__RIMBP2,49,6,0.49
TPM__N4BP2L2-IT2,48,3,0.48
TPM__PDCD6IP-DT,47,4,0.47
TPM__ATOX1,47,5,0.47
TPM__LTBR,46,3,0.46
TPM__SATB1,45,3,0.45
TPM__MATN3,45,3,0.45
TPM__COTL1,45,4,0.45
TPM__ZNF124,44,1,0.44
METH__ZNF579,43,2,0.43
TPM__LPP-AS2,43,4,0.43
TPM__NIBAN2,43,5,0.43
TPM__RAB33A,43,2,0.43
METH__PQLC3,43,1,0.43
TPM__MCM3AP-AS1,43,2,0.43
TPM__PON2,43,1,0.43
METH__MIR1284,42,3,0.42
TPM__CBX2,42,3,0.42
TPM__LINC00973,41,2,0.41
METH__DIABLO,41,0,0.41
TPM__ARHGAP19,41,2,0.41
TPM__RAB32,40,3,0.4
TPM__LMCD1,40,1,0.4
TPM__SSBP3,40,1,0.4
TPM__TM9SF1,40,1,0.4
TPM__FBRSL1,40,3,0.4
TPM__MT2A,39,1,0.39
TPM__CTSZ,39,1,0.39
TPM__HNRNPA1L2,39,0,0.39
METH__PSTK,39,0,0.39
TPM__RIMBP2,39,1,0.39
TPM__KCNAB3,38,1,0.38
TPM__GGCX,38,0,0.38
TPM__RIPK4,38,2,0.38
TPM__PLEC,38,2,0.38
TPM__LPP,37,0,0.37
TPM__DDN,37,1,0.37
TPM__GRN,37,1,0.37
TPM__MID2,37,1,0.37
TPM__CDC42EP1,36,0,0.36
