feature,Selection count,Pair count,CPSS Score
TPM__BCL2L1,100,50,1.0
TPM__TNFAIP8,100,50,1.0
TPM__BMS1P23,94,44,0.94
TPM__AKTIP,90,40,0.9
TPM__TSPAN13,90,40,0.9
TPM__MOB3A,77,27,0.77
TPM__POLR1H,77,27,0.77
TPM__SH3D19,76,26,0.76
TPM__CST6,76,26,0.76
METH__MIR150,75,25,0.75
METH__LTC4S,71,21,0.71
TPM__SNX21,70,20,0.7
TPM__RPL10A,70,21,0.7
METH__GPD2,70,20,0.7
TPM__TSPAN6,69,19,0.69
METH__LAT,69,19,0.69
TPM__PIK3CG,69,19,0.69
TPM__PTTG1IP,67,18,0.67
TPM__ELOVL7,63,15,0.63
METH__EPS8,61,13,0.61
TPM__PIP4K2C,58,10,0.58
METH__SLC1A1,58,9,0.58
TPM__APLP2,54,6,0.54
METH__CCDC12,54,8,0.54
TPM__TUFT1,54,9,0.54
TPM__LINC00926,53,7,0.53
TPM__MPZL2,53,6,0.53
TPM__CYTH4,52,7,0.52
TPM__CORO7,51,3,0.51
METH__PROCA1,50,4,0.5
TPM__DAG1,50,4,0.5
METH__TMEM135,49,3,0.49
TPM__CD9,48,7,0.48
TPM__MAL2,48,3,0.48
TPM__DLG5,45,3,0.45
TPM__TMEM54,45,3,0.45
METH__SEMA3C,44,3,0.44
TPM__ARID5A,44,4,0.44
TPM__OVOL2,43,1,0.43
TPM__KRT18,43,4,0.43
TPM__NPTN,43,3,0.43
TPM__KIF21B,42,3,0.42
TPM__EVI2A,42,3,0.42
TPM__CUEDC1,42,2,0.42
TPM__MANBAL,42,3,0.42
TPM__PCDH1,42,1,0.42
TPM__ALS2CL,41,2,0.41
TPM__MFNG,41,4,0.41
TPM__TACC2,41,2,0.41
TPM__PMEPA1,40,5,0.4
TPM__SDC4,40,1,0.4
TPM__CMTM4,40,1,0.4
TPM__ARHGAP30,40,1,0.4
TPM__DOCK11,40,4,0.4
TPM__FAM177A1,39,3,0.39
METH__CAP2,39,2,0.39
TPM__TM4SF1,39,1,0.39
TPM__KCNAB2,39,0,0.39
TPM__AREG,38,2,0.38
METH__MATN3,38,1,0.38
METH__CXCR3,38,3,0.38
METH__MIR203,38,0,0.38
TPM__PTPRF,38,0,0.38
TPM__MANSC1,38,0,0.38
METH__B2M,37,1,0.37
TPM__OPHN1,37,2,0.37
TPM__CYB561,37,2,0.37
TPM__SLC2A5,37,2,0.37
TPM__IRAG2,36,1,0.36
TPM__RGL3,36,5,0.36
TPM__SPR,35,3,0.35
TPM__BCAM,35,1,0.35
TPM__THSD4,35,2,0.35
TPM__CORO1A-AS1,35,0,0.35
METH__ITGA3,35,2,0.35
TPM__ANKLE1,35,0,0.35
TPM__TGFA,34,1,0.34
TPM__FNBP1L,34,1,0.34
METH__EGLN3,32,1,0.32
TPM__F2RL1,32,5,0.32
METH__HES4,32,2,0.32
TPM__RAPH1,31,0,0.31
TPM__MMP15,31,3,0.31
TPM__SHISA4,31,0,0.31
METH__GPR39,30,0,0.3
TPM__ERBB3,30,0,0.3
TPM__TSPAN15,30,0,0.3
TPM__PFKFB2,30,1,0.3
TPM__CNN3,30,1,0.3
TPM__PDE1B,30,0,0.3
TPM__EPHX1,30,11,0.3
TPM__NIBAN2,29,1,0.29
METH__SPATA13,29,0,0.29
METH__GHRLOS,29,0,0.29
METH__COBL,29,0,0.29
TPM__PLEKHG6,28,0,0.28
TPM__ARHGEF16,28,0,0.28
METH__EVL,27,0,0.27
TPM__BCAR1,27,0,0.27
TPM__ARPIN-AP3S2,27,1,0.27
TPM__SH3BP4,27,0,0.27
METH__FAM84A,27,2,0.27
TPM__AGRN,27,1,0.27
METH__ZFP2,27,0,0.27
TPM__TMEM139,27,3,0.27
TPM__LAPTM5,27,0,0.27
TPM__ID1,27,0,0.27
TPM__DSP,26,1,0.26
TPM__KRT8,26,0,0.26
METH__FEZF1,25,9,0.25
METH__BOK,25,2,0.25
METH__BTBD16,25,0,0.25
TPM__GFI1,25,3,0.25
METH__MYH14,25,0,0.25
TPM__LRATD2,25,1,0.25
TPM__APP,25,1,0.25
TPM__PXK,25,1,0.25
TPM__IL21R,25,0,0.25
TPM__PRKCZ,24,0,0.24
TPM__KLF3,24,1,0.24
TPM__CCND1,23,1,0.23
TPM__C19orf33,23,0,0.23
TPM__HDAC11,23,0,0.23
TPM__C1orf116,23,0,0.23
METH__FAM110C,23,0,0.23
TPM__ARHGAP29,23,2,0.23
METH__LYPD6,23,1,0.23
METH__MTMR11,23,0,0.23
TPM__EPB41L1,22,0,0.22
TPM__KBTBD8,22,10,0.22
METH__CD1C,22,0,0.22
TPM__PRSS22,22,0,0.22
TPM__PAK4,21,1,0.21
TPM__RIPK4,21,2,0.21
TPM__SOWAHB,21,3,0.21
METH__APOB48R,20,0,0.2
METH__MAL2,20,1,0.2
METH__SLA2,20,0,0.2
METH__MORN4,20,3,0.2
TPM__CLDN4,20,0,0.2
METH__PIP5K1A,20,3,0.2
TPM__CTNND1,20,0,0.2
TPM__NHSL3,19,0,0.19
TPM__C11orf52,19,0,0.19
METH__AFAP1,19,7,0.19
METH__HCST,19,0,0.19
TPM__RTKN,19,5,0.19
TPM__WFS1,19,1,0.19
METH__SNED1,19,6,0.19
METH__ABHD10,19,1,0.19
TPM__TSPOAP1-AS1,18,0,0.18
TPM__PPIC,18,2,0.18
METH__RGMB,18,0,0.18
METH__GSPT1,18,5,0.18
TPM__GPSM3,18,3,0.18
METH__LOC148709,18,1,0.18
METH__C7orf23,18,4,0.18
METH__RASSF1,18,1,0.18
TPM__TSKU,18,5,0.18
METH__MGAT1,17,1,0.17
TPM__CD37,17,0,0.17
TPM__PRSS23,17,1,0.17
METH__PAWR,17,1,0.17
METH__SELPLG,17,0,0.17
TPM__APBB1IP,17,2,0.17
TPM__SHROOM3,17,2,0.17
TPM__IL17RC,17,2,0.17
TPM__MYO5B,17,0,0.17
METH__AP1M2,16,0,0.16
TPM__PTPN22,16,0,0.16
METH__AK1,16,1,0.16
METH__RPS6KA1,16,2,0.16
TPM__EPS8,16,3,0.16
TPM__ATP1B1,16,1,0.16
METH__SLC44A2,16,0,0.16
TPM__DOCK2,16,0,0.16
TPM__TJP1,16,0,0.16
TPM__CTNNA1,16,4,0.16
TPM__RHPN2,15,1,0.15
TPM__ERBB2,15,2,0.15
TPM__ASAP2,15,5,0.15
TPM__FAM78A,15,1,0.15
TPM__WWC1,15,0,0.15
TPM__GIPC1,15,1,0.15
TPM__SLC49A4,15,4,0.15
TPM__SOX13,15,1,0.15
METH__KCNK1,15,1,0.15
METH__LOC100233209,15,0,0.15
METH__MLL2,15,2,0.15
TPM__LYL1,15,0,0.15
METH__INPP5D,15,1,0.15
METH__FAM47E,15,0,0.15
METH__AMOTL2,15,1,0.15
METH__FCHO1,15,0,0.15
TPM__INPP5D,15,0,0.15
METH__TERF1,14,4,0.14
TPM__IL12RB1,14,2,0.14
TPM__FCHO2,14,2,0.14
METH__TTLL13,14,1,0.14
TPM__PARVG,14,5,0.14
