feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
METH__KLF4,100,50,1.0,0.09000000357627869,-0.27,0.27,True,1.0
METH__LCA5,100,50,1.0,0.10000000149011612,-0.26,0.21,True,1.0
METH__GNG12,100,50,1.0,0.05000000074505806,-0.19,0.2,True,1.0
METH__C14orf128,100,50,1.0,0.07000000029802322,-0.29,0.2,True,1.0
METH__SMAD1,100,50,1.0,0.07000000029802322,-0.24,0.19,True,1.0
METH__ACTN1,100,50,1.0,0.10000000149011612,-0.27,0.19,True,1.0
TPM__NCKAP1L,100,50,1.0,0.12999999523162842,-0.26,0.21,True,1.0
METH__PSMB8,100,50,1.0,0.029999999329447746,0.23,0.19,True,1.0
METH__ZNF697,100,50,1.0,0.10000000149011612,-0.27,0.21,True,1.0
TPM__IKZF1,100,50,1.0,0.15000000596046448,-0.26,0.2,True,1.0
METH__PTPRCAP,100,50,1.0,0.10999999940395355,0.32,0.19,True,1.0
METH__MRPS35,99,49,0.99,0.07999999821186066,-0.31,0.2,True,1.0
METH__INTU,99,49,0.99,0.11999999731779099,-0.34,0.21,True,1.0
METH__TPX2,98,48,0.98,0.07000000029802322,-0.26,0.2,True,1.0
METH__CCNC,98,48,0.98,0.03999999910593033,-0.23,0.2,True,1.0
TPM__SNORA31,97,47,0.97,0.0,0.01,0.23,True,0.992
METH__PPP2R1B,96,46,0.96,0.05000000074505806,-0.26,0.2,True,0.832
METH__PSMD11,95,45,0.95,0.05000000074505806,-0.21,0.19,True,0.458
METH__SNX3,93,43,0.93,0.03999999910593033,-0.24,0.19,True,0.053
METH__TSPAN9,93,43,0.93,0.019999999552965164,-0.18,0.19,True,0.053
CNV__NSD3,91,41,0.91,0.0,-0.03,0.17,False,0.002
METH__FZD4,91,41,0.91,0.03999999910593033,-0.22,0.2,False,0.002
METH__WDR70,89,39,0.89,0.0,0.08,0.19,False,0.0
METH__KDM4D,87,37,0.87,0.05999999865889549,-0.18,0.2,False,0.0
METH__C20orf111,87,37,0.87,0.029999999329447746,-0.19,0.19,False,0.0
METH__PTGR2,86,36,0.86,0.03999999910593033,-0.28,0.2,False,0.0
TPM__ATP5F1EP2,86,36,0.86,0.009999999776482582,0.1,0.19,False,0.0
METH__SPAG9,84,35,0.84,0.05999999865889549,-0.22,0.2,False,0.0
