feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__HOXB-AS3,78,28,0.78,0.12999999523162842,0.35,0.15,False,0.0
TPM__UBL3,74,25,0.74,0.12999999523162842,0.4,0.08,False,0.0
TPM__NAP1L1,69,19,0.69,0.1899999976158142,-0.45,0.14,False,0.0
METH__C20orf123,66,16,0.66,0.12999999523162842,0.34,0.09,False,0.0
METH__THEM4,61,13,0.61,0.12999999523162842,-0.36,0.07,False,0.0
TPM__PRKX,60,13,0.6,0.1599999964237213,-0.4,0.0,False,0.0
TPM__CCN3,60,11,0.6,0.14000000059604645,0.4,0.13,False,0.0
METH__PQLC3,59,10,0.59,0.12999999523162842,0.34,0.14,False,0.0
TPM__SNHG29,58,8,0.58,0.12999999523162842,-0.35,0.08,False,0.013
TPM__FAM210B,58,11,0.58,0.12999999523162842,0.35,0.15,False,0.0
TPM__SYNM,55,8,0.55,0.12999999523162842,0.32,0.03,False,0.013
TPM__GSN,50,4,0.5,0.12999999523162842,0.4,0.05,True,0.832
METH__MFAP4,49,2,0.49,0.1599999964237213,0.4,0.15,True,1.0
METH__MIR1203,46,3,0.46,0.14000000059604645,0.31,0.1,True,0.992
TPM__PLEKHH1,46,5,0.46,0.12999999523162842,0.34,0.07,True,0.458
METH__CEBPE,45,3,0.45,0.20000000298023224,0.41,0.23,True,0.992
METH__CSDC2,44,4,0.44,0.14000000059604645,0.39,0.03,True,0.832
TPM__RPL23A,43,3,0.43,0.1599999964237213,-0.41,0.22,True,0.992
TPM__THOC6,41,2,0.41,0.14000000059604645,-0.32,0.11,True,1.0
TPM__TRERF1,38,3,0.38,0.14000000059604645,-0.37,0.02,True,0.992
METH__CD48,38,2,0.38,0.1599999964237213,0.42,0.09,True,1.0
TPM__TFAP4,36,0,0.36,0.14000000059604645,-0.33,0.08,False,
TPM__TMA16,36,0,0.36,0.14000000059604645,-0.35,0.07,False,
TPM__EIF4B,35,0,0.35,0.15000000596046448,-0.36,0.11,False,
METH__TIE1,32,2,0.32,0.1599999964237213,0.42,0.24,True,1.0
TPM__MLPH,32,0,0.32,0.15000000596046448,0.4,0.16,False,
METH__BZRAP1,31,1,0.31,0.12999999523162842,0.28,0.01,True,1.0
METH__PIGM,30,1,0.3,0.14000000059604645,-0.26,0.16,True,1.0
METH__LGALS2,28,2,0.28,0.1599999964237213,0.38,0.09,True,1.0
TPM__IL21R,27,0,0.27,0.12999999523162842,-0.27,0.1,False,
TPM__CORO1A,27,0,0.27,0.14000000059604645,-0.34,0.06,False,
METH__DLEC1,27,1,0.27,0.14000000059604645,0.37,0.11,True,1.0
TPM__TCF3,26,2,0.26,0.15000000596046448,-0.33,0.1,True,1.0
METH__C10orf55,26,0,0.26,0.12999999523162842,0.41,0.1,False,
TPM__CDT1,25,2,0.25,0.1899999976158142,-0.41,0.14,True,1.0
METH__DGKZ,24,0,0.24,0.18000000715255737,0.42,0.13,False,
METH__AHI1,24,1,0.24,0.14000000059604645,-0.34,0.12,True,1.0
TPM__RPL18A,23,0,0.23,0.14000000059604645,-0.41,0.08,False,
METH__PLEKHA2,23,0,0.23,0.12999999523162842,0.34,0.11,False,
TPM__BCL11A,23,3,0.23,0.12999999523162842,-0.33,0.01,True,0.992
TPM__MED28,22,1,0.22,0.15000000596046448,-0.4,0.11,True,1.0
TPM__KDM2B,22,1,0.22,0.14000000059604645,-0.34,0.06,True,1.0
TPM__PAICS,21,0,0.21,0.15000000596046448,-0.41,0.16,False,
TPM__FAM216A,21,1,0.21,0.14000000059604645,-0.39,0.1,True,1.0
METH__AK1,21,2,0.21,0.12999999523162842,-0.34,0.1,True,1.0
METH__TRIM44,21,1,0.21,0.12999999523162842,-0.36,0.17,True,1.0
METH__MIR142,20,0,0.2,0.12999999523162842,0.25,0.06,False,
TPM__ARHGAP19,19,0,0.19,0.14000000059604645,-0.34,0.0,False,
TPM__FLI1,19,2,0.19,0.12999999523162842,-0.32,0.06,True,1.0
TPM__RPL9,19,0,0.19,0.17000000178813934,-0.45,0.12,False,
TPM__PSTPIP1,19,0,0.19,0.18000000715255737,-0.46,0.12,False,
METH__LGALS12,18,1,0.18,0.14000000059604645,0.36,0.14,True,1.0
TPM__SH2D3C,18,3,0.18,0.14000000059604645,-0.34,0.08,True,0.992
TPM__LBR,17,0,0.17,0.17000000178813934,-0.39,0.08,False,
TPM__DDN,16,2,0.16,0.1599999964237213,-0.37,0.02,True,1.0
METH__APOB48R,15,0,0.15,0.15000000596046448,0.33,0.16,False,
METH__MMRN2,15,0,0.15,0.14000000059604645,0.33,0.14,False,
METH__HCST,15,0,0.15,0.23000000417232513,0.44,0.14,False,
METH__CD160,14,0,0.14,0.12999999523162842,0.29,0.12,False,
TPM__PLXNB3,13,0,0.13,0.12999999523162842,0.37,0.08,False,
