feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
METH__GCET2,82,32,0.82,0.20999999344348907,0.44,0.09,False,0.0
TPM__EVA1A,77,27,0.77,0.20999999344348907,0.46,0.16,False,0.0
TPM__SH3RF1,72,22,0.72,0.25999999046325684,0.48,0.14,False,0.0
TPM__S100A6,67,18,0.67,0.20999999344348907,0.43,0.21,False,0.0
TPM__FLI1,64,15,0.64,0.20000000298023224,-0.41,0.18,False,0.0
METH__HPN,62,12,0.62,0.27000001072883606,0.51,0.09,False,0.0
TPM__KCTD1,60,10,0.6,0.20000000298023224,0.43,0.2,False,0.0
METH__GMFG,56,8,0.56,0.25,0.48,0.08,False,0.013
TPM__SLC22A5,55,7,0.55,0.20000000298023224,0.41,0.09,True,0.053
METH__FCHO1,52,7,0.52,0.25,0.41,0.13,True,0.053
TPM__SH3D19,46,4,0.46,0.23000000417232513,0.49,0.13,True,0.832
TPM__KDM2B,46,3,0.46,0.20000000298023224,-0.39,0.12,True,0.992
TPM__PLAAT3,45,3,0.45,0.20999999344348907,0.45,0.22,True,0.992
METH__LAPTM4A,42,3,0.42,0.2199999988079071,-0.29,0.15,True,0.992
METH__PRKAG1,41,2,0.41,0.20000000298023224,0.44,0.09,True,1.0
METH__CDKN2D,40,4,0.4,0.20000000298023224,0.38,0.15,True,0.832
METH__C17orf87,36,1,0.36,0.20000000298023224,0.41,0.08,True,1.0
TPM__ARSJ,34,0,0.34,0.20000000298023224,0.44,0.17,False,
METH__PARP10,33,1,0.33,0.20999999344348907,0.41,0.14,True,1.0
METH__IBTK,33,3,0.33,0.20000000298023224,-0.31,0.2,True,0.992
METH__MAP1LC3B2,33,0,0.33,0.20000000298023224,0.39,0.13,False,
METH__MIR150,32,0,0.32,0.20000000298023224,0.4,0.14,False,
METH__CFD,32,1,0.32,0.2199999988079071,0.48,0.07,True,1.0
TPM__MET,31,1,0.31,0.27000001072883606,0.49,0.17,True,1.0
METH__ITGB7,31,1,0.31,0.25999999046325684,0.51,0.18,True,1.0
TPM__WAS,30,0,0.3,0.2199999988079071,-0.32,0.16,False,
METH__LGALS12,29,2,0.29,0.2199999988079071,0.5,0.18,True,1.0
TPM__NIBAN2,27,0,0.27,0.20999999344348907,0.42,0.17,False,
METH__PLEKHA6,27,0,0.27,0.20000000298023224,0.47,0.13,False,
METH__SOAT2,27,0,0.27,0.23999999463558197,0.46,0.11,False,
TPM__CORO1A,27,0,0.27,0.20000000298023224,-0.41,0.07,False,
METH__IFITM1,25,0,0.25,0.23000000417232513,0.49,0.08,False,
METH__CEBPE,25,2,0.25,0.20999999344348907,0.47,0.08,True,1.0
METH__PKP2,25,0,0.25,0.20000000298023224,-0.38,0.14,False,
METH__TMEM149,25,1,0.25,0.2199999988079071,0.42,0.16,True,1.0
METH__MIR1284,24,2,0.24,0.20999999344348907,0.43,0.14,True,1.0
METH__RGS1,23,4,0.23,0.20000000298023224,0.41,0.1,True,0.832
METH__MGC29506,22,0,0.22,0.23000000417232513,0.45,0.12,False,
METH__PTPRCAP,22,0,0.22,0.20999999344348907,0.44,0.15,False,
TPM__GNG12,21,0,0.21,0.20000000298023224,0.42,0.18,False,
TPM__UACA,21,4,0.21,0.20000000298023224,0.46,0.13,True,0.832
