feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__RNU2-27P,92,43,0.92,0.0,-0.02,0.2,True,0.053
CNV__MLLT3,91,41,0.91,0.0,-0.0,0.17,False,0.002
CNV__CBL,91,41,0.91,0.029999999329447746,0.21,0.19,False,0.002
TPM__SNORA2C,90,42,0.9,0.0,0.02,0.17,False,0.013
CNV__FOXA1,90,40,0.9,0.009999999776482582,0.22,0.19,False,0.0
TPM__RNVU1-26,89,39,0.89,0.019999999552965164,-0.15,0.2,False,0.0
CNV__FANCG,89,39,0.89,0.0,0.06,0.18,False,0.0
TPM__RNVU1-15,89,39,0.89,0.0,0.01,0.17,False,0.0
TPM__SMIM10L3,86,37,0.86,0.009999999776482582,-0.09,0.17,False,0.0
CNV__BCL9L,86,36,0.86,0.029999999329447746,0.22,0.19,False,0.0
TPM__SNORA7B,84,35,0.84,0.0,0.01,0.17,False,0.0
METH__AHI1,83,33,0.83,0.029999999329447746,-0.19,0.16,False,0.0
CNV__ARHGAP5,81,32,0.81,0.029999999329447746,0.23,0.19,False,0.0
CNV__NFKBIA,80,30,0.8,0.009999999776482582,0.23,0.19,False,0.0
METH__TAX1BP1,80,31,0.8,0.029999999329447746,-0.16,0.19,False,0.0
CNV__KCNJ5,79,29,0.79,0.03999999910593033,0.21,0.18,False,0.0
CNV__DDX6,78,28,0.78,0.029999999329447746,0.2,0.18,False,0.0
CNV__SDHD,77,28,0.77,0.019999999552965164,0.19,0.18,False,0.0
METH__NT5DC1,77,28,0.77,0.019999999552965164,-0.16,0.18,False,0.0
CNV__TCIRG1,77,28,0.77,0.019999999552965164,0.22,0.18,False,0.0
CNV__FLI1,76,27,0.76,0.029999999329447746,0.21,0.17,False,0.0
CNV__NKX2-1,76,27,0.76,0.0,0.22,0.18,False,0.0
TPM__SNORA22B,73,25,0.73,0.0,-0.03,0.18,False,0.0
CNV__LIFR,73,25,0.73,0.029999999329447746,0.19,0.17,False,0.0
CNV__ARHGEF12,73,25,0.73,0.03999999910593033,0.22,0.18,False,0.0
CNV__ERBB2,72,23,0.72,0.019999999552965164,0.19,0.17,False,0.0
CNV__FBLN1,70,21,0.7,0.009999999776482582,0.09,0.18,False,0.0
CNV__IL7R,69,23,0.69,0.029999999329447746,0.19,0.17,False,0.0
CNV__MITF,69,21,0.69,0.0,0.07,0.16,False,0.0
CNV__PAFAH1B2,68,22,0.68,0.029999999329447746,0.21,0.2,False,0.0
TPM__ATP5F1EP2,66,17,0.66,0.009999999776482582,0.09,0.17,False,0.0
CNV__MN1,64,17,0.64,0.009999999776482582,0.1,0.18,False,0.0
METH__PSMB6,64,18,0.64,0.019999999552965164,-0.12,0.19,False,0.0
CNV__KMT2A,63,16,0.63,0.029999999329447746,0.22,0.2,False,0.0
CNV__CAMTA1,63,20,0.63,0.019999999552965164,0.16,0.19,False,0.0
CNV__NT5C3A,63,15,0.63,0.019999999552965164,0.16,0.16,False,0.0
CNV__IKZF3,63,14,0.63,0.019999999552965164,0.19,0.17,False,0.0
TPM__RNA5SP187,62,17,0.62,0.019999999552965164,-0.16,0.21,False,0.0
TPM__SNORA29,60,14,0.6,0.0,0.01,0.17,False,0.0
TPM__SNORA20,60,19,0.6,0.0,-0.08,0.2,False,0.0
CNV__FHIT,59,16,0.59,0.0,0.04,0.19,False,0.0
TPM__RNA5SP216,59,18,0.59,0.0,0.08,0.19,False,0.0
CNV__POU2AF1,59,13,0.59,0.019999999552965164,0.19,0.17,False,0.0
CNV__ZBTB16,58,14,0.58,0.029999999329447746,0.18,0.19,False,0.0
CNV__PATZ1,56,11,0.56,0.009999999776482582,0.11,0.17,False,0.0
TPM__RNA5SP203,55,13,0.55,0.0,-0.04,0.21,False,0.0
METH__GP2,54,13,0.54,0.009999999776482582,-0.06,0.16,False,0.0
CNV__ARHGAP26,53,12,0.53,0.029999999329447746,0.19,0.19,False,0.0
CNV__DDX10,52,9,0.52,0.019999999552965164,0.2,0.16,False,0.002
