feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__GMFG,100,50,1.0,0.27000001072883606,-0.31,0.2,True,1.0
TPM__SLC49A4,100,50,1.0,0.1599999964237213,0.3,0.21,True,1.0
TPM__ACAP1,100,50,1.0,0.25,-0.4,0.23,True,1.0
TPM__LYL1,100,50,1.0,0.23999999463558197,-0.25,0.2,True,1.0
TPM__TJP1,100,50,1.0,0.25999999046325684,0.32,0.2,True,1.0
TPM__DEF6,100,50,1.0,0.17000000178813934,-0.37,0.23,True,1.0
TPM__ARHGAP15,100,50,1.0,0.27000001072883606,-0.28,0.21,True,1.0
TPM__MIR142HG,100,50,1.0,0.3100000023841858,-0.32,0.24,True,1.0
METH__PKN1,100,50,1.0,0.25999999046325684,0.37,0.2,True,1.0
TPM__RCSD1,100,50,1.0,0.25999999046325684,-0.36,0.2,True,1.0
METH__OSM,100,50,1.0,0.28999999165534973,0.39,0.24,True,1.0
METH__ARHGDIB,100,50,1.0,0.1899999976158142,0.35,0.21,True,1.0
TPM__CTTN,100,50,1.0,0.20000000298023224,0.3,0.21,True,1.0
TPM__ELF1,100,50,1.0,0.1599999964237213,-0.36,0.21,True,1.0
TPM__ARHGAP9,100,50,1.0,0.20000000298023224,-0.26,0.21,True,1.0
METH__TJP1,100,50,1.0,0.2199999988079071,-0.36,0.2,True,1.0
METH__GPR39,100,50,1.0,0.20000000298023224,-0.32,0.22,True,1.0
TPM__NCKAP1L,100,50,1.0,0.25,-0.32,0.24,True,1.0
METH__MIR142,100,50,1.0,0.25999999046325684,0.31,0.24,True,1.0
METH__CCM2,100,50,1.0,0.3199999928474426,0.41,0.26,True,1.0
TPM__IKZF1,100,50,1.0,0.30000001192092896,-0.35,0.22,True,1.0
METH__PTPN6,100,50,1.0,0.2199999988079071,0.37,0.2,True,1.0
TPM__CUEDC1,100,50,1.0,0.2800000011920929,0.44,0.26,True,1.0
TPM__CD63,100,50,1.0,0.17000000178813934,0.4,0.2,True,1.0
METH__BZRAP1,100,50,1.0,0.25,0.35,0.2,True,1.0
TPM__DOCK2,100,50,1.0,0.1899999976158142,-0.3,0.2,True,1.0
