feature,Selection count,Pair count,CPSS Score
TPM__PDXK,96,46,0.96
TPM__SCML1,87,37,0.87
TPM__OPHN1,84,34,0.84
TPM__RPL10A,84,34,0.84
TPM__PTTG1IP,82,32,0.82
TPM__DAGLA,78,28,0.78
METH__MIR150,76,26,0.76
TPM__DOCK1,71,21,0.71
TPM__CORO7,71,22,0.71
TPM__CLDN1,67,17,0.67
TPM__ATP1B1,67,17,0.67
TPM__EPN2,66,17,0.66
TPM__FTH1,64,14,0.64
METH__LAMB2,63,14,0.63
TPM__CAMK2N1,62,13,0.62
METH__LOC100130776,62,13,0.62
TPM__LRP11,59,11,0.59
TPM__THSD4,56,8,0.56
TPM__TSPAN15,56,7,0.56
TPM__GPR39,55,7,0.55
TPM__EAF2,55,6,0.55
TPM__GNG12,55,8,0.55
METH__LTC4S,54,5,0.54
TPM__TNKS1BP1,54,6,0.54
TPM__CLIP1,52,6,0.52
TPM__SH3D19,52,6,0.52
TPM__CCND1,50,6,0.5
TPM__LAPTM4A,50,4,0.5
TPM__BCAR1,49,3,0.49
TPM__ITGA4,49,3,0.49
TPM__PLS3,48,2,0.48
TPM__RIN2,47,3,0.47
TPM__GIPC1,47,2,0.47
TPM__PARD3,47,3,0.47
TPM__ANKLE1,47,2,0.47
METH__GHRLOS,46,1,0.46
METH__MGAT1,45,2,0.45
TPM__SHTN1,45,1,0.45
TPM__APP,44,4,0.44
METH__SLC44A2,43,2,0.43
TPM__FAM241B,43,2,0.43
TPM__GULP1,43,2,0.43
TPM__CELSR1,43,5,0.43
METH__KRI1,42,1,0.42
TPM__CYTH4,41,1,0.41
METH__RHOH,40,2,0.4
TPM__AGAP2,40,1,0.4
TPM__LARP6,40,0,0.4
TPM__ADAM9,39,2,0.39
METH__B4GALT1,39,2,0.39
METH__C16orf54,39,0,0.39
TPM__GPC1,38,0,0.38
TPM__LAPTM5,38,3,0.38
TPM__PLCD3,38,2,0.38
TPM__IL2RG,38,1,0.38
