feature,Selection count,Pair count,CPSS Score
METH__DSTN,100,50,1.0
METH__CCM2,100,50,1.0
METH__NRP1,100,50,1.0
TPM__PIK3CG,100,50,1.0
METH__C14orf128,100,50,1.0
METH__TEAD4,100,50,1.0
METH__GABARAPL1,100,50,1.0
METH__MIR1238,99,49,0.99
METH__ATP6V1D,97,47,0.97
CNV__PICALM,97,47,0.97
METH__POLH,97,47,0.97
METH__RAPH1,95,45,0.95
METH__STRAP,93,43,0.93
CNV__SALL4,90,40,0.9
METH__GLTSCR2,87,37,0.87
METH__AP1B1,86,36,0.86
METH__PCCA,86,36,0.86
CNV__NUMA1,81,31,0.81
METH__HEXB,80,30,0.8
CNV__MEN1,78,29,0.78
CNV__PTK6,78,31,0.78
METH__CLNS1A,77,27,0.77
CNV__HOXA9,77,27,0.77
METH__GIT2,76,26,0.76
CNV__HNRNPA2B1,76,28,0.76
CNV__NFATC2,74,24,0.74
CNV__ZEB1,73,23,0.73
CNV__SS18L1,73,24,0.73
CNV__TERT,73,26,0.73
CNV__GNAS,73,24,0.73
CNV__RBM39,72,24,0.72
CNV__MARK2,71,21,0.71
METH__AAGAB,70,21,0.7
METH__C9orf30,69,23,0.69
CNV__MAFB,68,24,0.68
CNV__HOXA11,67,20,0.67
CNV__TCIRG1,66,18,0.66
METH__RASA3,64,18,0.64
METH__PSAP,63,19,0.63
CNV__FANCG,62,14,0.62
CNV__EP300,62,16,0.62
CNV__RBM38,61,16,0.61
CNV__ASXL1,60,17,0.6
METH__GORASP1,60,14,0.6
METH__GMFB,58,14,0.58
CNV__SDC4,58,14,0.58
CNV__IL7R,57,18,0.57
CNV__CARD11,56,11,0.56
METH__CCAR1,55,14,0.55
METH__KDM4D,55,12,0.55
CNV__NT5C2,55,13,0.55
CNV__ESRRA,54,10,0.54
METH__RAD1,53,12,0.53
CNV__NXF1,53,10,0.53
CNV__PTPRT,53,11,0.53
CNV__B2M,52,9,0.52
CNV__TGIF1,52,9,0.52
METH__VPS37C,51,10,0.51
CNV__DDB2,51,9,0.51
CNV__LDB1,49,8,0.49
METH__C12orf41,49,7,0.49
CNV__EGFR,48,12,0.48
METH__RNF10,47,6,0.47
CNV__SUFU,47,9,0.47
CNV__DEK,47,8,0.47
CNV__TOP1,46,7,0.46
CNV__TFG,46,11,0.46
CNV__CREB3L1,43,8,0.43
METH__CKAP5,43,8,0.43
METH__FOXO3,43,8,0.43
METH__ACTR5,42,11,0.42
CNV__RPN1,41,7,0.41
CNV__TLX1,41,5,0.41
CNV__RPL5,40,3,0.4
METH__UGDH,39,7,0.39
CNV__TP53,39,8,0.39
METH__BLZF1,38,6,0.38
METH__NOL11,37,5,0.37
CNV__EPHA2,37,6,0.37
METH__WNK1,36,6,0.36
CNV__CBLB,36,2,0.36
CNV__FOXL2,36,5,0.36
METH__COMMD6,35,6,0.35
METH__FASN,35,1,0.35
CNV__PIK3R1,35,3,0.35
CNV__UGT2B17,34,6,0.34
CNV__RRAGC,34,1,0.34
CNV__RELA,34,4,0.34
CNV__DUSP16,33,3,0.33
CNV__CEBPA,33,2,0.33
CNV__NFKB2,33,3,0.33
CNV__JAK1,33,3,0.33
CNV__SYK,33,2,0.33
CNV__TCF7L2,31,2,0.31
METH__EPRS,31,2,0.31
CNV__ETV6,31,3,0.31
CNV__CYLD,30,3,0.3
METH__MYC,29,3,0.29
CNV__CCDC6,29,3,0.29
CNV__WWTR1,29,3,0.29
CNV__MYCL,29,0,0.29
METH__TMEM44,27,3,0.27
CNV__WT1,27,3,0.27
CNV__FGD5,27,4,0.27
METH__SRFBP1,27,3,0.27
CNV__LCK,27,1,0.27
CNV__USP8,26,1,0.26
CNV__CAMTA1,26,5,0.26
CNV__BRD7,26,1,0.26
CNV__MYO5A,26,0,0.26
METH__EIF3B,26,0,0.26
CNV__GATA2,26,3,0.26
CNV__CALR,26,2,0.26
CNV__ZFHX3,26,6,0.26
CNV__PTPRB,25,0,0.25
CNV__POLQ,25,2,0.25
CNV__RGL3,25,2,0.25
METH__ANKRD12,25,1,0.25
CNV__ACKR3,25,2,0.25
CNV__PRKCD,25,0,0.25
CNV__FLT4,25,1,0.25
CNV__SDHB,25,4,0.25
CNV__USP6,24,4,0.24
CNV__EXT2,24,1,0.24
METH__CSDA,24,0,0.24
CNV__TGFBR2,24,0,0.24
CNV__TFAP4,24,2,0.24
CNV__RAD51C,24,3,0.24
METH__RNF139,24,1,0.24
CNV__ERG,24,1,0.24
METH__ARHGEF17,24,2,0.24
CNV__RXRA,24,1,0.24
CNV__RABEP1,23,3,0.23
CNV__ZNF148,23,0,0.23
CNV__ERBB4,23,3,0.23
CNV__ATR,23,2,0.23
CNV__NOTCH2,22,2,0.22
CNV__STIL,22,4,0.22
CNV__ABL1,22,1,0.22
CNV__TCF12,22,1,0.22
METH__GSG2,22,1,0.22
METH__CCDC79,22,0,0.22
CNV__HLA-B,22,2,0.22
CNV__CD79B,22,2,0.22
CNV__BRIP1,22,0,0.22
CNV__ZBTB20,22,1,0.22
CNV__MAP2K4,22,2,0.22
CNV__PPM1D,22,0,0.22
METH__ZNF564,22,1,0.22
CNV__RASA2,22,1,0.22
CNV__SPOP,22,1,0.22
CNV__MLH1,22,0,0.22
CNV__SDHAF2,22,3,0.22
CNV__NCOR1,21,1,0.21
CNV__CSF3R,21,3,0.21
CNV__ZCRB1,21,1,0.21
CNV__FLCN,21,0,0.21
CNV__CD74,21,1,0.21
CNV__HLF,21,2,0.21
METH__C10orf114,21,0,0.21
METH__EIF5,21,1,0.21
CNV__PIK3CB,21,1,0.21
CNV__PDPR,20,0,0.2
CNV__TAL1,20,1,0.2
CNV__CCND2,20,2,0.2
CNV__GNAQ,20,2,0.2
CNV__NOTCH1,20,2,0.2
CNV__XPC,20,0,0.2
CNV__LMO2,20,1,0.2
CNV__MPL,20,1,0.2
CNV__HLA-A,20,3,0.2
CNV__CDKN2C,20,1,0.2
METH__CREB3,20,0,0.2
CNV__CNBP,20,2,0.2
CNV__ACSL3,19,1,0.19
CNV__TAF15,19,0,0.19
CNV__CYP2C8,19,0,0.19
METH__PPPDE2,19,2,0.19
CNV__ETV4,19,1,0.19
CNV__PRDM2,18,1,0.18
CNV__AXIN2,18,1,0.18
CNV__ARID2,18,1,0.18
CNV__ELL,18,1,0.18
METH__ZNF248,18,1,0.18
CNV__PRKAR1A,18,0,0.18
CNV__MTOR,18,1,0.18
CNV__CUL3,17,1,0.17
CNV__TEC,17,0,0.17
CNV__PER1,17,0,0.17
METH__SNORD104,17,2,0.17
CNV__STAT5B,17,2,0.17
CNV__FAT2,16,2,0.16
CNV__EPS15,16,0,0.16
METH__C1orf25,16,1,0.16
CNV__RRAS2,16,0,0.16
CNV__LYL1,16,2,0.16
METH__MAP3K4,16,3,0.16
CNV__YWHAE,15,0,0.15
CNV__POLH,15,1,0.15
CNV__ARID1A,15,2,0.15
CNV__BLM,15,2,0.15
CNV__RMI2,15,2,0.15
CNV__TET2,15,0,0.15
CNV__NCOR2,15,1,0.15
CNV__CLTC,15,0,0.15
CNV__FUBP1,15,1,0.15
CNV__RBFOX1,15,0,0.15
CNV__IFNAR1,15,0,0.15
CNV__PAX7,15,1,0.15
CNV__NF1,15,1,0.15
METH__ID1,14,0,0.14
CNV__COL1A1,14,0,0.14
METH__XRCC6,14,0,0.14
CNV__POLD1,14,1,0.14
CNV__ARHGEF10L,14,2,0.14
METH__RUVBL1,14,1,0.14
CNV__POU5F1,14,1,0.14
CNV__PPARG,14,0,0.14
METH__TMED4,14,1,0.14
CNV__NPM1,13,1,0.13
CNV__MYOD1,13,1,0.13
METH__C10orf78,13,1,0.13
METH__CETN3,13,0,0.13
CNV__AFF1,13,0,0.13
CNV__FEV,13,0,0.13
CNV__PAX3,13,0,0.13
CNV__BRD4,13,1,0.13
CNV__SMAD3,13,0,0.13
CNV__CRTC3,13,2,0.13
CNV__IDH2,13,0,0.13
CNV__RNF213,13,0,0.13
CNV__KEAP1,13,1,0.13
CNV__FES,12,0,0.12
CNV__AXIN1,12,0,0.12
CNV__FANCD2,12,0,0.12
METH__UCK2,12,1,0.12
CNV__SMARCA4,12,2,0.12
CNV__CBLC,12,1,0.12
CNV__KMT2D,12,1,0.12
CNV__TLL1,12,0,0.12
CNV__SOCS1,11,0,0.11
CNV__SOX9,11,1,0.11
CNV__H3-3B,11,0,0.11
METH__MAPK8IP3,11,1,0.11
CNV__TLX3,11,1,0.11
METH__CHMP2B,11,0,0.11
CNV__BRCA1,11,0,0.11
CNV__ASPSCR1,11,1,0.11
CNV__SUZ12,11,0,0.11
METH__C15orf24,11,0,0.11
METH__SLC38A6,11,0,0.11
CNV__MAP2K1,11,0,0.11
CNV__PDGFRB,11,0,0.11
METH__FANCL,11,0,0.11
CNV__LTB,10,1,0.1
METH__COG3,10,0,0.1
CNV__TPM4,10,0,0.1
METH__PI4KAP2,10,0,0.1
CNV__FANCI,10,0,0.1
CNV__RANBP2,10,0,0.1
METH__TCTA,10,0,0.1
CNV__NRAS,10,1,0.1
METH__CLCN3,10,0,0.1
METH__MRPS27,10,0,0.1
METH__C18orf10,10,0,0.1
CNV__PPT2,10,2,0.1
CNV__EBF1,10,0,0.1
METH__CSTB,10,1,0.1
CNV__ATP1A1,9,0,0.09
CNV__TSC2,9,0,0.09
METH__KIAA1530,9,0,0.09
CNV__RHOH,9,0,0.09
CNV__WNK4,9,1,0.09
METH__DSN1,9,0,0.09
CNV__MLLT6,9,0,0.09
CNV__NTRK3,9,1,0.09
METH__TFAM,9,0,0.09
CNV__LASP1,9,0,0.09
CNV__CD58,9,0,0.09
METH__RNASEN,9,0,0.09
CNV__RAD51D,9,1,0.09
CNV__DNM2,9,0,0.09
CNV__SH3GL1,9,1,0.09
CNV__MUTYH,9,1,0.09
CNV__FGFR4,9,0,0.09
CNV__NSD1,8,0,0.08
METH__HNRNPA3,8,0,0.08
CNV__ITK,8,0,0.08
CNV__ERBB3,8,0,0.08
CNV__MAP2K7,8,0,0.08
METH__ARL1,8,0,0.08
METH__FOS,8,0,0.08
METH__FTO,8,0,0.08
CNV__BCL10,8,0,0.08
METH__NAA38,8,0,0.08
CNV__FANCE,7,0,0.07
CNV__TENT5C,7,0,0.07
METH__PSMG1,7,0,0.07
METH__CLASP1,7,0,0.07
METH__POLM,7,0,0.07
CNV__RAP1GDS1,7,0,0.07
CNV__DCTN1,7,0,0.07
CNV__SH2B3,7,0,0.07
CNV__CDH1,7,0,0.07
CNV__SFPQ,7,0,0.07
CNV__ATF1,7,0,0.07
METH__ESRRA,7,0,0.07
METH__UQCRH,7,0,0.07
METH__MBOAT1,7,1,0.07
METH__EIF3H,7,0,0.07
CNV__EHD2,6,0,0.06
CNV__BCL7A,6,0,0.06
METH__MLL,6,0,0.06
