feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
METH__EDARADD,96,46,0.96,0.14000000059604645,0.37,0.15,True,0.832
TPM__PLEKHH2,82,32,0.82,0.10000000149011612,0.33,0.07,False,0.0
METH__NEU1,74,25,0.74,0.10000000149011612,0.28,0.0,False,0.0
TPM__TMED8,69,19,0.69,0.10000000149011612,-0.28,0.03,False,0.0
TPM__AIP,68,19,0.68,0.10000000149011612,-0.3,0.14,False,0.0
METH__PAQR7,66,16,0.66,0.10999999940395355,0.34,0.08,False,0.0
TPM__ZNF581,64,14,0.64,0.10999999940395355,-0.3,0.05,False,0.0
TPM__FAM241A,63,14,0.63,0.12999999523162842,-0.37,0.18,False,0.0
METH__IGSF9B,63,17,0.63,0.10000000149011612,-0.28,0.13,False,0.0
TPM__ENPP5,62,12,0.62,0.10000000149011612,0.3,0.0,False,0.0
METH__NBAS,60,11,0.6,0.10999999940395355,-0.25,0.06,False,0.0
METH__CST7,59,9,0.59,0.11999999731779099,0.36,0.06,False,0.002
METH__PPP1R9A,55,10,0.55,0.10999999940395355,-0.31,0.03,False,0.0
TPM__STIMATE-MUSTN1,54,5,0.54,0.10000000149011612,-0.34,0.06,True,0.458
TPM__AGER,48,5,0.48,0.10000000149011612,-0.29,0.08,True,0.458
METH__CFD,48,4,0.48,0.10999999940395355,0.3,0.08,True,0.832
TPM__FMNL1,47,2,0.47,0.17000000178813934,-0.42,0.14,True,1.0
METH__SORT1,45,3,0.45,0.11999999731779099,-0.33,0.05,True,0.992
TPM__HOXB-AS3,40,3,0.4,0.10999999940395355,0.29,0.04,True,0.992
METH__MIER3,39,3,0.39,0.10000000149011612,-0.32,0.07,True,0.992
METH__PIGM,38,0,0.38,0.11999999731779099,-0.3,0.15,False,
TPM__ANKRD13D,37,1,0.37,0.10000000149011612,-0.26,0.0,True,1.0
METH__SLC44A4,37,3,0.37,0.10000000149011612,0.31,0.0,True,0.992
METH__GP5,34,1,0.34,0.11999999731779099,0.35,0.07,True,1.0
METH__ZNF124,32,1,0.32,0.11999999731779099,0.36,0.05,True,1.0
TPM__TRERF1,32,1,0.32,0.10999999940395355,-0.32,0.0,True,1.0
TPM__HCLS1,32,0,0.32,0.10000000149011612,-0.22,0.12,False,
METH__ITGA4,29,0,0.29,0.10000000149011612,0.25,0.04,False,
METH__C17orf87,28,2,0.28,0.10000000149011612,0.31,0.06,True,1.0
METH__ZNF223,28,0,0.28,0.10000000149011612,-0.3,0.05,False,
METH__POLR1B,28,0,0.28,0.10000000149011612,0.29,0.09,False,
METH__CCM2,28,0,0.28,0.11999999731779099,0.34,0.09,False,
METH__PLEKHA6,27,0,0.27,0.10999999940395355,0.31,0.07,False,
TPM__AGAP2,27,0,0.27,0.12999999523162842,-0.35,0.04,False,
METH__SCML4,27,1,0.27,0.10000000149011612,0.29,0.0,True,1.0
METH__MIR1203,26,7,0.26,0.10000000149011612,0.32,0.02,True,0.053
METH__CNN3,26,2,0.26,0.10999999940395355,-0.34,0.05,True,1.0
TPM__RASSF5,24,0,0.24,0.11999999731779099,-0.34,0.14,False,
TPM__LYL1,23,0,0.23,0.10000000149011612,-0.24,0.07,False,
TPM__PPP1R9A,23,0,0.23,0.10999999940395355,0.33,0.02,False,
TPM__SLC37A3,22,0,0.22,0.10000000149011612,0.37,0.16,False,
METH__COL17A1,22,0,0.22,0.10999999940395355,0.32,0.15,False,
TPM__LRATD2,21,0,0.21,0.10999999940395355,0.29,0.08,False,
TPM__MFNG,18,1,0.18,0.14000000059604645,-0.32,0.13,True,1.0
METH__NFAM1,18,2,0.18,0.10000000149011612,0.24,0.1,True,1.0
TPM__GPSM3,18,2,0.18,0.10000000149011612,-0.3,0.04,True,1.0
METH__BTLA,18,2,0.18,0.10000000149011612,0.32,0.09,True,1.0
METH__AK1,16,1,0.16,0.10000000149011612,-0.27,0.17,True,1.0
METH__KRTAP5-1,15,6,0.15,0.10999999940395355,0.33,0.03,True,0.181
TPM__HOXB5,14,1,0.14,0.10000000149011612,0.29,0.01,True,1.0
TPM__ACAP1,13,0,0.13,0.15000000596046448,-0.36,0.17,False,
METH__ARHGDIB,13,0,0.13,0.15000000596046448,0.36,0.11,False,
METH__MGAT1,13,0,0.13,0.15000000596046448,0.36,0.17,False,
METH__NCKAP1L,13,2,0.13,0.10000000149011612,0.31,0.0,True,1.0
TPM__PLCG2,13,0,0.13,0.10000000149011612,-0.27,0.06,False,
METH__PKN1,12,0,0.12,0.10000000149011612,0.23,0.06,False,
METH__FAM113B,12,0,0.12,0.10000000149011612,0.32,0.1,False,
TPM__ARHGAP25,12,0,0.12,0.10000000149011612,-0.28,0.07,False,
TPM__CCDC69,12,0,0.12,0.11999999731779099,-0.32,0.12,False,
TPM__IL21R,11,3,0.11,0.10000000149011612,-0.23,0.0,True,0.992
METH__IBTK,11,0,0.11,0.10000000149011612,-0.27,0.08,False,
METH__C16orf74,11,1,0.11,0.10999999940395355,0.33,0.0,True,1.0
TPM__ZNF296,10,0,0.1,0.10000000149011612,-0.31,0.0,False,
METH__ARHGAP15,10,2,0.1,0.10000000149011612,0.29,0.09,True,1.0
TPM__RGS19,10,1,0.1,0.10000000149011612,-0.28,0.06,True,1.0
METH__SCML1,10,2,0.1,0.10000000149011612,-0.21,0.14,True,1.0
METH__GCET2,10,0,0.1,0.17000000178813934,0.42,0.1,False,
TPM__LCP1,10,1,0.1,0.10999999940395355,-0.35,0.13,True,1.0
METH__NLRP1,10,0,0.1,0.10999999940395355,0.34,0.1,False,
METH__MAP1LC3B2,9,0,0.09,0.15000000596046448,0.36,0.11,False,
METH__PTPN22,9,0,0.09,0.10000000149011612,0.34,0.05,False,
METH__LOC100130776,9,0,0.09,0.10000000149011612,-0.15,0.12,False,
METH__C16orf54,9,0,0.09,0.12999999523162842,0.34,0.05,False,
METH__MIR1284,8,1,0.08,0.10999999940395355,0.23,0.13,True,1.0
METH__BIN2,8,0,0.08,0.10000000149011612,0.27,0.11,False,
METH__YOD1,8,2,0.08,0.10000000149011612,-0.24,0.11,True,1.0
METH__LAPTM4A,8,1,0.08,0.11999999731779099,-0.25,0.06,True,1.0
TPM__NCKAP1L,8,0,0.08,0.10000000149011612,-0.26,0.18,False,
TPM__CARD8-AS1,8,0,0.08,0.11999999731779099,-0.27,0.06,False,
METH__RGS14,8,1,0.08,0.12999999523162842,0.36,0.16,True,1.0
TPM__MOB3A,8,1,0.08,0.10000000149011612,-0.23,0.0,True,1.0
