feature,Selection count,Pair count,CPSS Score
TPM__TRAF3IP3,87,37,0.87
TPM__GHRLOS,82,32,0.82
TPM__FAM241A,81,31,0.81
METH__SPNS3,74,26,0.74
TPM__ACAP1,70,23,0.7
TPM__TMEM143,67,18,0.67
TPM__SHISA9,66,19,0.66
METH__SGEF,66,18,0.66
TPM__DMC1,58,10,0.58
TPM__BRSK2,55,9,0.55
METH__LGALS9,55,13,0.55
METH__AK1,53,10,0.53
TPM__TAOK3,53,9,0.53
TPM__NCKAP1L,51,9,0.51
TPM__HULC,51,5,0.51
TPM__SHC2,50,6,0.5
METH__C10orf58,50,6,0.5
TPM__CORO1A,47,8,0.47
TPM__SNHG26,46,8,0.46
METH__C4orf45,41,6,0.41
METH__CNR2,37,5,0.37
TPM__TERF2,37,5,0.37
METH__C1orf127,37,2,0.37
TPM__KIAA0408,37,3,0.37
TPM__NACA3P,34,3,0.34
METH__SRPX2,33,0,0.33
METH__POLD1,32,3,0.32
TPM__CD53,32,4,0.32
METH__CD86,31,0,0.31
METH__RAPGEF1,29,1,0.29
METH__ZFP2,29,2,0.29
TPM__GPR107,28,1,0.28
TPM__C8orf33,28,1,0.28
TPM__NPM3,25,0,0.25
METH__UCP2,24,3,0.24
TPM__MPP3,24,1,0.24
METH__MIR142,23,1,0.23
TPM__TUBB2B,23,1,0.23
TPM__EGLN3,23,1,0.23
METH__C6orf124,21,1,0.21
METH__SLC26A7,20,2,0.2
TPM__LINC02057,19,0,0.19
TPM__CDK12,19,4,0.19
TPM__PTGR3,17,0,0.17
TPM__ZBTB22,17,1,0.17
TPM__GLT8D2,17,1,0.17
TPM__SASH1,17,1,0.17
TPM__MIR3142HG,17,0,0.17
METH__PARD6B,16,0,0.16
METH__MPP3,16,0,0.16
TPM__CLIC3,16,0,0.16
METH__ZBTB20,15,1,0.15
METH__KCNIP3,15,2,0.15
METH__CYP4A11,15,0,0.15
TPM__ARHGEF16,14,2,0.14
TPM__NHERF2,14,0,0.14
METH__TMEM206,13,0,0.13
TPM__USH1C,13,1,0.13
TPM__SERPINE1,12,0,0.12
TPM__PLD1,12,1,0.12
TPM__H2BC8,12,0,0.12
TPM__GABBR1,11,0,0.11
METH__KIAA1609,11,1,0.11
TPM__DNAJC25,11,0,0.11
TPM__GAP43,10,0,0.1
METH__GNG8,10,0,0.1
METH__MLF1,10,0,0.1
TPM__AFAP1L1,10,0,0.1
TPM__GTF2I-AS1,10,0,0.1
TPM__SART3,10,0,0.1
TPM__RBFOX2,9,0,0.09
METH__INSRR,9,0,0.09
METH__KIF13A,9,0,0.09
TPM__TXK,9,0,0.09
METH__PKDCC,9,1,0.09
METH__MIR96,9,0,0.09
METH__PRAC,9,0,0.09
CNV__CCND3,8,0,0.08
TPM__MED9,8,0,0.08
TPM__TAF2,8,0,0.08
TPM__ZDHHC18,8,0,0.08
METH__LDLRAD3,8,0,0.08
METH__IKZF4,8,0,0.08
TPM__ARHGAP27,7,0,0.07
TPM__SYNPO,7,0,0.07
METH__C17orf93,7,1,0.07
METH__KIAA0664,7,0,0.07
TPM__CSF2,7,0,0.07
TPM__ATG9A,7,0,0.07
METH__RARA,7,0,0.07
METH__ARHGEF1,6,0,0.06
TPM__CYP4F26P,6,0,0.06
METH__RAVER1,6,0,0.06
METH__EDN1,6,0,0.06
METH__TMEM164,6,0,0.06
TPM__HAS2-AS1,6,0,0.06
METH__SOX14,5,0,0.05
METH__KREMEN1,5,0,0.05
TPM__NUFIP1,5,0,0.05
TPM__ARHGEF17,5,0,0.05
TPM__ZNRD2-DT,5,0,0.05
METH__ZNF226,5,0,0.05
TPM__ACVR1,5,0,0.05
METH__CALB1,4,0,0.04
TPM__SPPL2A,4,0,0.04
METH__TRAP1,4,0,0.04
METH__MAGI1,4,0,0.04
TPM__SLC25A20,4,0,0.04
TPM__MALAT1,3,0,0.03
METH__PRR19,3,0,0.03
METH__SPIN1,3,0,0.03
METH__SNX4,3,0,0.03
TPM__NRP1,3,0,0.03
METH__LRRC8E,3,0,0.03
TPM__LINC02202,3,0,0.03
METH__C10orf10,3,0,0.03
METH__NFIA,2,0,0.02
CNV__TGFBR2,2,0,0.02
METH__C7orf46,2,0,0.02
METH__GGA2,2,0,0.02
TPM__PDIA3P2,2,0,0.02
METH__PORCN,1,0,0.01
METH__KDM4C,1,0,0.01
METH__HM13,1,0,0.01
METH__GOLGA2L1,1,0,0.01
METH__FGF14,1,0,0.01
METH__C18orf32,1,0,0.01
CNV__FANCD2,0,0,0.0
METH__C17orf106,0,0,0.0
METH__CHAF1B,0,0,0.0
METH__SMC1A,0,0,0.0
METH__EIF4G1,0,0,0.0
METH__SNORD66,0,0,0.0
MUT__SMAD4,0,0,0.0
METH__SGK1,0,0,0.0
METH__POLH,0,0,0.0
METH__PIK3R1,0,0,0.0
METH__RCHY1,0,0,0.0
METH__ZNF436,0,0,0.0
