feature,Selection count,Pair count,CPSS Score
METH__PARD3B,100,50,1.0
TPM__NCKAP1L,100,50,1.0
TPM__PERP,100,50,1.0
TPM__FAM78A,100,50,1.0
TPM__TM4SF1-AS1,100,50,1.0
TPM__MIR142HG,100,50,1.0
TPM__AMOTL2,100,50,1.0
TPM__TNFAIP1,100,50,1.0
TPM__NHSL3,100,50,1.0
TPM__DAG1,100,50,1.0
TPM__THBS1-IT1,100,50,1.0
METH__ACTN1,99,49,0.99
METH__PTPN14,99,49,0.99
METH__FAM47E,98,48,0.98
METH__HSP90AA1,97,47,0.97
METH__LRBA,95,45,0.95
CNV__NFATC2,93,43,0.93
METH__ATP6V1D,90,40,0.9
METH__DSTN,90,40,0.9
CNV__PDGFB,89,39,0.89
CNV__MARK2,87,38,0.87
CNV__RBM39,85,35,0.85
METH__RAPH1,85,37,0.85
CNV__APOBEC3B,85,35,0.85
CNV__KRAS,84,34,0.84
CNV__FBLN1,81,31,0.81
METH__TARS,81,32,0.81
CNV__SDC4,80,30,0.8
CNV__ASXL1,80,31,0.8
METH__DGKH,77,28,0.77
METH__LAPTM4A,77,27,0.77
CNV__MRTFA,76,26,0.76
CNV__BCL2,75,26,0.75
CNV__FOXA1,74,24,0.74
MUT__KRAS,72,24,0.72
CNV__KDM3B,72,23,0.72
CNV__DTX1,72,22,0.72
CNV__UBE2D2,72,22,0.72
METH__RTCD1,68,21,0.68
CNV__DCC,68,18,0.68
TPM__SNORA72,67,21,0.67
CNV__TCF4,67,22,0.67
TPM__RNVU1-26,66,18,0.66
METH__ZNF664,64,19,0.64
CNV__MALT1,63,16,0.63
METH__ABCD3,62,18,0.62
CNV__PPFIBP1,61,15,0.61
METH__ZNF697,60,20,0.6
METH__TOP2A,59,16,0.59
TPM__RNA5SP187,57,10,0.57
METH__C7orf70,57,11,0.57
CNV__KDSR,56,12,0.56
CNV__NFKBIA,55,12,0.55
CNV__FBN2,55,12,0.55
CNV__COL2A1,54,13,0.54
CNV__RGS7,53,10,0.53
CNV__ATF1,53,10,0.53
CNV__SUFU,53,10,0.53
CNV__LOX,52,9,0.52
CNV__XPC,52,9,0.52
CNV__TNC,50,11,0.5
CNV__CD74,49,7,0.49
CNV__PDGFRB,47,9,0.47
CNV__ATIC,47,5,0.47
METH__TEAD4,46,10,0.46
CNV__KLF4,45,8,0.45
METH__SNORA71D,44,4,0.44
CNV__ERC1,44,9,0.44
CNV__CNTRL,42,5,0.42
CNV__MAX,42,8,0.42
CNV__KDM5A,41,9,0.41
CNV__FGD5,41,7,0.41
CNV__NT5C2,41,5,0.41
METH__SIAH1,41,7,0.41
CNV__TSC1,41,8,0.41
TPM__SNORD22,40,9,0.4
CNV__WWTR1,39,5,0.39
