feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__RNASEH2B,89,39,0.89,0.20999999344348907,-0.37,0.27,False,0.0
TPM__CTSV,83,33,0.83,0.20999999344348907,0.45,0.17,False,0.0
METH__C22orf15,75,25,0.75,0.23000000417232513,0.35,0.23,False,0.0
METH__C6orf217,70,20,0.7,0.2800000011920929,-0.46,0.26,False,0.0
TPM__ZNF223,69,19,0.69,0.20999999344348907,0.42,0.0,False,0.0
TPM__APBB1IP,63,14,0.63,0.3199999928474426,-0.42,0.29,False,0.0
METH__B2M,61,12,0.61,0.30000001192092896,0.44,0.18,False,0.0
METH__ICAM2,59,10,0.59,0.20999999344348907,0.36,0.13,False,0.0
METH__PIGM,58,9,0.58,0.27000001072883606,-0.4,0.15,False,0.002
METH__STAB1,55,6,0.55,0.23000000417232513,0.27,0.11,True,0.181
METH__IMPAD1,55,9,0.55,0.3199999928474426,-0.42,0.14,False,0.002
METH__PFKFB2,53,8,0.53,0.23000000417232513,-0.37,0.18,False,0.013
METH__INTU,50,3,0.5,0.20999999344348907,-0.34,0.12,True,0.992
TPM__ZCCHC7,45,2,0.45,0.23000000417232513,-0.36,0.09,True,1.0
TPM__MFNG,44,4,0.44,0.2199999988079071,-0.35,0.1,True,0.832
METH__GPR37,43,1,0.43,0.23000000417232513,-0.31,0.16,True,1.0
TPM__ATP9A,41,4,0.41,0.2199999988079071,0.38,0.22,True,0.832
METH__YOD1,40,4,0.4,0.2199999988079071,-0.33,0.14,True,0.832
METH__NFXL1,39,0,0.39,0.2199999988079071,-0.36,0.14,False,
METH__NR2F2,38,0,0.38,0.2199999988079071,-0.18,0.2,False,
TPM__IL21R,38,5,0.38,0.2199999988079071,-0.35,0.1,True,0.458
METH__HMCN1,37,1,0.37,0.2199999988079071,-0.28,0.04,True,1.0
METH__B3GNT8,36,2,0.36,0.2199999988079071,0.31,0.15,True,1.0
METH__APOB48R,36,1,0.36,0.27000001072883606,0.4,0.11,True,1.0
METH__PCDH1,34,1,0.34,0.20999999344348907,-0.35,0.16,True,1.0
METH__CNR2,34,1,0.34,0.27000001072883606,0.42,0.09,True,1.0
METH__TOP2A,32,2,0.32,0.2199999988079071,-0.35,0.12,True,1.0
METH__NEK6,31,0,0.31,0.25999999046325684,0.45,0.22,False,
METH__PER3,30,1,0.3,0.25,-0.45,0.22,True,1.0
METH__CENPH,28,1,0.28,0.27000001072883606,-0.38,0.25,True,1.0
TPM__SOX13,28,1,0.28,0.2199999988079071,0.39,0.1,True,1.0
TPM__NCKAP1L,26,2,0.26,0.2199999988079071,-0.33,0.18,True,1.0
METH__RHOH,25,0,0.25,0.2199999988079071,0.38,0.12,False,
TPM__CD72,24,0,0.24,0.25,-0.3,0.09,False,
TPM__NCKAP1,23,0,0.23,0.20999999344348907,0.22,0.08,False,
TPM__LYL1,22,5,0.22,0.23000000417232513,-0.23,0.12,True,0.458
METH__WDR35,22,0,0.22,0.23999999463558197,-0.33,0.07,False,
TPM__ICAM2,21,2,0.21,0.2199999988079071,-0.34,0.2,True,1.0
METH__SLA2,21,0,0.21,0.2199999988079071,0.36,0.2,False,
METH__LPAR5,21,0,0.21,0.27000001072883606,0.38,0.12,False,
TPM__FERMT3,21,5,0.21,0.23000000417232513,-0.3,0.13,True,0.458
METH__TPX2,18,0,0.18,0.23999999463558197,-0.37,0.16,False,
TPM__EVI2B,18,5,0.18,0.2199999988079071,-0.39,0.16,True,0.458
METH__RPIA,17,0,0.17,0.25,-0.34,0.15,False,
TPM__CUEDC1,17,0,0.17,0.23999999463558197,0.34,0.07,False,
TPM__CCDC69,16,0,0.16,0.23000000417232513,-0.31,0.11,False,
TPM__IRF8,16,0,0.16,0.20999999344348907,-0.32,0.13,False,
TPM__CTTN,16,0,0.16,0.2199999988079071,0.29,0.23,False,
METH__HEATR1,16,1,0.16,0.23000000417232513,-0.28,0.11,True,1.0
METH__CTSZ,16,0,0.16,0.23999999463558197,0.31,0.17,False,
METH__MIPOL1,15,0,0.15,0.23000000417232513,-0.38,0.18,False,
METH__BIN2,15,0,0.15,0.23000000417232513,0.43,0.14,False,
METH__GAS2L3,15,0,0.15,0.23000000417232513,-0.31,0.15,False,
TPM__INPP5D,15,0,0.15,0.20999999344348907,-0.27,0.1,False,
TPM__PCED1B-AS1,14,0,0.14,0.2199999988079071,-0.3,0.08,False,
METH__LIFR,13,2,0.13,0.23999999463558197,-0.38,0.1,True,1.0
