feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__PIK3AP1,86,36,0.86,0.23999999463558197,-0.32,0.26,False,0.0
TPM__APBB1IP,83,33,0.83,0.3199999928474426,-0.42,0.29,False,0.0
METH__PER3,81,31,0.81,0.25,-0.45,0.22,False,0.0
TPM__IL2RG,68,19,0.68,0.25,-0.32,0.26,False,0.0
METH__FCHO1,65,15,0.65,0.2199999988079071,0.34,0.21,False,0.0
METH__NEK6,64,17,0.64,0.25999999046325684,0.45,0.22,False,0.0
METH__C22orf15,62,15,0.62,0.23000000417232513,0.35,0.23,False,0.0
METH__SPATA6,61,13,0.61,0.23000000417232513,-0.41,0.23,False,0.0
TPM__DOCK2,59,13,0.59,0.23000000417232513,-0.34,0.25,False,0.0
METH__CENPH,58,15,0.58,0.27000001072883606,-0.38,0.25,False,0.0
TPM__ATP9A,53,8,0.53,0.2199999988079071,0.38,0.22,False,0.013
METH__WIPF1,51,9,0.51,0.23000000417232513,0.33,0.28,False,0.002
TPM__SELENOW,50,7,0.5,0.1899999976158142,0.41,0.22,True,0.053
METH__LRFN3,50,12,0.5,0.20000000298023224,-0.34,0.27,False,0.0
METH__C1orf55,47,5,0.47,0.25,0.34,0.23,True,0.458
TPM__RPS6,46,3,0.46,0.18000000715255737,-0.42,0.23,True,0.992
TPM__DOLK,46,7,0.46,0.17000000178813934,0.38,0.21,True,0.053
METH__MIR142,44,5,0.44,0.2800000011920929,0.34,0.23,True,0.458
TPM__DENND2B,43,3,0.43,0.12999999523162842,0.26,0.26,True,0.992
TPM__ARHGDIB,42,4,0.42,0.15000000596046448,-0.33,0.23,True,0.832
METH__GPR132,41,5,0.41,0.1899999976158142,0.31,0.22,True,0.458
TPM__EMC10,39,5,0.39,0.05999999865889549,0.37,0.21,True,0.458
METH__MAP3K1,36,2,0.36,0.019999999552965164,0.07,0.23,True,1.0
METH__TMEM149,36,6,0.36,0.27000001072883606,0.4,0.21,True,0.181
METH__GPHN,36,0,0.36,0.1599999964237213,-0.22,0.22,False,
TPM__TRAF3IP3,33,2,0.33,0.18000000715255737,-0.31,0.23,True,1.0
METH__OR6F1,33,2,0.33,0.15000000596046448,-0.34,0.2,True,1.0
