feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__BCL2L1,100,50,1.0,0.18000000715255737,0.42,0.14,True,1.0
TPM__ZCCHC3,93,43,0.93,0.15000000596046448,-0.42,0.06,True,0.053
TPM__LCMT1-AS1,87,37,0.87,0.14000000059604645,-0.37,0.1,False,0.0
TPM__TMEM139,87,37,0.87,0.1599999964237213,0.4,0.07,False,0.0
TPM__OPHN1,84,34,0.84,0.14000000059604645,0.4,0.13,False,0.0
TPM__ZBED4,84,34,0.84,0.15000000596046448,-0.42,0.08,False,0.0
TPM__ME2,82,32,0.82,0.15000000596046448,-0.41,0.09,False,0.0
TPM__ABHD12,82,32,0.82,0.1599999964237213,0.41,0.15,False,0.0
TPM__SNX21,81,31,0.81,0.18000000715255737,0.42,0.13,False,0.0
TPM__EVA1A,81,31,0.81,0.14000000059604645,0.43,0.19,False,0.0
TPM__SH3BP4,81,31,0.81,0.17000000178813934,0.4,0.14,False,0.0
TPM__PIGT,79,29,0.79,0.14000000059604645,0.38,0.15,False,0.0
TPM__RPL10A,78,28,0.78,0.18000000715255737,-0.44,0.13,False,0.0
METH__MGAT1,77,27,0.77,0.18000000715255737,0.38,0.16,False,0.0
TPM__APLP2,76,26,0.76,0.1899999976158142,0.44,0.12,False,0.0
TPM__SLC2A4RG,75,25,0.75,0.14000000059604645,0.36,0.06,False,0.0
TPM__FHL2,69,20,0.69,0.15000000596046448,0.4,0.16,False,0.0
TPM__TMEM51,67,18,0.67,0.14000000059604645,0.37,0.15,False,0.0
TPM__KIF21B,66,16,0.66,0.17000000178813934,-0.37,0.21,False,0.0
TPM__RPL18A,66,16,0.66,0.17000000178813934,-0.44,0.15,False,0.0
TPM__ADCY6,65,17,0.65,0.17000000178813934,0.39,0.11,False,0.0
METH__LOC148709,64,14,0.64,0.17000000178813934,-0.41,0.13,False,0.0
TPM__BMS1P23,64,14,0.64,0.1599999964237213,0.42,0.16,False,0.0
TPM__TRNP1,64,14,0.64,0.14000000059604645,0.4,0.2,False,0.0
TPM__PSAP,62,13,0.62,0.1599999964237213,0.39,0.11,False,0.0
TPM__NTN4,62,14,0.62,0.15000000596046448,0.45,0.18,False,0.0
METH__AGXT2L2,61,12,0.61,0.14000000059604645,0.41,0.08,False,0.0
TPM__BTC,61,12,0.61,0.15000000596046448,0.46,0.14,False,0.0
TPM__WFS1,60,12,0.6,0.17000000178813934,0.42,0.08,False,0.0
METH__EIF3K,60,11,0.6,0.18000000715255737,0.4,0.17,False,0.0
TPM__MRPS18AP1,59,12,0.59,0.15000000596046448,-0.38,0.11,False,0.0
METH__GCET2,56,8,0.56,0.14000000059604645,0.37,0.12,False,0.013
TPM__RIN2,55,9,0.55,0.14000000059604645,0.38,0.12,False,0.002
TPM__AGRN,54,9,0.54,0.18000000715255737,0.43,0.15,False,0.002
METH__ABCC3,53,8,0.53,0.14000000059604645,-0.33,0.15,False,0.013
METH__CDKN2D,53,5,0.53,0.15000000596046448,0.4,0.14,True,0.458
METH__CCDC88B,53,7,0.53,0.14000000059604645,0.33,0.07,True,0.053
TPM__GIPC1,51,4,0.51,0.17000000178813934,0.45,0.18,True,0.832
TPM__AGAP2,49,5,0.49,0.20999999344348907,-0.47,0.17,True,0.458
TPM__SQSTM1,48,2,0.48,0.15000000596046448,0.42,0.18,True,1.0
TPM__ARHGAP29,48,1,0.48,0.2199999988079071,0.49,0.23,True,1.0
TPM__CRIM1-DT,48,2,0.48,0.1599999964237213,0.44,0.15,True,1.0
TPM__HDAC11,46,5,0.46,0.18000000715255737,0.43,0.16,True,0.458
TPM__TPM1,46,2,0.46,0.18000000715255737,0.44,0.24,True,1.0
TPM__ENC1,46,3,0.46,0.15000000596046448,0.43,0.14,True,0.992
TPM__PTTG1IP,44,1,0.44,0.17000000178813934,0.43,0.16,True,1.0
TPM__TMED8,44,5,0.44,0.14000000059604645,-0.37,0.11,True,0.458
TPM__BAIAP2,43,2,0.43,0.20999999344348907,0.43,0.15,True,1.0
METH__AK1,43,2,0.43,0.1599999964237213,-0.35,0.15,True,1.0
TPM__CUEDC1,43,3,0.43,0.1899999976158142,0.42,0.12,True,0.992
TPM__CAPN2,42,2,0.42,0.15000000596046448,0.41,0.12,True,1.0
TPM__BCAM,42,4,0.42,0.1899999976158142,0.43,0.23,True,0.832
TPM__RGL3,42,5,0.42,0.1599999964237213,0.43,0.18,True,0.458
TPM__GNA11,42,3,0.42,0.14000000059604645,0.33,0.21,True,0.992
TPM__CLCF1,41,1,0.41,0.20000000298023224,0.47,0.16,True,1.0
TPM__RPL11,41,2,0.41,0.17000000178813934,-0.42,0.19,True,1.0
METH__BTBD16,41,5,0.41,0.14000000059604645,0.36,0.1,True,0.458
METH__C7orf23,41,1,0.41,0.15000000596046448,-0.37,0.14,True,1.0
TPM__RFXAP,41,0,0.41,0.15000000596046448,-0.41,0.14,False,
METH__CCDC12,41,2,0.41,0.14000000059604645,-0.33,0.24,True,1.0
TPM__RBPMS-AS1,41,4,0.41,0.14000000059604645,0.47,0.23,True,0.832
TPM__LAPTM4A,40,1,0.4,0.20000000298023224,0.46,0.14,True,1.0
TPM__FLI1,40,2,0.4,0.15000000596046448,-0.33,0.18,True,1.0
METH__GAS2L3,39,1,0.39,0.1599999964237213,-0.42,0.17,True,1.0
METH__NRP1,38,0,0.38,0.1599999964237213,-0.37,0.25,False,
TPM__PON2,37,0,0.37,0.14000000059604645,0.42,0.13,False,
TPM__LMNA,37,1,0.37,0.17000000178813934,0.45,0.2,True,1.0
TPM__LTBP3,36,3,0.36,0.14000000059604645,0.37,0.11,True,0.992
TPM__PTGR1,36,0,0.36,0.15000000596046448,0.39,0.18,False,
TPM__CORO7,36,2,0.36,0.14000000059604645,-0.37,0.1,True,1.0
TPM__PCYOX1,36,2,0.36,0.15000000596046448,0.39,0.12,True,1.0
METH__SHC2,35,0,0.35,0.15000000596046448,-0.34,0.13,False,
TPM__TAX1BP3,35,1,0.35,0.14000000059604645,0.39,0.14,True,1.0
TPM__EIF3L,35,0,0.35,0.14000000059604645,-0.42,0.08,False,
TPM__P2RY8,35,2,0.35,0.15000000596046448,-0.26,0.22,True,1.0
TPM__TAF4B,34,2,0.34,0.15000000596046448,-0.43,0.13,True,1.0
METH__FERMT3,34,2,0.34,0.18000000715255737,0.39,0.14,True,1.0
TPM__PHLDA2,34,0,0.34,0.14000000059604645,0.38,0.1,False,
TPM__PTPRC,34,2,0.34,0.15000000596046448,-0.23,0.22,True,1.0
TPM__GPRC5A,34,1,0.34,0.1899999976158142,0.48,0.16,True,1.0
METH__PTPRCAP,33,0,0.33,0.14000000059604645,0.37,0.11,False,
METH__NCKAP1,33,1,0.33,0.14000000059604645,-0.3,0.11,True,1.0
TPM__GPR39,33,0,0.33,0.18000000715255737,0.45,0.19,False,
TPM__PVR,33,1,0.33,0.1599999964237213,0.39,0.15,True,1.0
TPM__RHPN2,33,1,0.33,0.15000000596046448,0.42,0.15,True,1.0
TPM__FERMT3,32,0,0.32,0.14000000059604645,-0.3,0.14,False,
METH__RGNEF,32,1,0.32,0.15000000596046448,-0.31,0.19,True,1.0
TPM__DLG5,32,1,0.32,0.14000000059604645,0.35,0.12,True,1.0
TPM__FAM114A1,32,0,0.32,0.1599999964237213,0.41,0.15,False,
TPM__BCAR1,31,0,0.31,0.18000000715255737,0.43,0.2,False,
TPM__RPL3,31,0,0.31,0.15000000596046448,-0.43,0.12,False,
TPM__WASL,31,0,0.31,0.14000000059604645,0.35,0.15,False,
TPM__AOPEP,30,3,0.3,0.14000000059604645,0.38,0.13,True,0.992
TPM__SHB,30,0,0.3,0.14000000059604645,0.37,0.13,False,
TPM__CCND1,30,1,0.3,0.14000000059604645,0.34,0.16,True,1.0
TPM__EPHA2,29,0,0.29,0.1899999976158142,0.45,0.2,False,
TPM__ABCC3,29,0,0.29,0.20000000298023224,0.48,0.25,False,
TPM__PLPP2,29,0,0.29,0.18000000715255737,0.42,0.22,False,
TPM__CSK,28,0,0.28,0.15000000596046448,-0.38,0.1,False,
TPM__CTSA,26,1,0.26,0.17000000178813934,0.44,0.15,True,1.0
METH__KRI1,26,0,0.26,0.17000000178813934,0.4,0.13,False,
TPM__DDN,25,1,0.25,0.15000000596046448,-0.37,0.12,True,1.0
TPM__PPP1R14B-AS1,25,0,0.25,0.18000000715255737,0.46,0.16,False,
METH__MIR142,25,0,0.25,0.1599999964237213,0.31,0.16,False,
TPM__SEMA3B,25,1,0.25,0.15000000596046448,0.41,0.11,True,1.0
TPM__TNFRSF21,25,2,0.25,0.14000000059604645,0.41,0.15,True,1.0
TPM__RNASEH2B,25,3,0.25,0.14000000059604645,-0.37,0.1,True,0.992
TPM__NHERF2,24,4,0.24,0.14000000059604645,0.37,0.14,True,0.832
TPM__CDR2L,24,1,0.24,0.1599999964237213,0.38,0.1,True,1.0
TPM__TM4SF1,24,0,0.24,0.17000000178813934,0.42,0.14,False,
TPM__RASSF7,24,4,0.24,0.1599999964237213,0.43,0.1,True,0.832
METH__MTMR11,24,0,0.24,0.1599999964237213,-0.39,0.17,False,
TPM__ELOVL1,24,1,0.24,0.14000000059604645,0.42,0.1,True,1.0
TPM__PDCD6IP-DT,24,5,0.24,0.14000000059604645,0.41,0.13,True,0.458
TPM__MYOF,23,0,0.23,0.1899999976158142,0.43,0.16,False,
TPM__SEMA3C,23,2,0.23,0.14000000059604645,0.4,0.22,True,1.0
METH__MATN3,23,1,0.23,0.14000000059604645,-0.24,0.18,True,1.0
TPM__PARVA,23,0,0.23,0.17000000178813934,0.4,0.18,False,
TPM__ARHGAP30,23,0,0.23,0.15000000596046448,-0.22,0.13,False,
TPM__ANXA4,23,1,0.23,0.14000000059604645,0.4,0.12,True,1.0
TPM__TSKU,23,0,0.23,0.14000000059604645,0.38,0.08,False,
TPM__TNFAIP1,23,1,0.23,0.15000000596046448,0.41,0.12,True,1.0
TPM__ITGB5,22,0,0.22,0.1899999976158142,0.45,0.16,False,
TPM__GRAMD2B,22,1,0.22,0.1899999976158142,0.45,0.14,True,1.0
TPM__ASPH,22,0,0.22,0.1599999964237213,0.45,0.19,False,
TPM__FCHO2,21,0,0.21,0.17000000178813934,0.39,0.14,False,
METH__GPR125,21,0,0.21,0.14000000059604645,-0.32,0.16,False,
TPM__SLC49A4,21,0,0.21,0.15000000596046448,0.36,0.13,False,
TPM__IL12RB1,21,0,0.21,0.1599999964237213,-0.27,0.21,False,
TPM__TEAD1,21,0,0.21,0.14000000059604645,0.33,0.13,False,
TPM__TMEM54,21,1,0.21,0.17000000178813934,0.42,0.13,True,1.0
TPM__AK1,20,0,0.2,0.15000000596046448,0.39,0.12,False,
TPM__CTSD,20,1,0.2,0.20000000298023224,0.48,0.12,True,1.0
TPM__CHMP3,20,0,0.2,0.1599999964237213,0.42,0.16,False,
TPM__SH3D19,20,0,0.2,0.17000000178813934,0.39,0.21,False,
METH__MIR765,19,0,0.19,0.14000000059604645,0.38,0.1,False,
TPM__KBTBD8,19,4,0.19,0.1599999964237213,-0.4,0.13,True,0.832
TPM__CD63,19,0,0.19,0.17000000178813934,0.46,0.15,False,
TPM__ARHGAP19,19,1,0.19,0.1599999964237213,-0.42,0.1,True,1.0
METH__PTRF,19,1,0.19,0.14000000059604645,-0.33,0.09,True,1.0
METH__CDC14B,19,0,0.19,0.1599999964237213,-0.39,0.17,False,
TPM__TSPOAP1-AS1,19,0,0.19,0.14000000059604645,-0.28,0.11,False,
TPM__CTTN,19,0,0.19,0.1599999964237213,0.44,0.17,False,
METH__ITGA2,19,0,0.19,0.15000000596046448,-0.37,0.16,False,
TPM__EPS8,19,1,0.19,0.1599999964237213,0.44,0.15,True,1.0
