feature,Selection count,Pair count,CPSS Score
TPM__BCL2L1,100,50,1.0
TPM__ZCCHC3,93,43,0.93
TPM__LCMT1-AS1,87,37,0.87
TPM__TMEM139,87,37,0.87
TPM__OPHN1,84,34,0.84
TPM__ZBED4,84,34,0.84
TPM__ME2,82,32,0.82
TPM__ABHD12,82,32,0.82
TPM__SNX21,81,31,0.81
TPM__EVA1A,81,31,0.81
TPM__SH3BP4,81,31,0.81
TPM__PIGT,79,29,0.79
TPM__RPL10A,78,28,0.78
METH__MGAT1,77,27,0.77
TPM__APLP2,76,26,0.76
TPM__SLC2A4RG,75,25,0.75
TPM__FHL2,69,20,0.69
TPM__TMEM51,67,18,0.67
TPM__KIF21B,66,16,0.66
TPM__RPL18A,66,16,0.66
TPM__ADCY6,65,17,0.65
METH__LOC148709,64,14,0.64
TPM__BMS1P23,64,14,0.64
TPM__TRNP1,64,14,0.64
TPM__NTN4,62,14,0.62
TPM__PSAP,62,13,0.62
METH__AGXT2L2,61,12,0.61
TPM__BTC,61,12,0.61
TPM__WFS1,60,12,0.6
METH__EIF3K,60,11,0.6
TPM__MRPS18AP1,59,12,0.59
METH__GCET2,56,8,0.56
TPM__RIN2,55,9,0.55
TPM__AGRN,54,9,0.54
METH__CDKN2D,53,5,0.53
METH__CCDC88B,53,7,0.53
METH__ABCC3,53,8,0.53
TPM__GIPC1,51,4,0.51
TPM__AGAP2,49,5,0.49
TPM__SQSTM1,48,2,0.48
TPM__ARHGAP29,48,1,0.48
TPM__CRIM1-DT,48,2,0.48
TPM__HDAC11,46,5,0.46
TPM__TPM1,46,2,0.46
TPM__ENC1,46,3,0.46
TPM__PTTG1IP,44,1,0.44
TPM__TMED8,44,5,0.44
TPM__CUEDC1,43,3,0.43
METH__AK1,43,2,0.43
TPM__BAIAP2,43,2,0.43
TPM__CAPN2,42,2,0.42
TPM__RGL3,42,5,0.42
TPM__GNA11,42,3,0.42
TPM__BCAM,42,4,0.42
METH__C7orf23,41,1,0.41
METH__CCDC12,41,2,0.41
TPM__RFXAP,41,0,0.41
TPM__RBPMS-AS1,41,4,0.41
METH__BTBD16,41,5,0.41
TPM__RPL11,41,2,0.41
TPM__CLCF1,41,1,0.41
TPM__FLI1,40,2,0.4
TPM__LAPTM4A,40,1,0.4
METH__GAS2L3,39,1,0.39
METH__NRP1,38,0,0.38
TPM__PON2,37,0,0.37
TPM__LMNA,37,1,0.37
TPM__LTBP3,36,3,0.36
TPM__PTGR1,36,0,0.36
TPM__CORO7,36,2,0.36
TPM__PCYOX1,36,2,0.36
TPM__EIF3L,35,0,0.35
TPM__P2RY8,35,2,0.35
TPM__TAX1BP3,35,1,0.35
METH__SHC2,35,0,0.35
METH__FERMT3,34,2,0.34
TPM__PHLDA2,34,0,0.34
TPM__PTPRC,34,2,0.34
TPM__GPRC5A,34,1,0.34
TPM__TAF4B,34,2,0.34
METH__PTPRCAP,33,0,0.33
METH__NCKAP1,33,1,0.33
TPM__GPR39,33,0,0.33
TPM__PVR,33,1,0.33
TPM__RHPN2,33,1,0.33
TPM__DLG5,32,1,0.32
TPM__FAM114A1,32,0,0.32
TPM__FERMT3,32,0,0.32
METH__RGNEF,32,1,0.32
TPM__BCAR1,31,0,0.31
TPM__RPL3,31,0,0.31
TPM__WASL,31,0,0.31
TPM__AOPEP,30,3,0.3
TPM__SHB,30,0,0.3
TPM__CCND1,30,1,0.3
TPM__ABCC3,29,0,0.29
TPM__PLPP2,29,0,0.29
TPM__EPHA2,29,0,0.29
TPM__CSK,28,0,0.28
TPM__CTSA,26,1,0.26
METH__KRI1,26,0,0.26
TPM__DDN,25,1,0.25
TPM__PPP1R14B-AS1,25,0,0.25
METH__MIR142,25,0,0.25
TPM__SEMA3B,25,1,0.25
TPM__TNFRSF21,25,2,0.25
TPM__RNASEH2B,25,3,0.25
TPM__RASSF7,24,4,0.24
METH__MTMR11,24,0,0.24
TPM__PDCD6IP-DT,24,5,0.24
TPM__ELOVL1,24,1,0.24
TPM__NHERF2,24,4,0.24
TPM__TM4SF1,24,0,0.24
TPM__CDR2L,24,1,0.24
TPM__TNFAIP1,23,1,0.23
TPM__TSKU,23,0,0.23
TPM__ANXA4,23,1,0.23
TPM__ARHGAP30,23,0,0.23
TPM__PARVA,23,0,0.23
METH__MATN3,23,1,0.23
TPM__SEMA3C,23,2,0.23
TPM__MYOF,23,0,0.23
TPM__ASPH,22,0,0.22
TPM__GRAMD2B,22,1,0.22
TPM__ITGB5,22,0,0.22
TPM__FCHO2,21,0,0.21
METH__GPR125,21,0,0.21
TPM__SLC49A4,21,0,0.21
TPM__IL12RB1,21,0,0.21
TPM__TEAD1,21,0,0.21
TPM__TMEM54,21,1,0.21
TPM__AK1,20,0,0.2
TPM__CTSD,20,1,0.2
TPM__CHMP3,20,0,0.2
TPM__SH3D19,20,0,0.2
TPM__GPC1,19,0,0.19
METH__CDC14B,19,0,0.19
METH__ITGA2,19,0,0.19
TPM__CTTN,19,0,0.19
TPM__TSPOAP1-AS1,19,0,0.19
TPM__EPS8,19,1,0.19
METH__PTRF,19,1,0.19
TPM__ARHGAP19,19,1,0.19
TPM__CD63,19,0,0.19
TPM__KBTBD8,19,4,0.19
METH__MIR765,19,0,0.19
TPM__SDC1,18,0,0.18
TPM__CTNND1,18,0,0.18
TPM__VAMP3,18,0,0.18
TPM__MPP3,18,1,0.18
TPM__ALDH3B1,18,0,0.18
TPM__NQO1,18,2,0.18
METH__ZNF579,18,6,0.18
TPM__CETN2,18,3,0.18
TPM__MLPH,18,1,0.18
TPM__LAMB1,17,0,0.17
TPM__THSD4,17,3,0.17
METH__GULP1,17,2,0.17
METH__ZNF214,17,0,0.17
TPM__RPS28,17,3,0.17
TPM__SH3RF1,17,5,0.17
