feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
METH__CCM2,100,50,1.0,0.1899999976158142,0.4,0.32,True,1.0,unimodal,0.71,True
TPM__LINC01273,100,50,1.0,0.10999999940395355,0.42,0.23,True,1.0,unimodal,0.71,True
TPM__FAM78A,100,50,1.0,0.20000000298023224,-0.41,0.23,True,1.0,unimodal,0.71,True
TPM__TPM1,100,50,1.0,0.18000000715255737,0.44,0.24,True,1.0,unimodal,0.71,True
TPM__BCAM,100,50,1.0,0.1899999976158142,0.43,0.23,True,1.0,unimodal,0.71,True
TPM__PPIC,100,50,1.0,0.2199999988079071,0.47,0.23,True,1.0,unimodal,0.71,True
METH__TMEM51,100,50,1.0,0.14000000059604645,-0.25,0.23,True,1.0,unimodal,0.71,True
TPM__RBPMS-AS1,100,50,1.0,0.14000000059604645,0.47,0.23,True,1.0,unimodal,0.71,True
TPM__ARPIN,100,50,1.0,0.10999999940395355,0.33,0.23,True,1.0,unimodal,0.71,True
TPM__MIR142HG,100,50,1.0,0.1899999976158142,-0.26,0.29,True,1.0,unimodal,0.71,True
TPM__LINC01836,100,50,1.0,0.10999999940395355,0.41,0.24,True,1.0,unimodal,0.71,True
TPM__CNN3,100,50,1.0,0.14000000059604645,0.34,0.24,True,1.0,unimodal,0.71,True
TPM__ARHGAP15,100,50,1.0,0.1899999976158142,-0.29,0.25,True,1.0,unimodal,0.71,True
TPM__ARHGAP29,100,50,1.0,0.2199999988079071,0.49,0.23,True,1.0,unimodal,0.71,True
TPM__RHOH,100,50,1.0,0.15000000596046448,-0.31,0.23,True,1.0,unimodal,0.71,True
METH__ANKRD57,100,50,1.0,0.14000000059604645,-0.32,0.24,True,1.0,unimodal,0.71,True
TPM__ABCC3,100,50,1.0,0.20000000298023224,0.48,0.25,True,1.0,unimodal,0.71,True
METH__DSTN,100,50,1.0,0.1899999976158142,-0.36,0.25,True,1.0,unimodal,0.71,True
TPM__CST6,100,50,1.0,0.09000000357627869,0.34,0.23,True,1.0,unimodal,0.71,True
TPM__IKZF1,100,50,1.0,0.20000000298023224,-0.32,0.25,True,1.0,unimodal,0.71,True
TPM__EPHA2-AS1,100,50,1.0,0.11999999731779099,0.44,0.23,True,1.0,unimodal,0.71,True
TPM__PTPRC,100,50,1.0,0.15000000596046448,-0.23,0.22,True,1.0,unimodal,0.71,True
TPM__DAG1,100,50,1.0,0.1899999976158142,0.45,0.22,True,1.0,unimodal,0.71,True
METH__TRIM3,100,50,1.0,0.12999999523162842,-0.3,0.22,True,1.0,unimodal,0.71,True
METH__NRP1,99,49,0.99,0.1599999964237213,-0.37,0.25,True,1.0,unimodal,0.71,True
TPM__PDE1B,99,49,0.99,0.18000000715255737,-0.35,0.25,True,1.0,unimodal,0.71,True
TPM__PIK3CG,98,48,0.98,0.17000000178813934,-0.3,0.25,True,1.0,unimodal,0.71,True
METH__MIR1469,98,48,0.98,0.1599999964237213,-0.31,0.27,True,1.0,unimodal,0.71,True
METH__CCDC12,97,47,0.97,0.14000000059604645,-0.33,0.24,True,0.992,unimodal,0.71,True
METH__FAM47E,96,46,0.96,0.14000000059604645,-0.35,0.24,True,0.832,unimodal,0.71,True
METH__C9orf150,91,42,0.91,0.11999999731779099,-0.3,0.25,False,0.013,worst_case,0.9,True
METH__SNX33,90,40,0.9,0.09000000357627869,-0.31,0.22,False,0.0,worst_case,0.9,True
