feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__CUEDC1,89,39,0.89,0.20999999344348907,0.41,0.14,False,0.0
TPM__KDM2B,87,37,0.87,0.18000000715255737,-0.39,0.09,False,0.0
TPM__CYTH4,83,33,0.83,0.17000000178813934,-0.24,0.18,False,0.0
TPM__LINC00511,83,33,0.83,0.17000000178813934,0.41,0.12,False,0.0
TPM__AGAP2,76,26,0.76,0.2199999988079071,-0.42,0.13,False,0.0
TPM__CCND1,75,26,0.75,0.17000000178813934,0.33,0.13,False,0.0
TPM__GMIP,74,24,0.74,0.15000000596046448,-0.33,0.09,False,0.0
METH__TBC1D10C,74,24,0.74,0.18000000715255737,0.36,0.16,False,0.0
METH__PROCA1,73,23,0.73,0.2199999988079071,0.38,0.12,False,0.0
TPM__THAP10,70,20,0.7,0.17000000178813934,0.33,0.11,False,0.0
METH__RASAL2,68,18,0.68,0.14000000059604645,-0.33,0.15,False,0.0
METH__ZNF214,67,17,0.67,0.14000000059604645,-0.29,0.09,False,0.0
METH__SIRT2,67,18,0.67,0.14000000059604645,0.31,0.2,False,0.0
METH__ZNF579,63,15,0.63,0.14000000059604645,-0.34,0.13,False,0.0
METH__PTGFRN,63,14,0.63,0.15000000596046448,-0.3,0.09,False,0.0
METH__MGAT1,63,13,0.63,0.20999999344348907,0.37,0.16,False,0.0
TPM__PTPRF,63,14,0.63,0.1599999964237213,0.29,0.12,False,0.0
METH__NCRNA00111,61,12,0.61,0.15000000596046448,-0.37,0.11,False,0.0
METH__ARHGEF10,60,11,0.6,0.14000000059604645,-0.23,0.23,False,0.0
TPM__PLEKHA1,59,9,0.59,0.14000000059604645,0.27,0.12,False,0.002
TPM__EAF2,58,10,0.58,0.17000000178813934,-0.34,0.12,False,0.0
TPM__AHNAK2,58,11,0.58,0.1599999964237213,0.4,0.17,False,0.0
TPM__AFF2,58,10,0.58,0.14000000059604645,-0.24,0.22,False,0.0
TPM__FMNL1,57,10,0.57,0.14000000059604645,-0.34,0.13,False,0.0
METH__C15orf52,57,10,0.57,0.15000000596046448,-0.35,0.16,False,0.0
TPM__GULP1,57,11,0.57,0.1599999964237213,0.37,0.21,False,0.0
METH__PARP10,55,9,0.55,0.14000000059604645,0.36,0.09,False,0.002
TPM__TRNP1,54,8,0.54,0.15000000596046448,0.37,0.15,False,0.013
TPM__PSTPIP1,53,5,0.53,0.1899999976158142,-0.33,0.19,True,0.458
TPM__TMEM54,53,3,0.53,0.15000000596046448,0.3,0.06,True,0.992
METH__MAP4K1,53,11,0.53,0.25999999046325684,0.42,0.17,False,0.0
METH__C9orf78,53,4,0.53,0.14000000059604645,0.32,0.14,True,0.832
TPM__PLPP2,53,4,0.53,0.20999999344348907,0.41,0.12,True,0.832
METH__USP20,53,4,0.53,0.14000000059604645,0.32,0.14,True,0.832
TPM__ATP9A,50,6,0.5,0.15000000596046448,0.33,0.12,True,0.181
TPM__ASPH,50,4,0.5,0.1599999964237213,0.39,0.13,True,0.832
TPM__PPP1R16B,50,6,0.5,0.15000000596046448,-0.27,0.18,True,0.181
METH__RBM38,49,4,0.49,0.15000000596046448,0.29,0.1,True,0.832
METH__RPS6KA1,49,6,0.49,0.1599999964237213,0.37,0.14,True,0.181
TPM__CCDC9B,47,2,0.47,0.15000000596046448,0.38,0.13,True,1.0
METH__NCRNA00203,47,4,0.47,0.15000000596046448,0.36,0.08,True,0.832
TPM__CHMP3,47,5,0.47,0.15000000596046448,0.38,0.15,True,0.458
TPM__SEPTIN6,47,4,0.47,0.2199999988079071,-0.43,0.11,True,0.832
METH__CARD8,47,2,0.47,0.15000000596046448,0.33,0.09,True,1.0
METH__TSPAN12,47,7,0.47,0.1599999964237213,-0.34,0.13,True,0.053
TPM__TBC1D10C,46,4,0.46,0.18000000715255737,-0.24,0.13,True,0.832
TPM__LGALS3,46,2,0.46,0.14000000059604645,0.37,0.11,True,1.0
METH__CADPS2,46,5,0.46,0.17000000178813934,-0.24,0.14,True,0.458
METH__TLCD2,46,6,0.46,0.15000000596046448,-0.34,0.14,True,0.181
TPM__GPSM3,46,2,0.46,0.18000000715255737,-0.36,0.13,True,1.0
TPM__TRG-AS1,45,2,0.45,0.18000000715255737,-0.32,0.22,True,1.0
METH__RGS1,44,3,0.44,0.15000000596046448,0.31,0.08,True,0.992
TPM__KIAA1671,44,3,0.44,0.14000000059604645,0.32,0.12,True,0.992
TPM__PPP1R26,43,4,0.43,0.15000000596046448,0.29,0.14,True,0.832
TPM__LYL1,43,4,0.43,0.1599999964237213,-0.25,0.16,True,0.832
TPM__TSPAN1,43,3,0.43,0.15000000596046448,0.44,0.14,True,0.992
TPM__RHPN2,43,1,0.43,0.15000000596046448,0.38,0.12,True,1.0
TPM__SNX7,42,3,0.42,0.15000000596046448,0.3,0.08,True,0.992
METH__KRI1,42,0,0.42,0.23000000417232513,0.41,0.18,False,
TPM__IL12RB1,42,4,0.42,0.2199999988079071,-0.33,0.25,True,0.832
METH__LTC4S,42,1,0.42,0.1599999964237213,0.35,0.15,True,1.0
METH__NEIL2,41,1,0.41,0.15000000596046448,0.32,0.16,True,1.0
METH__ANKRD44,40,3,0.4,0.2199999988079071,0.39,0.23,True,0.992
TPM__CD37,40,2,0.4,0.20999999344348907,-0.37,0.14,True,1.0
TPM__CDC42BPA,40,3,0.4,0.1599999964237213,0.28,0.12,True,0.992
TPM__LCP1,40,3,0.4,0.17000000178813934,-0.34,0.18,True,0.992
TPM__TRAF3IP3,40,2,0.4,0.25,-0.39,0.18,True,1.0
TPM__AKNA,39,0,0.39,0.14000000059604645,-0.31,0.09,False,
TPM__ADAM9,39,0,0.39,0.18000000715255737,0.39,0.1,False,
TPM__AGAP1,39,3,0.39,0.15000000596046448,0.25,0.19,True,0.992
METH__SNX7,39,0,0.39,0.1599999964237213,-0.33,0.14,False,
METH__CD1C,38,1,0.38,0.1599999964237213,-0.24,0.19,True,1.0
TPM__CST3,38,1,0.38,0.15000000596046448,0.34,0.11,True,1.0
METH__CDC14B,37,0,0.37,0.20999999344348907,-0.4,0.17,False,
METH__HOOK1,37,0,0.37,0.15000000596046448,-0.35,0.13,False,
TPM__MYCBP2,37,3,0.37,0.15000000596046448,-0.38,0.13,True,0.992
TPM__PVR,36,3,0.36,0.17000000178813934,0.32,0.14,True,0.992
TPM__LIF,35,1,0.35,0.15000000596046448,0.39,0.08,True,1.0
TPM__SRGAP1,35,1,0.35,0.1599999964237213,0.35,0.1,True,1.0
METH__EGLN3,35,0,0.35,0.1599999964237213,-0.22,0.15,False,
TPM__ARHGEF6,35,1,0.35,0.15000000596046448,-0.35,0.09,True,1.0
TPM__ATP8B1-AS1,35,3,0.35,0.14000000059604645,-0.36,0.1,True,0.992
METH__FAM129C,34,1,0.34,0.2199999988079071,0.41,0.13,True,1.0
TPM__CTNND1,34,0,0.34,0.17000000178813934,0.33,0.18,False,
TPM__SEPTIN1,34,1,0.34,0.1599999964237213,-0.29,0.1,True,1.0
METH__GALNT11,33,0,0.33,0.15000000596046448,-0.23,0.09,False,
METH__BTBD16,33,2,0.33,0.15000000596046448,0.37,0.15,True,1.0
METH__BOK,32,0,0.32,0.14000000059604645,-0.31,0.09,False,
TPM__RND3,32,0,0.32,0.1599999964237213,0.33,0.17,False,
METH__PLEKHA1,32,0,0.32,0.17000000178813934,-0.3,0.17,False,
TPM__ARHGAP25,32,1,0.32,0.14000000059604645,-0.22,0.17,True,1.0
