feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
TPM__MIR142HG,100,50,1.0,0.27000001072883606,-0.29,0.33,True,1.0,unimodal,0.71,True
METH__TPX2,100,50,1.0,0.10000000149011612,-0.24,0.26,True,1.0,unimodal,0.71,True
METH__INTU,100,50,1.0,0.20000000298023224,-0.3,0.28,True,1.0,unimodal,0.71,True
TPM__IKZF1,100,50,1.0,0.27000001072883606,-0.35,0.26,True,1.0,unimodal,0.71,True
METH__TMEM149,100,50,1.0,0.23000000417232513,0.4,0.24,True,1.0,unimodal,0.71,True
TPM__PIK3CG,100,50,1.0,0.23000000417232513,-0.29,0.26,True,1.0,unimodal,0.71,True
METH__C9orf150,100,50,1.0,0.17000000178813934,-0.32,0.29,True,1.0,unimodal,0.71,True
METH__KLF4,100,50,1.0,0.14000000059604645,-0.27,0.26,True,1.0,unimodal,0.71,True
METH__C14orf128,100,50,1.0,0.07999999821186066,-0.28,0.28,True,1.0,unimodal,0.71,True
METH__MIR1469,100,50,1.0,0.23000000417232513,-0.32,0.28,True,1.0,unimodal,0.71,True
METH__LRIG3,100,50,1.0,0.18000000715255737,-0.33,0.25,True,1.0,unimodal,0.71,True
METH__DSTN,100,50,1.0,0.20000000298023224,-0.35,0.26,True,1.0,unimodal,0.71,True
METH__CCM2,100,50,1.0,0.25999999046325684,0.42,0.31,True,1.0,unimodal,0.71,True
METH__ARHGAP5,100,50,1.0,0.07999999821186066,-0.26,0.31,True,1.0,unimodal,0.71,True
TPM__ARHGAP15,100,50,1.0,0.25,-0.36,0.26,True,1.0,unimodal,0.71,True
METH__TMEM51,100,50,1.0,0.15000000596046448,-0.22,0.3,True,1.0,unimodal,0.71,True
METH__PCGF2,99,49,0.99,0.11999999731779099,-0.28,0.27,True,1.0,unimodal,0.71,True
METH__ZNF697,99,49,0.99,0.1599999964237213,-0.25,0.29,True,1.0,unimodal,0.71,True
METH__PARD3B,98,48,0.98,0.11999999731779099,-0.25,0.25,True,1.0,unimodal,0.71,True
METH__EFNA5,98,48,0.98,0.09000000357627869,-0.28,0.31,True,1.0,unimodal,0.71,True
METH__PTGR2,97,47,0.97,0.10999999940395355,-0.29,0.29,True,0.992,unimodal,0.71,True
METH__SNX33,95,45,0.95,0.07000000029802322,-0.27,0.26,True,0.458,unimodal,0.71,True
METH__PTPN14,94,44,0.94,0.17000000178813934,-0.36,0.28,True,0.181,unimodal,0.71,True
METH__ATP6V1D,93,43,0.93,0.10999999940395355,-0.22,0.25,True,0.053,unimodal,0.71,True
METH__LRP6,92,42,0.92,0.10999999940395355,-0.23,0.32,False,0.013,worst_case,0.896551724137931,True
METH__AGPHD1,90,40,0.9,0.05999999865889549,-0.24,0.3,False,0.0,worst_case,0.896551724137931,True
