feature,Selection count,Pair count,CPSS Score
TPM__SLFN11,100,50,1.0
METH__MIER3,99,49,0.99
TPM__MOB3A,99,49,0.99
TPM__APLP2,98,48,0.98
TPM__RPL3,94,44,0.94
METH__SLFN11,94,44,0.94
TPM__NPTN,93,43,0.93
TPM__PDCD6IP-DT,93,43,0.93
METH__POLR1B,89,39,0.89
TPM__SLC38A5,87,37,0.87
TPM__PKP3,86,36,0.86
TPM__LINC01410,85,35,0.85
METH__HLCS,84,34,0.84
TPM__HDAC11,84,34,0.84
TPM__ERBB2,80,30,0.8
METH__CUL1,80,30,0.8
TPM__C11orf52,79,29,0.79
TPM__TMEM191A,77,27,0.77
METH__CAPS,76,26,0.76
METH__PPP1R16B,75,25,0.75
TPM__FERMT3,70,20,0.7
METH__FAT1,69,21,0.69
TPM__CUEDC1,67,17,0.67
TPM__AGAP2,66,16,0.66
TPM__KDM2B,64,15,0.64
TPM__FAM151B-DT,63,14,0.63
TPM__EEF2,62,13,0.62
METH__FAIM3,62,13,0.62
METH__YOD1,62,13,0.62
METH__PER3,60,10,0.6
TPM__TLCD1,59,11,0.59
METH__LOC100130776,57,11,0.57
TPM__TUFT1,57,8,0.57
TPM__SH3BP4,56,9,0.56
TPM__SOX13,56,10,0.56
METH__HOOK1,55,8,0.55
METH__MIPOL1,55,10,0.55
TPM__PIR,55,8,0.55
TPM__NAP1L1,53,4,0.53
TPM__IL13RA1,52,5,0.52
TPM__CYB561,52,5,0.52
TPM__CARD10,51,8,0.51
TPM__LIMD2,50,5,0.5
METH__THBS1,50,5,0.5
TPM__THRB,49,3,0.49
TPM__SGMS2,49,4,0.49
TPM__SHTN1,49,4,0.49
TPM__TACC2,49,7,0.49
METH__C15orf52,48,6,0.48
TPM__RPL13A,46,2,0.46
METH__MTMR11,46,2,0.46
TPM__LAMA5,45,2,0.45
TPM__DDN,45,1,0.45
TPM__KRT7,44,3,0.44
TPM__PRR15-DT,44,2,0.44
METH__CD248,44,5,0.44
TPM__CTNND1,43,2,0.43
METH__MARVELD2,42,2,0.42
TPM__SOWAHC,42,2,0.42
TPM__LAPTM4A,42,1,0.42
METH__RAVER1,42,0,0.42
TPM__ADAM9,41,1,0.41
METH__GNMT,41,2,0.41
TPM__MLPH,41,1,0.41
TPM__CRLF3,41,1,0.41
METH__LPAR5,40,3,0.4
TPM__TMEM139,40,0,0.4
METH__GSPT1,39,2,0.39
TPM__SLC44A3,39,1,0.39
TPM__CARD8,39,0,0.39
TPM__RPS6,38,1,0.38
TPM__RPL10A,38,2,0.38
TPM__ATP1B1,38,2,0.38
TPM__TSPAN15,38,0,0.38
TPM__KLRG1,38,0,0.38
METH__TBC1D10C,37,0,0.37
TPM__CSK,37,0,0.37
TPM__PON2,36,0,0.36
METH__RGS12,36,1,0.36
TPM__SH3D19,36,1,0.36
TPM__CTSD,36,0,0.36
TPM__PRR15,36,2,0.36
METH__MIR1284,36,1,0.36
METH__PROCA1,35,1,0.35
TPM__CDH1,35,0,0.35
TPM__MYCBP2,34,0,0.34
METH__CASZ1,34,0,0.34
TPM__RCSD1,34,0,0.34
TPM__LRATD2,34,0,0.34
TPM__LYL1,33,1,0.33
TPM__ARHGEF35,32,0,0.32
METH__ERRFI1,32,1,0.32
TPM__KDELR3,32,0,0.32
TPM__LGALS3,31,1,0.31
TPM__FAM177A1,31,2,0.31
METH__MATN3,31,0,0.31
TPM__DDR1,31,0,0.31
METH__OGFR,31,1,0.31
METH__EVL,30,2,0.3
METH__KLC4,30,0,0.3
METH__TMEM149,30,2,0.3
TPM__P4HA2,30,0,0.3
TPM__AP1M2,30,0,0.3
METH__KIAA1310,29,1,0.29
TPM__KRT8P45,29,2,0.29
TPM__CTSV,28,1,0.28
TPM__PPL,28,0,0.28
TPM__PPP1R16B,28,0,0.28
METH__ABHD10,28,0,0.28
TPM__EPS8,28,0,0.28
TPM__FLI1,28,0,0.28
TPM__SPR,28,0,0.28
TPM__SDSL,27,0,0.27
TPM__KIAA1671,27,1,0.27
METH__ITPRIPL1,27,1,0.27
TPM__HCLS1,27,0,0.27
TPM__FMNL1,27,0,0.27
TPM__ASAP2,27,0,0.27
TPM__ARHGAP29,27,0,0.27
TPM__ARHGAP30,27,0,0.27
TPM__PPIC,27,0,0.27
TPM__CD72,27,0,0.27
METH__NCRNA00111,26,0,0.26
TPM__TBC1D10C,26,0,0.26
TPM__BCAR3,26,0,0.26
TPM__SEPTIN10,26,0,0.26
METH__NLRC3,26,0,0.26
METH__NUP43,26,0,0.26
METH__SHC2,26,1,0.26
TPM__EIF3L,25,0,0.25
TPM__TMEM131L,25,0,0.25
TPM__C19orf33,25,0,0.25
TPM__LCP1,25,2,0.25
TPM__ITPRIPL1,25,0,0.25
METH__CD46,25,2,0.25
TPM__RASSF7,25,0,0.25
TPM__FAM83H,24,0,0.24
TPM__TMEM51,24,0,0.24
TPM__MGAT4B,24,0,0.24
METH__GCOM1,24,0,0.24
TPM__BTC,24,1,0.24
METH__ARHGAP8,24,1,0.24
