feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
CNV__FOXA1,100,50,1.0,0.019999999552965164,0.22,0.2,True,1.0
METH__CCM2,100,50,1.0,0.05999999865889549,0.22,0.21,True,1.0
CNV__NFKBIA,99,49,0.99,0.019999999552965164,0.23,0.19,True,1.0
CNV__NKX2-1,96,46,0.96,0.009999999776482582,0.22,0.19,True,0.832
MUT__TP53,95,45,0.95,0.0,0.07,0.21,True,0.458
CNV__AKT1,95,45,0.95,0.019999999552965164,0.18,0.2,True,0.458
CNV__DICER1,95,45,0.95,0.019999999552965164,0.19,0.21,True,0.458
CNV__SS18L1,94,44,0.94,0.019999999552965164,0.18,0.2,True,0.181
CNV__TRAF3,93,43,0.93,0.019999999552965164,0.18,0.2,True,0.053
METH__DSTN,92,42,0.92,0.03999999910593033,-0.18,0.21,False,0.013
CNV__TCL1A,90,40,0.9,0.019999999552965164,0.19,0.21,False,0.0
CNV__HSP90AA1,90,40,0.9,0.019999999552965164,0.19,0.21,False,0.0
CNV__GOLGA5,89,39,0.89,0.019999999552965164,0.18,0.21,False,0.0
CNV__IRF4,88,39,0.88,0.009999999776482582,0.1,0.21,False,0.0
CNV__PTK6,88,38,0.88,0.019999999552965164,0.17,0.21,False,0.0
CNV__DDX6,88,38,0.88,0.019999999552965164,0.18,0.19,False,0.0
METH__PAAF1,87,37,0.87,0.009999999776482582,0.1,0.2,False,0.0
CNV__BCL9L,86,36,0.86,0.019999999552965164,0.2,0.2,False,0.0
CNV__BCL11B,85,35,0.85,0.019999999552965164,0.19,0.21,False,0.0
METH__PRRG4,84,34,0.84,0.019999999552965164,-0.12,0.22,False,0.0
CNV__DEK,81,32,0.81,0.019999999552965164,0.13,0.22,False,0.0
CNV__KCNJ5,79,29,0.79,0.019999999552965164,0.18,0.19,False,0.0
CNV__CBL,79,29,0.79,0.029999999329447746,0.19,0.2,False,0.0
CNV__FANCG,78,31,0.78,0.009999999776482582,0.13,0.18,False,0.0
CNV__H3C2,78,28,0.78,0.019999999552965164,0.13,0.22,False,0.0
METH__CENPP,76,26,0.76,0.0,0.06,0.21,False,0.0
CNV__FBLN1,75,26,0.75,0.009999999776482582,0.08,0.21,False,0.0
CNV__TBL1XR1,75,26,0.75,0.009999999776482582,0.11,0.2,False,0.0
CNV__FOXA2,74,26,0.74,0.019999999552965164,0.12,0.22,False,0.0
METH__TOP2A,72,23,0.72,0.019999999552965164,-0.13,0.24,False,0.0
METH__MAST2,71,24,0.71,0.0,-0.06,0.2,False,0.0
CNV__H4C9,70,23,0.7,0.009999999776482582,0.13,0.22,False,0.0
METH__SAR1B,70,21,0.7,0.0,0.04,0.22,False,0.0
METH__HINFP,69,23,0.69,0.009999999776482582,-0.08,0.25,False,0.0
METH__LRBA,69,22,0.69,0.0,-0.02,0.21,False,0.0
CNV__NPEPPS,68,21,0.68,0.009999999776482582,0.09,0.2,False,0.0
CNV__EPHA3,66,16,0.66,0.009999999776482582,0.11,0.2,False,0.0
METH__E4F1,64,17,0.64,0.0,-0.01,0.2,False,0.0
METH__AMIGO1,64,17,0.64,0.009999999776482582,-0.1,0.22,False,0.0
CNV__RAD51C,63,18,0.63,0.019999999552965164,0.15,0.21,False,0.0
CNV__BRIP1,62,18,0.62,0.019999999552965164,0.14,0.2,False,0.0
CNV__SPOP,62,17,0.62,0.029999999329447746,0.15,0.21,False,0.0
CNV__RSPO3,62,15,0.62,0.0,0.07,0.2,False,0.0
CNV__CASP8,62,16,0.62,0.029999999329447746,0.19,0.2,False,0.0
CNV__PPM1D,60,14,0.6,0.03999999910593033,0.16,0.21,False,0.0
CNV__TFG,59,14,0.59,0.019999999552965164,0.14,0.21,False,0.0
METH__ZBTB7A,58,13,0.58,0.0,0.09,0.22,False,0.0
METH__PRDM4,57,12,0.57,0.019999999552965164,-0.07,0.19,False,0.0
METH__PPP1R12B,57,12,0.57,0.009999999776482582,0.05,0.21,False,0.0
CNV__RET,56,14,0.56,0.0,0.08,0.2,False,0.0
CNV__ABI1,55,16,0.55,0.0,0.08,0.18,False,0.0
CNV__FLT4,55,13,0.55,0.019999999552965164,0.16,0.2,False,0.0
METH__LYSMD3,55,11,0.55,0.009999999776482582,-0.11,0.22,False,0.0
CNV__RNF43,55,16,0.55,0.019999999552965164,0.15,0.21,False,0.0
METH__RPL38,55,13,0.55,0.0,-0.07,0.19,False,0.0
METH__UBP1,55,10,0.55,0.009999999776482582,-0.13,0.23,False,0.0
CNV__IL6ST,54,13,0.54,0.009999999776482582,0.12,0.18,False,0.0
METH__PARS2,53,12,0.53,0.0,-0.07,0.21,False,0.0
METH__ZNF226,52,9,0.52,0.009999999776482582,-0.13,0.21,False,0.002
METH__FGFR1OP,52,8,0.52,0.009999999776482582,-0.12,0.22,False,0.013
CNV__FSTL3,52,13,0.52,0.0,0.06,0.23,False,0.0
CNV__MN1,51,15,0.51,0.0,0.08,0.2,False,0.0
CNV__KMT2B,51,12,0.51,0.009999999776482582,0.11,0.21,False,0.0
CNV__MSI2,51,10,0.51,0.019999999552965164,0.15,0.23,False,0.0
METH__EFCAB7,50,10,0.5,0.0,0.06,0.21,False,0.0
CNV__CLTC,50,13,0.5,0.019999999552965164,0.15,0.2,False,0.0
CNV__TFEB,50,9,0.5,0.009999999776482582,0.14,0.21,False,0.002
METH__EFCAB5,50,10,0.5,0.0,-0.03,0.22,False,0.0
METH__CETN3,48,7,0.48,0.009999999776482582,-0.14,0.19,True,0.053
METH__SRD5A3,48,7,0.48,0.0,-0.08,0.22,True,0.053
METH__ELMO2,48,9,0.48,0.009999999776482582,-0.09,0.22,False,0.002
METH__LOC286016,47,12,0.47,0.0,0.02,0.22,False,0.0
CNV__CCND3,47,9,0.47,0.009999999776482582,0.14,0.21,False,0.002
METH__HPS6,46,9,0.46,0.009999999776482582,0.09,0.23,False,0.002
CNV__MRTFA,45,6,0.45,0.0,0.08,0.22,True,0.181
METH__DMXL2,45,8,0.45,0.019999999552965164,-0.11,0.2,False,0.013
METH__PREB,45,8,0.45,0.0,-0.03,0.22,False,0.013
CNV__SF3B1,44,11,0.44,0.019999999552965164,0.18,0.19,False,0.0
METH__WBSCR22,44,8,0.44,0.019999999552965164,-0.11,0.21,False,0.013
METH__SDF2L1,44,8,0.44,0.019999999552965164,-0.12,0.22,False,0.013
METH__ZNF509,44,11,0.44,0.0,0.02,0.22,False,0.0
CNV__GNA13,44,9,0.44,0.019999999552965164,0.14,0.2,False,0.002
METH__RFC2,43,4,0.43,0.029999999329447746,-0.12,0.23,True,0.832
METH__TMEM20,43,5,0.43,0.009999999776482582,-0.11,0.21,True,0.458
CNV__DCTN1,43,7,0.43,0.019999999552965164,0.16,0.2,True,0.053
METH__PTGES3,43,6,0.43,0.009999999776482582,-0.07,0.21,True,0.181
CNV__TMEM127,42,9,0.42,0.009999999776482582,0.16,0.21,False,0.002
CNV__NFKBIE,42,5,0.42,0.009999999776482582,0.14,0.21,True,0.458
METH__GLI1,42,6,0.42,0.0,0.06,0.2,True,0.181
CNV__EP300,41,8,0.41,0.0,0.08,0.23,False,0.013
CNV__HLF,41,9,0.41,0.009999999776482582,0.13,0.23,False,0.002
CNV__POLH,41,7,0.41,0.009999999776482582,0.14,0.21,True,0.053
METH__C2orf34,41,9,0.41,0.009999999776482582,-0.12,0.21,False,0.002
METH__PPAPDC1B,41,6,0.41,0.009999999776482582,-0.1,0.22,True,0.181
METH__KIAA0564,41,9,0.41,0.0,-0.05,0.21,False,0.002
METH__RNU12,41,5,0.41,0.0,0.06,0.19,True,0.458
METH__SLC25A40,41,6,0.41,0.009999999776482582,-0.11,0.21,True,0.181
METH__CHIC2,40,9,0.4,0.009999999776482582,-0.1,0.21,False,0.002
METH__YIPF3,40,6,0.4,0.0,0.08,0.21,True,0.181
METH__SYCP3,39,5,0.39,0.0,0.03,0.21,True,0.458
CNV__CD74,39,5,0.39,0.019999999552965164,0.15,0.21,True,0.458
METH__PHRF1,39,3,0.39,0.019999999552965164,-0.11,0.24,True,0.992
METH__MIR181B2,38,6,0.38,0.0,0.01,0.2,True,0.181
CNV__CANT1,38,8,0.38,0.019999999552965164,0.12,0.2,False,0.013
CNV__HSP90AB1,38,6,0.38,0.009999999776482582,0.14,0.2,True,0.181
CNV__RASA1,37,3,0.37,0.009999999776482582,0.12,0.2,True,0.992
METH__C1orf128,37,4,0.37,0.009999999776482582,-0.15,0.23,True,0.832
CNV__REL,37,6,0.37,0.009999999776482582,0.14,0.19,True,0.181
METH__RNF31,36,4,0.36,0.0,-0.03,0.21,True,0.832
METH__POP4,36,5,0.36,0.0,-0.03,0.18,True,0.458
METH__HMGCR,36,3,0.36,0.019999999552965164,-0.14,0.21,True,0.992
METH__MRPS12,35,5,0.35,0.0,0.01,0.22,True,0.458
CNV__PIK3CB,35,3,0.35,0.009999999776482582,0.15,0.21,True,0.992
METH__C12orf73,35,6,0.35,0.0,-0.05,0.21,True,0.181
CNV__EBF1,34,4,0.34,0.019999999552965164,0.16,0.2,True,0.832
METH__LOC100129716,34,4,0.34,0.009999999776482582,-0.12,0.2,True,0.832
CNV__PCBP1,34,6,0.34,0.019999999552965164,0.16,0.19,True,0.181
CNV__SGK1,34,5,0.34,0.0,0.07,0.22,True,0.458
METH__RNF10,33,4,0.33,0.0,-0.01,0.22,True,0.832
CNV__RASA2,33,5,0.33,0.019999999552965164,0.15,0.21,True,0.458
CNV__RHPN2,33,5,0.33,0.009999999776482582,0.11,0.2,True,0.458
METH__WRNIP1,33,5,0.33,0.009999999776482582,-0.09,0.22,True,0.458
METH__RNF5,33,4,0.33,0.0,-0.08,0.21,True,0.832
CNV__KDM3B,32,6,0.32,0.009999999776482582,0.14,0.2,True,0.181
CNV__AXIN2,32,6,0.32,0.019999999552965164,0.13,0.2,True,0.181
METH__C3orf58,32,2,0.32,0.0,0.02,0.2,True,1.0
CNV__WDCP,32,4,0.32,0.009999999776482582,0.13,0.19,True,0.832
CNV__RUNX1,31,2,0.31,0.009999999776482582,0.08,0.2,True,1.0
METH__LOC728190,31,1,0.31,0.009999999776482582,-0.07,0.21,True,1.0
METH__DSN1,31,5,0.31,0.019999999552965164,-0.13,0.19,True,0.458
METH__RPS25,31,1,0.31,0.0,-0.0,0.27,True,1.0
CNV__FIP1L1,30,3,0.3,0.0,0.07,0.18,True,0.992
CNV__ERG,30,6,0.3,0.0,0.08,0.21,True,0.181
METH__ATP1B3,30,4,0.3,0.009999999776482582,-0.08,0.22,True,0.832
METH__SLC7A6,30,3,0.3,0.0,0.07,0.23,True,0.992
METH__MIR181A2,29,4,0.29,0.0,0.01,0.2,True,0.832
METH__C7orf70,28,3,0.28,0.009999999776482582,0.07,0.21,True,0.992
METH__AP2M1,28,3,0.28,0.0,0.05,0.22,True,0.992
CNV__NUTM1,28,2,0.28,0.009999999776482582,0.07,0.17,True,1.0
METH__TRIM28,27,0,0.27,0.009999999776482582,-0.07,0.21,False,
METH__C15orf24,27,0,0.27,0.0,-0.01,0.2,False,
METH__ARRDC3,26,1,0.26,0.009999999776482582,-0.12,0.2,True,1.0
METH__ACAP3,26,1,0.26,0.009999999776482582,-0.06,0.22,True,1.0
CNV__CHD2,26,3,0.26,0.009999999776482582,0.12,0.2,True,0.992
METH__POLR3F,26,3,0.26,0.009999999776482582,-0.07,0.2,True,0.992
METH__RPRD1A,26,0,0.26,0.0,0.03,0.26,False,
METH__RG9MTD3,26,3,0.26,0.0,0.01,0.24,True,0.992
METH__SNX16,25,1,0.25,0.0,0.05,0.22,True,1.0
METH__FEM1A,25,2,0.25,0.0,-0.03,0.21,True,1.0
CNV__SMARCE1,25,6,0.25,0.0,0.09,0.2,True,0.181
METH__CCDC79,25,2,0.25,0.0,0.08,0.25,True,1.0
METH__AP3M1,24,0,0.24,0.0,-0.02,0.22,False,
METH__PUSL1,24,2,0.24,0.009999999776482582,-0.06,0.22,True,1.0
CNV__RAD51D,24,4,0.24,0.009999999776482582,0.1,0.19,True,0.832
CNV__AFF4,24,3,0.24,0.009999999776482582,0.13,0.2,True,0.992
METH__GPN3,24,2,0.24,0.0,0.08,0.22,True,1.0
METH__AGPHD1,24,3,0.24,0.019999999552965164,-0.13,0.23,True,0.992
METH__POFUT1,24,2,0.24,0.0,0.04,0.19,True,1.0
METH__MAFF,23,1,0.23,0.009999999776482582,-0.06,0.22,True,1.0
METH__ARF6,23,2,0.23,0.0,0.07,0.27,True,1.0
CNV__SUZ12,23,1,0.23,0.009999999776482582,0.09,0.21,True,1.0
METH__NAPB,22,3,0.22,0.009999999776482582,-0.07,0.22,True,0.992
METH__LMBRD2,22,0,0.22,0.0,0.01,0.2,False,
METH__ZMYND17,21,1,0.21,0.0,0.02,0.22,True,1.0
CNV__MCM3AP,21,2,0.21,0.009999999776482582,0.09,0.24,True,1.0
