feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
CNV__ZNF780A,100,50,1.0,0.019999999552965164,0.18,0.23,True,1.0,unimodal,0.71,True
CNV__CPEB3,100,50,1.0,0.029999999329447746,0.18,0.24,True,1.0,unimodal,0.71,True
CNV__KAT6B,100,50,1.0,0.05000000074505806,0.23,0.23,True,1.0,unimodal,0.71,True
CNV__NFATC2,100,50,1.0,0.10000000149011612,0.33,0.24,True,1.0,unimodal,0.71,True
CNV__SUFU,100,50,1.0,0.029999999329447746,0.19,0.24,True,1.0,unimodal,0.71,True
CNV__TCF7L2,100,50,1.0,0.029999999329447746,0.18,0.24,True,1.0,unimodal,0.71,True
CNV__FAS,100,50,1.0,0.029999999329447746,0.18,0.24,True,1.0,unimodal,0.71,True
TPM__PDE1B,100,50,1.0,0.20000000298023224,-0.38,0.24,True,1.0,unimodal,0.71,True
CNV__RAP1GDS1,100,50,1.0,0.009999999776482582,0.09,0.23,True,1.0,unimodal,0.71,True
CNV__NT5C2,100,50,1.0,0.029999999329447746,0.19,0.24,True,1.0,unimodal,0.71,True
CNV__TET1,100,50,1.0,0.03999999910593033,0.22,0.23,True,1.0,unimodal,0.71,True
CNV__BMPR1A,100,50,1.0,0.029999999329447746,0.2,0.24,True,1.0,unimodal,0.71,True
TPM__IKZF1,100,50,1.0,0.20000000298023224,-0.33,0.26,True,1.0,unimodal,0.71,True
TPM__TM4SF1-AS1,100,50,1.0,0.10999999940395355,0.45,0.26,True,1.0,unimodal,0.71,True
MUT__ACVR2A,100,50,1.0,0.0,-0.0,0.25,True,1.0,unimodal,0.71,True
CNV__LDB1,100,50,1.0,0.029999999329447746,0.18,0.24,True,1.0,unimodal,0.71,True
CNV__NFKB2,100,50,1.0,0.029999999329447746,0.19,0.24,True,1.0,unimodal,0.71,True
CNV__PRF1,100,50,1.0,0.03999999910593033,0.22,0.25,True,1.0,unimodal,0.71,True
CNV__TLX1,100,50,1.0,0.029999999329447746,0.18,0.23,True,1.0,unimodal,0.71,True
CNV__CYP2C8,100,50,1.0,0.029999999329447746,0.18,0.24,True,1.0,unimodal,0.71,True
METH__DSTN,100,50,1.0,0.15000000596046448,-0.37,0.25,True,1.0,unimodal,0.71,True
MUT__KRAS,100,50,1.0,0.019999999552965164,0.16,0.25,True,1.0,unimodal,0.71,True
MUT__KMT2B,97,47,0.97,0.0,0.05,0.24,True,0.992,unimodal,0.71,True
MUT__FAT4,97,47,0.97,0.0,0.04,0.25,True,0.992,unimodal,0.71,True
MUT__MSH6,97,47,0.97,0.0,-0.02,0.25,True,0.992,unimodal,0.71,True
MUT__BCORL1,96,46,0.96,0.0,-0.03,0.24,True,0.832,unimodal,0.71,True
MUT__NIPBL,96,46,0.96,0.0,-0.01,0.24,True,0.832,unimodal,0.71,True
MUT__MLH1,95,45,0.95,0.0,-0.02,0.24,True,0.458,unimodal,0.71,True
MUT__HSPG2,95,45,0.95,0.0,0.01,0.23,True,0.458,unimodal,0.71,True
MUT__BRCA2,94,44,0.94,0.0,0.01,0.24,True,0.181,unimodal,0.71,True
MUT__CASP8,93,43,0.93,0.0,-0.07,0.25,True,0.053,unimodal,0.71,True
MUT__UBR5,92,42,0.92,0.0,-0.01,0.23,False,0.013,worst_case,0.8902439024390244,True
MUT__RNF43,92,42,0.92,0.009999999776482582,0.07,0.24,False,0.013,worst_case,0.8902439024390244,True
MUT__STAG2,91,41,0.91,0.029999999329447746,-0.12,0.25,False,0.002,worst_case,0.8902439024390244,True
MUT__ARID1B,90,40,0.9,0.0,0.03,0.23,False,0.0,worst_case,0.8902439024390244,True
MUT__BIRC6,90,40,0.9,0.0,-0.0,0.24,False,0.0,worst_case,0.8902439024390244,True
