feature,Selection count,Pair count,CPSS Score
METH__MIR574,100,50,1.0
METH__S100A2,100,50,1.0
TPM__PIK3CG,100,50,1.0
TPM__MIR142HG,100,50,1.0
TPM__ABCC3,100,50,1.0
METH__FAM114A1,100,50,1.0
METH__PTPN14,100,50,1.0
METH__CCM2,100,50,1.0
TPM__GPRC5A,100,50,1.0
TPM__MYOF,100,50,1.0
METH__SNORD125,100,50,1.0
TPM__PSG5,100,50,1.0
TPM__NIBAN2,100,50,1.0
TPM__SH3TC2-DT,100,50,1.0
METH__DSTN,100,50,1.0
TPM__NCKAP1,100,50,1.0
TPM__PLA2R1,100,50,1.0
METH__ZNF697,100,50,1.0
TPM__NCKAP1L,100,50,1.0
TPM__CCL26,100,50,1.0
TPM__PDE1B,100,50,1.0
METH__C9orf150,100,50,1.0
TPM__IFNWP19,99,49,0.99
METH__NRP1,99,49,0.99
METH__GPX4,97,47,0.97
METH__TOP2A,94,44,0.94
METH__ANXA4,94,44,0.94
METH__PPIC,93,44,0.93
METH__C1orf100,91,41,0.91
METH__SPAG9,91,41,0.91
METH__C6orf217,90,40,0.9
METH__ITGB8,90,41,0.9
TPM__RPL29P19,90,42,0.9
METH__DGCR6,87,37,0.87
METH__AP1B1,84,34,0.84
METH__LAPTM4A,84,35,0.84
METH__C7orf70,83,34,0.83
METH__ABCD3,82,33,0.82
METH__ATP6V1D,82,33,0.82
METH__ZNF226,81,33,0.81
METH__LCA5,81,31,0.81
METH__SNRPA1,80,30,0.8
METH__RAPH1,79,29,0.79
METH__SNX3,79,29,0.79
METH__BIRC5,78,28,0.78
CNV__ASXL1,78,28,0.78
METH__ARHGEF10,76,28,0.76
METH__LRRC28,75,28,0.75
METH__AHI1,70,23,0.7
METH__SLC1A1,67,20,0.67
CNV__EFTUD2,65,17,0.65
METH__PCCA,64,19,0.64
METH__IQCB1,63,18,0.63
CNV__NDRG1,60,17,0.6
METH__ARHGAP5,59,14,0.59
METH__GIT2,58,11,0.58
