feature,Selection count,Pair count,CPSS Score
TPM__GIMAP2,100,50,1.0
TPM__RPL3,96,46,0.96
TPM__KLRG1,90,40,0.9
TPM__ZCCHC3,88,38,0.88
TPM__ZBED4,88,38,0.88
METH__OGFR,87,37,0.87
TPM__CTSA,86,36,0.86
TPM__SLC2A8,81,31,0.81
TPM__APLP2,80,30,0.8
TPM__DST,80,30,0.8
TPM__SEC31B,79,29,0.79
TPM__ENC1,79,29,0.79
TPM__PSORS1C1,77,27,0.77
TPM__RASSF7,75,25,0.75
TPM__SOX13,74,24,0.74
TPM__TACC2,74,24,0.74
TPM__HDAC11,73,24,0.73
TPM__AOPEP,73,23,0.73
TPM__PDGFB,69,19,0.69
TPM__SNX21,69,20,0.69
TPM__CTSD,67,17,0.67
TPM__DCK,66,16,0.66
TPM__CETN2,66,16,0.66
METH__FUCA2,65,16,0.65
METH__MGAT1,65,16,0.65
TPM__KIF21B,65,15,0.65
TPM__EPB41L1,61,11,0.61
METH__C7orf23,59,12,0.59
METH__C1orf55,59,12,0.59
METH__ITPRIPL1,59,9,0.59
TPM__MAP4K1,55,9,0.55
TPM__NPTN,55,9,0.55
TPM__PIKFYVE,54,7,0.54
TPM__ANKLE1,54,5,0.54
TPM__PDCD6IP-DT,52,3,0.52
TPM__ID1,52,5,0.52
METH__JUB,51,5,0.51
TPM__GPR39,50,4,0.5
TPM__ARHGAP30,50,5,0.5
TPM__CAPN2,49,2,0.49
TPM__TUFT1,49,3,0.49
TPM__MRPS18AP1,49,3,0.49
METH__BCL9L,48,3,0.48
TPM__TMEM131L,48,7,0.48
METH__CDKN2D,47,2,0.47
METH__ERBB2,46,2,0.46
TPM__PHLDB1,46,4,0.46
METH__MTMR11,45,4,0.45
TPM__RPL10A,45,3,0.45
TPM__MYO5B,44,2,0.44
METH__CDH1,44,2,0.44
TPM__SH3BP4,44,0,0.44
TPM__S100A16,44,4,0.44
METH__BOK,43,2,0.43
TPM__DDAH1,43,4,0.43
TPM__ARHGAP29,42,0,0.42
METH__SYTL4,41,0,0.41
TPM__ADAM9,41,1,0.41
METH__CCDC88B,41,1,0.41
TPM__GPRC5A,41,2,0.41
TPM__ITPRIPL1,40,1,0.4
TPM__SEPTIN6,39,0,0.39
METH__KRI1,39,3,0.39
TPM__S100A13,39,0,0.39
METH__UGGT2,37,0,0.37
METH__HCST,37,3,0.37
TPM__SLC35D2,36,0,0.36
TPM__PARVG,36,5,0.36
METH__ABHD10,35,2,0.35
TPM__ARHGAP19,35,0,0.35
TPM__CTNND1,35,0,0.35
TPM__FAM177A1,34,1,0.34
TPM__PLS3,34,0,0.34
TPM__LRRC8E,33,0,0.33
METH__HLCS,33,1,0.33
METH__PTP4A1,33,2,0.33
TPM__RNASEH2B,33,0,0.33
TPM__KIF3B,33,0,0.33
METH__MARVELD2,33,0,0.33
METH__C4orf38,32,1,0.32
TPM__SETDB2,32,1,0.32
METH__WWC2,32,1,0.32
METH__IMPAD1,32,1,0.32
METH__LOC144571,32,0,0.32
TPM__GPC1,32,1,0.32
TPM__SHISA4,32,0,0.32
TPM__IQCJ-SCHIP1,30,1,0.3
TPM__SH2D3C,30,1,0.3
TPM__FAM78A,29,0,0.29
TPM__BAIAP2,29,0,0.29
TPM__RFXAP,29,0,0.29
TPM__ANXA2P2,28,0,0.28
TPM__CD72,28,0,0.28
METH__NUP43,28,0,0.28
TPM__PLAAT3,28,1,0.28
METH__ZNF579,28,3,0.28
TPM__PERP,27,0,0.27
TPM__LINC00539,27,2,0.27
TPM__HSPA1B,27,0,0.27
TPM__RPL34,27,0,0.27
METH__MORN4,27,1,0.27
METH__NFIB,27,0,0.27
METH__VTRNA1-2,26,1,0.26
TPM__IL17RC,26,0,0.26
TPM__PLK2,26,1,0.26
TPM__EPHA2,26,1,0.26
METH__FBXL2,26,0,0.26
METH__NLRC3,26,0,0.26
TPM__TRG-AS1,25,0,0.25
METH__ITGB8,25,0,0.25
TPM__CUEDC1,25,0,0.25
TPM__BCAR3,25,0,0.25
METH__TMEM149,25,0,0.25
METH__RUFY1,25,0,0.25
METH__POLD3,25,0,0.25
TPM__NIBAN2,25,0,0.25
TPM__KDELR3,24,0,0.24
TPM__PVR,24,0,0.24
TPM__ADA2,24,7,0.24
TPM__CTTN,24,0,0.24
TPM__WFS1,24,1,0.24
TPM__CARD10,24,0,0.24
METH__XKR9,24,0,0.24
TPM__RPS3A,24,0,0.24
TPM__NRROS,24,1,0.24
TPM__FERMT3,24,0,0.24
METH__PLSCR4,24,0,0.24
TPM__RIN2,23,1,0.23
TPM__KRT80,23,0,0.23
TPM__SPR,22,0,0.22
METH__LOC148709,22,3,0.22
METH__SCARF1,22,6,0.22
METH__MLL2,21,2,0.21
TPM__PLEC,21,0,0.21
METH__EVL,21,0,0.21
TPM__IL2RG,20,0,0.2
TPM__EGFR,20,0,0.2
METH__RHEB,20,9,0.2
METH__SEMA3C,19,0,0.19
TPM__LAPTM5,19,1,0.19
METH__NEIL2,19,0,0.19
TPM__EPS8,19,1,0.19
METH__GALNT11,19,0,0.19
TPM__PTPRF,18,0,0.18
METH__TBC1D10C,18,0,0.18
TPM__MGAT4B,18,0,0.18
METH__C5orf43,18,1,0.18
TPM__TBC1D10C,18,0,0.18
TPM__NQO1,18,0,0.18
METH__TEAD1,18,0,0.18
TPM__SUMF1,18,5,0.18
TPM__AGAP2,18,1,0.18
TPM__PPP1R14B-AS1,18,0,0.18
TPM__WWC1,18,2,0.18
METH__YOD1,18,1,0.18
METH__PLEKHA1,18,0,0.18
METH__SHC2,17,2,0.17
TPM__SERINC2,17,2,0.17
METH__TNK1,17,0,0.17
METH__MIR1469,17,0,0.17
TPM__BCAM,17,0,0.17
TPM__ARHGAP9,17,0,0.17
TPM__TLCD1,17,1,0.17
TPM__LIMD2,16,1,0.16
TPM__AK1,16,1,0.16
METH__CD1C,16,0,0.16
TPM__ARHGEF6,16,0,0.16
TPM__EIF3L,16,0,0.16
TPM__BCL2,16,4,0.16
TPM__TMEM51,16,1,0.16
METH__PKP2,16,0,0.16
TPM__EPHX1,16,4,0.16
METH__MYO1G,15,0,0.15
TPM__PLPP2,15,6,0.15
TPM__GRAMD2B,15,2,0.15
TPM__LAMA5,15,0,0.15
TPM__PTGR1,14,3,0.14
TPM__SLC49A4,14,0,0.14
METH__SIX4,14,2,0.14
TPM__P4HA2,14,2,0.14
TPM__ARHGEF28,14,0,0.14
METH__KCNK1,14,0,0.14
TPM__TM4SF1,14,2,0.14
TPM__ZCCHC7,13,0,0.13
METH__CAP2,13,0,0.13
METH__MIR142,13,0,0.13
METH__SLC35B3,13,1,0.13
TPM__CTNNA1,13,4,0.13
TPM__TOP2B,13,5,0.13
TPM__PXDC1,13,0,0.13
TPM__SH2D4A,13,3,0.13
TPM__SH3D19,13,0,0.13
METH__LYPD6,13,0,0.13
TPM__AKNA,13,2,0.13
TPM__IL13RA1,13,2,0.13
TPM__ATP1B1,13,4,0.13
TPM__CD38,12,0,0.12
TPM__TNKS1BP1,12,0,0.12
METH__HS6ST3,12,0,0.12
METH__ADAMTS9,12,2,0.12
TPM__TSPAN6,12,2,0.12
TPM__NCKAP1,12,0,0.12
TPM__CD276,12,0,0.12
METH__CASZ1,12,0,0.12
TPM__FKBP9,11,0,0.11
TPM__PPP2R3A,11,2,0.11
TPM__BAIAP2L1,11,2,0.11
METH__C9orf150,11,1,0.11
TPM__SDC1,11,1,0.11
TPM__CARD8-AS1,11,0,0.11
METH__NCRNA00111,11,0,0.11
TPM__CYB561,11,0,0.11
METH__SYDE1,11,3,0.11
METH__KITLG,11,0,0.11
METH__LOC100188949,11,0,0.11
TPM__ITGB5,11,1,0.11
TPM__CORO1A,11,1,0.11
TPM__PPL,10,0,0.1
TPM__MICALL2,10,3,0.1
TPM__GPSM3,10,3,0.1
TPM__CD79A,10,1,0.1
TPM__TMEM54,10,0,0.1
TPM__GIPC1,10,0,0.1
METH__PIK3CG,10,1,0.1
METH__PROCA1,10,2,0.1
METH__NPAS2,10,0,0.1
TPM__ASAP2,10,1,0.1
METH__PFKFB2,10,0,0.1
TPM__RASAL2,10,0,0.1
TPM__LMNA,10,0,0.1
TPM__TSPOAP1-AS1,10,0,0.1
TPM__PRKCB,10,1,0.1
TPM__PTPN21,10,2,0.1
METH__TERF1,10,2,0.1
METH__ARSJ,9,1,0.09
METH__HOOK1,9,2,0.09
TPM__TNFRSF12A,9,0,0.09
TPM__SHB,9,3,0.09
TPM__SDC4,9,0,0.09
TPM__RND3,9,3,0.09
METH__EXOC6B,9,1,0.09
METH__C13orf29,9,0,0.09
TPM__RPS8,9,1,0.09
METH__INADL,9,1,0.09
TPM__PTPRCAP,9,1,0.09
TPM__CLDN4,9,3,0.09
TPM__DAG1,9,0,0.09
TPM__THBS1,9,3,0.09
TPM__IRAG2,9,1,0.09
TPM__IL16,9,0,0.09
TPM__AGRN,9,1,0.09
TPM__LAPTM4A,9,1,0.09
METH__OSBPL1A,9,1,0.09
TPM__CDR2L,9,0,0.09
METH__BIN2,9,0,0.09
TPM__TOM1L1,9,0,0.09
METH__THBS1,9,1,0.09
TPM__RHPN2,8,1,0.08
METH__PER3,8,1,0.08
TPM__SGMS2,8,2,0.08
METH__RASAL2,8,0,0.08
METH__WDR35,8,0,0.08
TPM__ANXA2,8,0,0.08
METH__TJP1,8,0,0.08
TPM__ASPH,8,0,0.08
TPM__RHOH,8,1,0.08
METH__DDAH1,8,0,0.08
METH__C6orf41,8,0,0.08
TPM__PTPRC,8,0,0.08
TPM__PRSS23,8,1,0.08
METH__FAM129C,8,2,0.08
TPM__SPATS2L,8,1,0.08
TPM__ELMO1,8,2,0.08
TPM__BCAR1,7,1,0.07
TPM__NTN4,7,1,0.07
TPM__MET,7,1,0.07
METH__ITPRIPL2,7,1,0.07
TPM__PPIC,7,0,0.07
METH__CADPS2,7,2,0.07
METH__GAS2L3,7,0,0.07
METH__CCM2,7,0,0.07
METH__FAM47E,7,1,0.07
TPM__HVCN1,7,1,0.07
TPM__SSH3,7,2,0.07
METH__NR2F2,7,0,0.07
TPM__SHTN1,6,2,0.06
TPM__CEP170B,6,0,0.06
TPM__IKZF1,6,0,0.06
METH__TBC1D12,6,0,0.06
METH__LAMB1,6,1,0.06
TPM__NOP53,6,0,0.06
TPM__FLI1,6,2,0.06
METH__MIR574,6,1,0.06
METH__COBL,6,1,0.06
METH__BZRAP1,6,0,0.06
METH__WDR93,6,1,0.06
METH__SASH1,6,0,0.06
METH__EIF3K,6,1,0.06
METH__GPR125,6,0,0.06
METH__MIPOL1,6,1,0.06
TPM__GMFG,5,1,0.05
METH__P4HA2,5,1,0.05
TPM__TEAD1,5,1,0.05
TPM__WAS,5,0,0.05
TPM__PIK3CG,5,0,0.05
METH__RINL,5,0,0.05
TPM__TPM1,5,0,0.05
TPM__PDE1B,5,0,0.05
METH__GULP1,5,0,0.05
METH__SEPT10,5,0,0.05
METH__LGR4,5,0,0.05
METH__RHOH,5,0,0.05
TPM__IL12RB1,5,1,0.05
METH__PCDP1,5,0,0.05
METH__SSH3,4,1,0.04
TPM__MYOF,4,0,0.04
TPM__SEPTIN10,4,0,0.04
METH__OSM,4,0,0.04
TPM__RASGRP2,4,0,0.04
TPM__AMOTL2,4,0,0.04
METH__ZFP112,4,1,0.04
TPM__MANBAL,4,0,0.04
TPM__AHNAK,4,1,0.04
METH__SPIRE2,4,0,0.04
TPM__MYB,4,1,0.04
METH__PTPRCAP,4,0,0.04
