feature,Selection count,Pair count,CPSS Score
TPM__BOD1,97,47,0.97
TPM__SLC2A8,89,39,0.89
TPM__MIR3936HG,88,38,0.88
TPM__MAD1L1,85,35,0.85
TPM__SH2B3,83,33,0.83
TPM__PRKCI,82,32,0.82
TPM__WNT9A,82,32,0.82
METH__C19orf18,81,31,0.81
METH__DYRK1A,80,30,0.8
METH__MYST2,80,30,0.8
TPM__ACP5,73,23,0.73
METH__DCAKD,72,22,0.72
METH__APOLD1,72,22,0.72
METH__FGFBP2,71,22,0.71
TPM__BCL2A1,70,20,0.7
TPM__NRROS,70,20,0.7
TPM__C1orf226,70,20,0.7
METH__LOX,68,18,0.68
TPM__PDCD6IP-DT,65,16,0.65
METH__MIR1252,64,15,0.64
METH__PRTFDC1,64,15,0.64
METH__PRR15,63,15,0.63
METH__RAB4B,62,13,0.62
METH__MLANA,60,12,0.6
TPM__SDC1,59,10,0.59
TPM__TBC1D7,58,8,0.58
TPM__MIR3142HG,58,10,0.58
TPM__FCGR2A,57,9,0.57
TPM__HSPA1B,57,9,0.57
TPM__AKTIP,57,9,0.57
METH__RAB27A,57,8,0.57
METH__C9orf89,55,6,0.55
METH__IP6K3,54,8,0.54
TPM__OCLN,54,6,0.54
TPM__CD24,53,6,0.53
METH__CHST15,53,6,0.53
TPM__FAM78A,53,5,0.53
TPM__RHOD,52,5,0.52
METH__CAPZA3,52,5,0.52
METH__MPZL2,51,5,0.51
TPM__RHBDL2,51,7,0.51
METH__SLA2,51,5,0.51
TPM__TEX41,51,6,0.51
TPM__TGFB2,51,5,0.51
TPM__DSP,50,5,0.5
TPM__CRACDL,49,3,0.49
METH__HDAC4,49,5,0.49
METH__SPRYD5,49,3,0.49
TPM__PALLD,47,2,0.47
TPM__PHACTR1,47,2,0.47
METH__TNFRSF25,47,4,0.47
METH__SNORD105,47,3,0.47
METH__RPS6KA1,46,4,0.46
METH__KRTAP5-1,46,5,0.46
METH__LOC728276,46,4,0.46
METH__BIRC7,46,2,0.46
METH__USP6NL,45,4,0.45
METH__IFFO1,44,4,0.44
TPM__PLXNC1,44,4,0.44
TPM__CDR2L,44,3,0.44
TPM__PLA2G6,44,3,0.44
TPM__TEKTIP1,44,3,0.44
METH__A4GALT,43,3,0.43
TPM__FLNB-AS1,43,2,0.43
TPM__LINC02595,42,4,0.42
METH__C19orf71,42,3,0.42
METH__KIAA1688,41,2,0.41
TPM__HACD2,41,0,0.41
TPM__LPXN,41,3,0.41
TPM__SIPA1L1-AS1,41,0,0.41
METH__LAT,41,2,0.41
TPM__PTPRF,40,3,0.4
METH__SAMD13,40,2,0.4
TPM__ST6GAL1,40,2,0.4
METH__GAL3ST4,39,3,0.39
METH__MIR554,39,2,0.39
METH__MIR155,37,0,0.37
METH__EIF4A1,37,1,0.37
METH__FERMT3,37,1,0.37
TPM__ASB2,37,2,0.37
TPM__MPZ,37,1,0.37
