feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__RASAL2-AS1,99,49,0.99,0.18000000715255737,0.43,0.16,True,1.0
TPM__POLR1H,95,45,0.95,0.12999999523162842,-0.35,0.1,True,0.458
TPM__CTNNAL1,94,44,0.94,0.11999999731779099,0.32,0.09,True,0.181
TPM__CRYZL2P,91,41,0.91,0.11999999731779099,0.37,0.15,False,0.002
TPM__VEPH1,86,36,0.86,0.12999999523162842,0.41,0.16,False,0.0
TPM__ZBED4,81,31,0.81,0.12999999523162842,-0.36,0.13,False,0.0
TPM__PVR,75,25,0.75,0.11999999731779099,0.35,0.05,False,0.0
TPM__ARHGAP19,74,24,0.74,0.14000000059604645,-0.38,0.13,False,0.0
TPM__GPAT3,74,24,0.74,0.14000000059604645,0.38,0.13,False,0.0
TPM__CHMP3,70,20,0.7,0.17000000178813934,0.4,0.11,False,0.0
TPM__FAM114A1,68,19,0.68,0.1599999964237213,0.37,0.11,False,0.0
TPM__KRT80,67,18,0.67,0.12999999523162842,0.37,0.08,False,0.0
TPM__ANKRD1,66,16,0.66,0.12999999523162842,0.41,0.15,False,0.0
TPM__PTGR1,65,16,0.65,0.12999999523162842,0.33,0.09,False,0.0
METH__MGAT1,65,15,0.65,0.15000000596046448,0.33,0.09,False,0.0
TPM__TNS2,64,15,0.64,0.12999999523162842,0.39,0.16,False,0.0
TPM__MLPH,63,14,0.63,0.11999999731779099,0.36,0.04,False,0.0
TPM__CCND1,62,12,0.62,0.15000000596046448,0.33,0.06,False,0.0
TPM__MRPS18AP1,58,10,0.58,0.11999999731779099,-0.29,0.07,False,0.0
TPM__WFS1,57,9,0.57,0.11999999731779099,0.3,0.04,False,0.002
TPM__ENC1,57,9,0.57,0.12999999523162842,0.36,0.1,False,0.002
TPM__SPATS2L,57,8,0.57,0.18000000715255737,0.44,0.16,False,0.013
TPM__ELOVL1,55,10,0.55,0.12999999523162842,0.38,0.2,False,0.0
TPM__PDCD6IP-DT,54,6,0.54,0.12999999523162842,0.37,0.11,True,0.181
TPM__SBDS,54,8,0.54,0.12999999523162842,0.36,0.09,False,0.013
TPM__TRNP1,54,8,0.54,0.14000000059604645,0.37,0.1,False,0.013
TPM__SEMA3C,53,4,0.53,0.12999999523162842,0.34,0.11,True,0.832
TPM__RND3,52,10,0.52,0.12999999523162842,0.35,0.07,False,0.0
METH__ITGB7,51,7,0.51,0.11999999731779099,0.32,0.11,True,0.053
TPM__ARHGAP9,50,4,0.5,0.15000000596046448,-0.32,0.15,True,0.832
TPM__PTTG1IP,49,2,0.49,0.15000000596046448,0.38,0.09,True,1.0
TPM__RTN4,49,4,0.49,0.15000000596046448,0.38,0.1,True,0.832
TPM__EPB41,48,2,0.48,0.12999999523162842,-0.36,0.12,True,1.0
TPM__PXDC1,48,4,0.48,0.12999999523162842,0.34,0.13,True,0.832
TPM__KIF3B,48,2,0.48,0.11999999731779099,0.32,0.07,True,1.0
TPM__GNG10,46,1,0.46,0.11999999731779099,0.32,0.08,True,1.0
METH__ABHD10,45,4,0.45,0.15000000596046448,-0.37,0.16,True,0.832
TPM__KBTBD8,45,4,0.45,0.14000000059604645,-0.33,0.11,True,0.832
TPM__TMEM51,44,3,0.44,0.11999999731779099,0.31,0.1,True,0.992
TPM__SH3BP4,44,2,0.44,0.1599999964237213,0.36,0.19,True,1.0
TPM__ARPC1A,44,5,0.44,0.11999999731779099,0.34,0.07,True,0.458
TPM__CD59,42,3,0.42,0.11999999731779099,0.35,0.05,True,0.992
TPM__CAV2,42,2,0.42,0.12999999523162842,0.35,0.11,True,1.0
TPM__LHFPL2,42,3,0.42,0.11999999731779099,0.32,0.07,True,0.992
TPM__ADAM9,42,2,0.42,0.20000000298023224,0.44,0.09,True,1.0
TPM__TRG-AS1,42,0,0.42,0.12999999523162842,-0.27,0.17,False,
TPM__DSTN,41,2,0.41,0.15000000596046448,0.39,0.1,True,1.0
TPM__KIF21B,41,2,0.41,0.1599999964237213,-0.34,0.11,True,1.0
METH__BTBD16,40,3,0.4,0.11999999731779099,0.34,0.08,True,0.992
TPM__PMEPA1,40,3,0.4,0.12999999523162842,0.37,0.09,True,0.992
TPM__NCEH1,39,2,0.39,0.17000000178813934,0.4,0.1,True,1.0
TPM__CUEDC1,38,0,0.38,0.18000000715255737,0.4,0.12,False,
METH__ANKRD44,38,1,0.38,0.15000000596046448,0.33,0.13,True,1.0
TPM__KDM2B,38,1,0.38,0.12999999523162842,-0.36,0.05,True,1.0
METH__TERF1,38,4,0.38,0.12999999523162842,-0.33,0.12,True,0.832
TPM__PTPN21,37,0,0.37,0.12999999523162842,0.34,0.15,False,
TPM__RBPMS,37,1,0.37,0.12999999523162842,0.36,0.11,True,1.0
TPM__CTNNA1,36,0,0.36,0.11999999731779099,0.36,0.11,False,
TPM__EAF2,36,0,0.36,0.12999999523162842,-0.33,0.12,False,
TPM__SEPTIN10,36,0,0.36,0.12999999523162842,0.3,0.07,False,
METH__LOC148709,35,1,0.35,0.11999999731779099,-0.31,0.13,True,1.0
TPM__PLCD3,35,0,0.35,0.17000000178813934,0.4,0.1,False,
METH__GPX8,35,0,0.35,0.11999999731779099,-0.29,0.12,False,
TPM__S100A6,34,2,0.34,0.11999999731779099,0.38,0.14,True,1.0
TPM__LGALS3,34,1,0.34,0.14000000059604645,0.35,0.18,True,1.0
TPM__IL12RB1,33,1,0.33,0.14000000059604645,-0.21,0.11,True,1.0
TPM__CARD10,32,1,0.32,0.1599999964237213,0.37,0.14,True,1.0
TPM__ALDH3B1,32,0,0.32,0.14000000059604645,0.36,0.08,False,
TPM__ASAP2,31,0,0.31,0.18000000715255737,0.39,0.08,False,
TPM__FCHO2,31,0,0.31,0.12999999523162842,0.31,0.07,False,
METH__COTL1,31,0,0.31,0.12999999523162842,-0.36,0.14,False,
TPM__SRXN1,31,1,0.31,0.11999999731779099,0.34,0.13,True,1.0
METH__GAS2L3,31,0,0.31,0.12999999523162842,-0.33,0.11,False,
TPM__RBM15,30,0,0.3,0.11999999731779099,-0.33,0.1,False,
TPM__CLCF1,30,3,0.3,0.17000000178813934,0.41,0.13,True,0.992
TPM__SQSTM1,29,1,0.29,0.12999999523162842,0.36,0.12,True,1.0
METH__EPHA2,29,2,0.29,0.14000000059604645,-0.36,0.09,True,1.0
TPM__CDC42EP1,29,0,0.29,0.12999999523162842,0.33,0.08,False,
TPM__ITGB5,29,0,0.29,0.17000000178813934,0.39,0.13,False,
TPM__PHLDA1,28,1,0.28,0.12999999523162842,0.36,0.07,True,1.0
TPM__BMS1P23,28,4,0.28,0.11999999731779099,0.35,0.14,True,0.832
TPM__PHLDB1,28,0,0.28,0.17000000178813934,0.38,0.15,False,
TPM__NQO1,28,2,0.28,0.1599999964237213,0.38,0.16,True,1.0
TPM__MET,28,0,0.28,0.20000000298023224,0.44,0.14,False,
TPM__MID1,28,5,0.28,0.11999999731779099,0.34,0.11,True,0.458
TPM__SEC14L2,28,0,0.28,0.11999999731779099,0.33,0.11,False,
TPM__MIR22HG,27,0,0.27,0.14000000059604645,0.37,0.13,False,
TPM__AOPEP,27,0,0.27,0.11999999731779099,0.33,0.16,False,
TPM__APLP2,27,0,0.27,0.12999999523162842,0.35,0.07,False,
METH__THBS1,27,0,0.27,0.12999999523162842,-0.35,0.13,False,
TPM__GPC1,26,0,0.26,0.18000000715255737,0.39,0.1,False,
TPM__GNA11,26,1,0.26,0.11999999731779099,0.3,0.06,True,1.0
TPM__ARHGEF28,26,3,0.26,0.14000000059604645,0.37,0.12,True,0.992
TPM__SRGAP1,26,0,0.26,0.1599999964237213,0.37,0.12,False,
TPM__DOCK8,25,1,0.25,0.11999999731779099,-0.23,0.08,True,1.0
TPM__ATP2A3,25,1,0.25,0.12999999523162842,-0.35,0.14,True,1.0
TPM__ARHGAP4,25,0,0.25,0.11999999731779099,-0.34,0.12,False,
TPM__CARMIL2,25,3,0.25,0.11999999731779099,-0.29,0.1,True,0.992
TPM__MPP3,25,0,0.25,0.14000000059604645,0.31,0.09,False,
TPM__PLEKHN1,24,8,0.24,0.11999999731779099,0.37,0.14,False,0.013
METH__ADAMTS9,24,0,0.24,0.11999999731779099,-0.3,0.17,False,
METH__SELPLG,24,0,0.24,0.11999999731779099,0.26,0.07,False,
TPM__SUMF1,24,8,0.24,0.12999999523162842,0.36,0.09,False,0.013
TPM__CETN2,24,5,0.24,0.11999999731779099,0.34,0.05,True,0.458
TPM__E2F2,24,0,0.24,0.11999999731779099,-0.33,0.11,False,
METH__EIF3K,24,0,0.24,0.17000000178813934,0.33,0.16,False,
TPM__ITPRIPL2,23,0,0.23,0.15000000596046448,0.37,0.09,False,
TPM__NRP1,23,0,0.23,0.15000000596046448,0.39,0.12,False,
METH__S100A10,23,0,0.23,0.11999999731779099,-0.33,0.08,False,
TPM__AGAP2,23,3,0.23,0.17000000178813934,-0.39,0.16,True,0.992
METH__ITPRIPL2,23,2,0.23,0.11999999731779099,-0.32,0.13,True,1.0
TPM__TBC1D10C,23,0,0.23,0.11999999731779099,-0.24,0.06,False,
METH__PARVA,22,1,0.22,0.11999999731779099,-0.31,0.13,True,1.0
METH__ZFP112,22,1,0.22,0.12999999523162842,-0.32,0.1,True,1.0
TPM__PLS3,22,2,0.22,0.17000000178813934,0.38,0.18,True,1.0
METH__CCDC12,22,0,0.22,0.12999999523162842,-0.3,0.11,False,
METH__PKN1,22,0,0.22,0.12999999523162842,0.27,0.1,False,
METH__GPR39,22,0,0.22,0.11999999731779099,-0.29,0.11,False,
TPM__GMFG,22,0,0.22,0.11999999731779099,-0.22,0.19,False,
