feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
METH__LRP6,100,50,1.0,0.07999999821186066,-0.2,0.23,True,1.0,unimodal,0.7,True
METH__GABARAPL1,100,50,1.0,0.07000000029802322,-0.3,0.22,True,1.0,unimodal,0.7,True
TPM__PTPN7,100,50,1.0,0.20000000298023224,-0.25,0.22,True,1.0,unimodal,0.7,True
TPM__TNFRSF12A,100,50,1.0,0.2199999988079071,0.45,0.21,True,1.0,unimodal,0.7,True
TPM__P2RY8,100,50,1.0,0.1599999964237213,-0.24,0.23,True,1.0,unimodal,0.7,True
METH__PPIC,100,50,1.0,0.11999999731779099,-0.31,0.23,True,1.0,unimodal,0.7,True
METH__LAPTM4A,100,50,1.0,0.10999999940395355,-0.28,0.23,True,1.0,unimodal,0.7,True
TPM__MIR142HG,100,50,1.0,0.1899999976158142,-0.29,0.25,True,1.0,unimodal,0.7,True
METH__FAM114A1,100,50,1.0,0.10000000149011612,-0.32,0.22,True,1.0,unimodal,0.7,True
TPM__SALL1,100,50,1.0,0.0,0.08,0.23,True,1.0,unimodal,0.7,True
METH__DSTN,100,50,1.0,0.1599999964237213,-0.34,0.23,True,1.0,unimodal,0.7,True
TPM__PIK3CG,100,50,1.0,0.12999999523162842,-0.22,0.22,True,1.0,unimodal,0.7,True
METH__SPAG9,100,50,1.0,0.11999999731779099,-0.34,0.24,True,1.0,unimodal,0.7,True
METH__PTGR2,99,49,0.99,0.07000000029802322,-0.28,0.21,True,1.0,unimodal,0.7,True
TPM__IFNWP19,99,49,0.99,0.05999999865889549,0.29,0.2,True,1.0,unimodal,0.7,True
METH__C6orf217,99,49,0.99,0.05999999865889549,-0.25,0.23,True,1.0,unimodal,0.7,True
METH__AHI1,95,45,0.95,0.05000000074505806,-0.27,0.27,True,0.458,unimodal,0.7,True
METH__SNX33,92,42,0.92,0.07000000029802322,-0.26,0.2,False,0.013,worst_case,0.8897435897435897,True
METH__ZNF697,91,41,0.91,0.10000000149011612,-0.2,0.23,False,0.002,worst_case,0.8897435897435897,True
METH__PCCA,91,41,0.91,0.029999999329447746,-0.2,0.22,False,0.002,worst_case,0.8897435897435897,True
