feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__BCL2L1,99,49,0.99,0.12999999523162842,0.35,0.08,True,1.0
METH__MGAT1,96,46,0.96,0.18000000715255737,0.36,0.15,True,0.832
TPM__TRABD,93,43,0.93,0.10999999940395355,-0.32,0.06,True,0.053
TPM__APLP2,92,42,0.92,0.11999999731779099,0.34,0.11,False,0.013
TPM__WFS1,91,41,0.91,0.14000000059604645,0.35,0.09,False,0.002
METH__MIR150,90,40,0.9,0.11999999731779099,0.32,0.07,False,0.0
TPM__GMIP,85,35,0.85,0.10999999940395355,-0.28,0.04,False,0.0
TPM__MOB3A,85,35,0.85,0.10999999940395355,-0.3,0.12,False,0.0
METH__MLPH,79,29,0.79,0.11999999731779099,-0.32,0.11,False,0.0
TPM__CHMP3,78,28,0.78,0.11999999731779099,0.36,0.12,False,0.0
TPM__SLC2A8,76,26,0.76,0.10999999940395355,0.3,0.1,False,0.0
TPM__RPL29,74,24,0.74,0.10000000149011612,-0.33,0.11,False,0.0
TPM__CTSD,71,21,0.71,0.11999999731779099,0.35,0.13,False,0.0
TPM__KDM2B,71,21,0.71,0.11999999731779099,-0.31,0.11,False,0.0
TPM__CYTH4,70,20,0.7,0.11999999731779099,-0.22,0.07,False,0.0
METH__RGS12,69,20,0.69,0.10999999940395355,0.35,0.08,False,0.0
TPM__FERMT3,68,18,0.68,0.11999999731779099,-0.25,0.11,False,0.0
TPM__GSTM3,65,16,0.65,0.10000000149011612,0.29,0.07,False,0.0
TPM__EPS8,64,14,0.64,0.14000000059604645,0.36,0.13,False,0.0
TPM__SH3BP4,62,13,0.62,0.12999999523162842,0.29,0.14,False,0.0
TPM__LCP1,61,12,0.61,0.11999999731779099,-0.3,0.09,False,0.0
TPM__BTC,61,11,0.61,0.11999999731779099,0.4,0.16,False,0.0
TPM__MRPS18AP1,60,12,0.6,0.10999999940395355,-0.32,0.06,False,0.0
TPM__TRNP1,60,11,0.6,0.11999999731779099,0.33,0.12,False,0.0
TPM__TSPOAP1-AS1,60,12,0.6,0.10999999940395355,-0.22,0.07,False,0.0
METH__NXNL2,60,11,0.6,0.10999999940395355,-0.33,0.06,False,0.0
TPM__DAG1,59,9,0.59,0.10999999940395355,0.31,0.07,False,0.002
METH__TBC1D10C,59,11,0.59,0.11999999731779099,0.32,0.12,False,0.0
METH__ZNF579,58,11,0.58,0.12999999523162842,-0.35,0.1,False,0.0
TPM__RPL10A,58,12,0.58,0.12999999523162842,-0.39,0.09,False,0.0
TPM__KRT8P3,56,9,0.56,0.14000000059604645,0.41,0.14,False,0.002
METH__FAM151B,56,9,0.56,0.10999999940395355,-0.29,0.09,False,0.002
TPM__AGAP2,56,6,0.56,0.1599999964237213,-0.39,0.11,True,0.181
TPM__TMEM139,56,7,0.56,0.11999999731779099,0.35,0.06,True,0.053
METH__MIER3,55,8,0.55,0.10000000149011612,-0.3,0.12,False,0.013
TPM__LIMD2,54,6,0.54,0.12999999523162842,-0.35,0.11,True,0.181
TPM__STBD1,54,6,0.54,0.10999999940395355,0.33,0.06,True,0.181
TPM__TSPAN6,54,5,0.54,0.10000000149011612,0.27,0.06,True,0.458
TPM__SLC22A5,52,5,0.52,0.10999999940395355,0.31,0.1,True,0.458
TPM__HDAC11,52,7,0.52,0.14000000059604645,0.34,0.07,True,0.053
TPM__RPS13,52,4,0.52,0.10000000149011612,-0.35,0.02,True,0.832
TPM__NIBAN2,51,6,0.51,0.12999999523162842,0.33,0.07,True,0.181
METH__C16orf54,50,5,0.5,0.12999999523162842,0.32,0.12,True,0.458
METH__STAT5A,49,3,0.49,0.10000000149011612,0.31,0.03,True,0.992
TPM__ABHD11,48,4,0.48,0.10999999940395355,0.35,0.11,True,0.832
METH__MATN3,48,3,0.48,0.12999999523162842,-0.27,0.12,True,0.992
METH__STK32A,47,3,0.47,0.10999999940395355,-0.26,0.05,True,0.992
METH__B4GALT1,47,4,0.47,0.10999999940395355,0.28,0.07,True,0.832
METH__MOSC2,46,5,0.46,0.12999999523162842,-0.33,0.1,True,0.458
TPM__PAK4,46,2,0.46,0.11999999731779099,0.34,0.1,True,1.0
TPM__MGAT4B,45,4,0.45,0.11999999731779099,0.36,0.12,True,0.832
METH__CCDC88B,45,2,0.45,0.12999999523162842,0.29,0.06,True,1.0
METH__PARD6G,45,3,0.45,0.10000000149011612,-0.21,0.1,True,0.992
METH__TLR9,44,3,0.44,0.11999999731779099,0.32,0.09,True,0.992
TPM__CUEDC1,44,4,0.44,0.1599999964237213,0.35,0.1,True,0.832
TPM__TBC1D10C,44,3,0.44,0.10999999940395355,-0.2,0.12,True,0.992
TPM__KRT80,43,2,0.43,0.10999999940395355,0.34,0.07,True,1.0
METH__OPHN1,43,2,0.43,0.11999999731779099,-0.28,0.13,True,1.0
TPM__EIF3L,43,1,0.43,0.12999999523162842,-0.36,0.05,True,1.0
METH__AGXT2L2,42,2,0.42,0.10999999940395355,0.33,0.08,True,1.0
METH__CXCR3,42,3,0.42,0.10000000149011612,0.29,0.07,True,0.992
TPM__SHISA4,42,2,0.42,0.11999999731779099,0.33,0.1,True,1.0
TPM__CLDN4,42,3,0.42,0.10999999940395355,0.37,0.04,True,0.992
TPM__RHPN2,41,3,0.41,0.11999999731779099,0.35,0.11,True,0.992
METH__ME1,41,3,0.41,0.10000000149011612,-0.3,0.07,True,0.992
METH__NUP43,40,0,0.4,0.10000000149011612,-0.28,0.08,False,
TPM__TMEM54,40,1,0.4,0.10000000149011612,0.32,0.1,True,1.0
TPM__TSKU,40,1,0.4,0.10000000149011612,0.3,0.11,True,1.0
TPM__SHB,39,1,0.39,0.12999999523162842,0.33,0.1,True,1.0
TPM__FAM241B,39,0,0.39,0.10999999940395355,0.31,0.09,False,
METH__C7orf23,38,3,0.38,0.11999999731779099,-0.31,0.15,True,0.992
TPM__ATP1B1,38,2,0.38,0.12999999523162842,0.34,0.06,True,1.0
METH__LOC283404,38,1,0.38,0.11999999731779099,0.37,0.11,True,1.0
TPM__SPR,38,1,0.38,0.10999999940395355,0.31,0.08,True,1.0
METH__SLA2,38,2,0.38,0.10999999940395355,0.3,0.13,True,1.0
METH__MLXIPL,37,2,0.37,0.10999999940395355,-0.3,0.03,True,1.0
METH__RINL,37,1,0.37,0.12999999523162842,0.31,0.11,True,1.0
METH__PCLO,37,3,0.37,0.10999999940395355,-0.27,0.17,True,0.992
METH__FAM84A,37,1,0.37,0.11999999731779099,-0.31,0.13,True,1.0
METH__MARVELD2,36,0,0.36,0.12999999523162842,-0.38,0.15,False,
TPM__INKA1,35,0,0.35,0.10999999940395355,-0.33,0.08,False,
TPM__LYL1,34,2,0.34,0.10000000149011612,-0.24,0.13,True,1.0
TPM__FLI1,34,1,0.34,0.12999999523162842,-0.33,0.13,True,1.0
METH__NHLRC1,33,1,0.33,0.10999999940395355,-0.33,0.07,True,1.0
TPM__PIK3CG,33,1,0.33,0.12999999523162842,-0.26,0.15,True,1.0
METH__SASH1,33,0,0.33,0.11999999731779099,-0.23,0.11,False,
