feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__MIR142HG,100,50,1.0,0.1599999964237213,-0.23,0.21,True,1.0
METH__FAM47E,100,50,1.0,0.14000000059604645,-0.33,0.2,True,1.0
METH__PCDH1,100,50,1.0,0.10999999940395355,-0.27,0.2,True,1.0
METH__MORN2,100,50,1.0,0.07999999821186066,-0.25,0.2,True,1.0
METH__C9orf150,100,50,1.0,0.14000000059604645,-0.27,0.2,True,1.0
METH__ZNF697,100,50,1.0,0.10999999940395355,-0.25,0.23,True,1.0
METH__SPRYD3,100,50,1.0,0.10999999940395355,-0.29,0.19,True,1.0
METH__NPAS2,100,50,1.0,0.15000000596046448,-0.32,0.18,True,1.0
METH__GULP1,100,50,1.0,0.14000000059604645,-0.28,0.18,True,1.0
METH__SLC1A1,99,49,0.99,0.09000000357627869,-0.19,0.2,True,1.0
METH__TPX2,99,49,0.99,0.10000000149011612,-0.22,0.2,True,1.0
METH__JAG1,98,48,0.98,0.05999999865889549,-0.29,0.21,True,1.0
METH__LRP6,98,48,0.98,0.07999999821186066,-0.22,0.19,True,1.0
METH__LAPTM4A,97,47,0.97,0.09000000357627869,-0.21,0.21,True,0.992
METH__AGPHD1,97,47,0.97,0.05000000074505806,-0.22,0.19,True,0.992
METH__IFT20,96,46,0.96,0.009999999776482582,0.0,0.19,True,0.832
METH__ATP6V1D,95,45,0.95,0.09000000357627869,-0.19,0.22,True,0.458
METH__PTPN14,95,45,0.95,0.10999999940395355,-0.3,0.22,True,0.458
METH__LRBA,94,44,0.94,0.0,-0.16,0.19,True,0.181
METH__MCM7,94,44,0.94,0.009999999776482582,0.02,0.2,True,0.181
METH__TEAD4,94,44,0.94,0.07999999821186066,-0.26,0.22,True,0.181
METH__KLF4,93,43,0.93,0.10000000149011612,-0.28,0.22,True,0.053
METH__PTGR2,92,42,0.92,0.05000000074505806,-0.24,0.23,False,0.013
METH__UTP23,92,42,0.92,0.03999999910593033,-0.19,0.19,False,0.013
METH__MEIS1,90,40,0.9,0.07000000029802322,-0.18,0.2,False,0.0
METH__AMIGO1,90,40,0.9,0.03999999910593033,-0.2,0.18,False,0.0
TPM__SCARNA4,88,38,0.88,0.009999999776482582,-0.15,0.19,False,0.0
METH__ZNF230,87,37,0.87,0.05999999865889549,-0.21,0.22,False,0.0
METH__TOP2A,86,36,0.86,0.07999999821186066,-0.19,0.22,False,0.0
METH__ZNF498,85,36,0.85,0.09000000357627869,-0.23,0.2,False,0.0
METH__SLC35E1,84,35,0.84,0.07999999821186066,-0.22,0.19,False,0.0
METH__HMGCR,83,35,0.83,0.07999999821186066,-0.26,0.2,False,0.0
METH__RAPH1,82,32,0.82,0.05000000074505806,-0.26,0.24,False,0.0
METH__C7orf70,80,30,0.8,0.05999999865889549,0.12,0.21,False,0.0
METH__POLH,78,29,0.78,0.009999999776482582,0.09,0.22,False,0.0
CNV__ARHGAP5,77,27,0.77,0.0,0.2,0.21,False,0.0
CNV__NKX2-1,76,27,0.76,0.009999999776482582,0.19,0.19,False,0.0
METH__DNAJC24,76,28,0.76,0.05000000074505806,-0.19,0.19,False,0.0
METH__SLC19A2,75,26,0.75,0.05000000074505806,-0.22,0.19,False,0.0
METH__COMMD6,72,22,0.72,0.029999999329447746,0.19,0.19,False,0.0
METH__DNAJA2,72,23,0.72,0.019999999552965164,0.07,0.2,False,0.0
CNV__SIX1,71,22,0.71,0.029999999329447746,0.2,0.21,False,0.0
METH__PDCD6IP,71,22,0.71,0.07000000029802322,-0.23,0.21,False,0.0
METH__DDX50,68,19,0.68,0.05999999865889549,-0.22,0.22,False,0.0
METH__CPEB3,68,19,0.68,0.05999999865889549,-0.2,0.22,False,0.0
METH__C10orf114,67,21,0.67,0.05000000074505806,-0.16,0.21,False,0.0
CNV__NFKBIA,67,20,0.67,0.019999999552965164,0.2,0.19,False,0.0
CNV__FOXA1,67,19,0.67,0.019999999552965164,0.19,0.2,False,0.0
CNV__FANCM,65,18,0.65,0.03999999910593033,0.2,0.19,False,0.0
METH__DCDC1,65,20,0.65,0.03999999910593033,-0.2,0.23,False,0.0
TPM__RNA5S9,64,17,0.64,0.009999999776482582,-0.11,0.2,False,0.0
METH__SNX33,63,17,0.63,0.05000000074505806,-0.22,0.22,False,0.0
METH__C18orf10,63,15,0.63,0.019999999552965164,-0.2,0.21,False,0.0
CNV__HIF1A,61,15,0.61,0.029999999329447746,0.19,0.21,False,0.0
CNV__TGIF1,61,14,0.61,0.0,0.05,0.19,False,0.0
CNV__BIRC6,56,11,0.56,0.019999999552965164,0.18,0.19,False,0.0
METH__FANCA,56,14,0.56,0.009999999776482582,-0.08,0.2,False,0.0
METH__MIR1915,56,13,0.56,0.05000000074505806,-0.22,0.2,False,0.0
METH__C6orf217,56,16,0.56,0.05000000074505806,-0.22,0.21,False,0.0
METH__TAX1BP1,55,12,0.55,0.05999999865889549,-0.18,0.2,False,0.0
METH__ZNF248,54,14,0.54,0.009999999776482582,-0.17,0.2,False,0.0
METH__KIAA1712,54,13,0.54,0.0,-0.12,0.22,False,0.0
METH__TMEM106B,53,11,0.53,0.05000000074505806,-0.2,0.21,False,0.0
METH__WRNIP1,52,9,0.52,0.05000000074505806,-0.2,0.19,False,0.002
METH__C9orf30,51,11,0.51,0.05999999865889549,-0.16,0.19,False,0.0
METH__DUSP6,50,6,0.5,0.03999999910593033,-0.16,0.18,True,0.181
