feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__WDR45B,97,47,0.97,0.05999999865889549,0.25,0.02,True,0.992
TPM__KRT23,96,46,0.96,0.05999999865889549,0.19,0.04,True,0.832
TPM__ACTG1P25,95,45,0.95,0.09000000357627869,0.31,0.07,True,0.458
TPM__EPHA10,93,43,0.93,0.09000000357627869,0.27,0.06,True,0.053
TPM__RGS11,93,43,0.93,0.05999999865889549,0.25,0.08,True,0.053
TPM__GTF2E2,92,42,0.92,0.07000000029802322,-0.25,0.03,False,0.013
METH__RGS12,89,39,0.89,0.07999999821186066,0.28,0.03,False,0.0
TPM__BCL2L1,89,39,0.89,0.05999999865889549,0.23,0.06,False,0.0
TPM__TTI2,88,38,0.88,0.05999999865889549,-0.25,0.03,False,0.0
TPM__LCMT1-AS1,88,38,0.88,0.09000000357627869,-0.28,0.1,False,0.0
TPM__CCDC25,87,37,0.87,0.07000000029802322,-0.25,0.04,False,0.0
METH__DIP2B,86,36,0.86,0.07000000029802322,-0.25,0.04,False,0.0
TPM__CCDC85C,82,32,0.82,0.07000000029802322,0.24,0.05,False,0.0
TPM__ELOVL7,81,31,0.81,0.09000000357627869,0.29,0.06,False,0.0
METH__SPINK5,77,27,0.77,0.07000000029802322,0.27,0.04,False,0.0
TPM__EIF3G,76,26,0.76,0.05999999865889549,-0.26,0.05,False,0.0
TPM__ENTREP1,76,26,0.76,0.05999999865889549,0.29,0.07,False,0.0
TPM__RAB40B,75,25,0.75,0.05999999865889549,0.23,0.08,False,0.0
TPM__NAV2,72,22,0.72,0.07999999821186066,0.27,0.07,False,0.0
METH__CLDN2,72,22,0.72,0.05999999865889549,0.23,0.04,False,0.0
TPM__TSPAN15,72,22,0.72,0.05999999865889549,0.21,0.05,False,0.0
TPM__CD37,70,20,0.7,0.10999999940395355,-0.32,0.1,False,0.0
TPM__SVIL,70,20,0.7,0.05999999865889549,0.21,0.04,False,0.0
TPM__GMIP,69,19,0.69,0.05999999865889549,-0.22,0.07,False,0.0
TPM__GRAMD2A,68,18,0.68,0.05999999865889549,0.26,0.05,False,0.0
TPM__TNFAIP8,67,17,0.67,0.05999999865889549,-0.22,0.06,False,0.0
METH__MYO1G,67,17,0.67,0.05999999865889549,0.2,0.04,False,0.0
TPM__LURAP1L,65,15,0.65,0.05999999865889549,0.26,0.06,False,0.0
TPM__PLLP,65,15,0.65,0.05999999865889549,0.25,0.07,False,0.0
METH__MTAP,63,13,0.63,0.07000000029802322,-0.29,0.05,False,0.0
TPM__PATJ,62,13,0.62,0.05999999865889549,0.23,0.02,False,0.0
TPM__EAF2,61,12,0.61,0.05999999865889549,-0.2,0.01,False,0.0
TPM__RPL13,60,13,0.6,0.05999999865889549,-0.23,0.0,False,0.0
TPM__PRKCZ-AS1,59,11,0.59,0.05999999865889549,0.23,0.04,False,0.0
TPM__CMTM4,59,12,0.59,0.05999999865889549,0.2,0.04,False,0.0
TPM__ZNRF3,58,8,0.58,0.05999999865889549,0.22,0.0,False,0.013
TPM__ALOX5AP,57,10,0.57,0.05999999865889549,-0.21,0.03,False,0.0
TPM__WWC1,56,9,0.56,0.05999999865889549,0.23,0.05,False,0.002
TPM__RFTN1,55,9,0.55,0.05999999865889549,-0.21,0.08,False,0.002
TPM__ADGRG1,54,7,0.54,0.05999999865889549,0.22,0.07,True,0.053
TPM__RFXANK,53,4,0.53,0.05999999865889549,-0.25,0.07,True,0.832
TPM__PLEKHG3,53,11,0.53,0.05999999865889549,0.21,0.06,False,0.0
METH__PLAC2,53,7,0.53,0.07000000029802322,-0.26,0.03,True,0.053
TPM__LSP1,51,6,0.51,0.05999999865889549,-0.14,0.04,True,0.181
TPM__C1orf226,51,9,0.51,0.07999999821186066,0.3,0.08,False,0.002
METH__FERMT3,50,6,0.5,0.07000000029802322,0.22,0.08,True,0.181
TPM__MOB3A,50,6,0.5,0.07999999821186066,-0.25,0.07,True,0.181
TPM__CYTH4,49,5,0.49,0.07000000029802322,-0.2,0.07,True,0.458
TPM__NEURL1B,49,4,0.49,0.07000000029802322,0.26,0.06,True,0.832
TPM__MRPS18AP1,48,4,0.48,0.05999999865889549,-0.21,0.06,True,0.832
METH__BOK,48,5,0.48,0.05999999865889549,-0.2,0.05,True,0.458
METH__MATN3,48,4,0.48,0.07999999821186066,-0.22,0.08,True,0.832
METH__GAS2L3,46,5,0.46,0.07000000029802322,-0.22,0.06,True,0.458
METH__LACTB2,45,5,0.45,0.07000000029802322,-0.23,0.07,True,0.458
TPM__RPL18A,45,4,0.45,0.07000000029802322,-0.27,0.04,True,0.832
TPM__RHPN2,45,4,0.45,0.05999999865889549,0.24,0.05,True,0.832
METH__SNORA74A,45,4,0.45,0.05999999865889549,0.23,0.06,True,0.832
METH__SYTL4,45,3,0.45,0.05999999865889549,-0.19,0.02,True,0.992
TPM__EIF3D,45,3,0.45,0.05999999865889549,-0.23,0.03,True,0.992
TPM__EEF2,45,5,0.45,0.05999999865889549,-0.25,0.05,True,0.458
METH__KRT18,45,2,0.45,0.07000000029802322,-0.24,0.07,True,1.0
TPM__NOS1AP,44,2,0.44,0.07000000029802322,0.28,0.06,True,1.0
TPM__HLA-DOB,43,2,0.43,0.05999999865889549,-0.17,0.06,True,1.0
TPM__NAV2-AS1,43,5,0.43,0.05999999865889549,0.26,0.05,True,0.458
TPM__TMA16,43,5,0.43,0.05999999865889549,-0.25,0.04,True,0.458
METH__MGAT1,43,1,0.43,0.07999999821186066,0.25,0.05,True,1.0
METH__INADL,42,1,0.42,0.05999999865889549,-0.25,0.04,True,1.0
TPM__C11orf52,42,2,0.42,0.05999999865889549,0.23,0.06,True,1.0
METH__MAP3K9,42,2,0.42,0.05999999865889549,-0.24,0.09,True,1.0
TPM__FLI1,41,1,0.41,0.09000000357627869,-0.27,0.13,True,1.0
TPM__LCP1,41,1,0.41,0.07000000029802322,-0.24,0.07,True,1.0
TPM__TSPAN6,41,1,0.41,0.05999999865889549,0.2,0.02,True,1.0
METH__LYPD3,41,1,0.41,0.05999999865889549,-0.22,0.07,True,1.0
TPM__PLXNB1,40,3,0.4,0.09000000357627869,0.27,0.12,True,0.992
TPM__CYTIP,40,3,0.4,0.05999999865889549,-0.13,0.1,True,0.992
TPM__MYH14,40,1,0.4,0.07000000029802322,0.24,0.02,True,1.0
TPM__BAIAP3,38,1,0.38,0.05999999865889549,0.25,0.07,True,1.0
TPM__EPB41L1,38,0,0.38,0.07000000029802322,0.23,0.05,False,
TPM__FMNL1,38,2,0.38,0.05999999865889549,-0.24,0.07,True,1.0
METH__STAT5A,37,3,0.37,0.05999999865889549,0.22,0.05,True,0.992
TPM__SORT1,37,2,0.37,0.07000000029802322,0.25,0.01,True,1.0
TPM__GRB7,36,0,0.36,0.05999999865889549,0.22,0.07,False,
METH__ARNTL,35,1,0.35,0.05999999865889549,-0.2,0.05,True,1.0
TPM__MYO5B,35,2,0.35,0.05999999865889549,0.24,0.03,True,1.0
METH__LOC148709,34,0,0.34,0.07999999821186066,-0.31,0.12,False,
METH__ZNF77,33,1,0.33,0.05999999865889549,-0.1,0.07,True,1.0
TPM__ATP9A,33,0,0.33,0.05999999865889549,0.22,0.01,False,
METH__SNX5,33,0,0.33,0.05999999865889549,0.23,0.11,False,
METH__PLEKHA1,33,0,0.33,0.07000000029802322,-0.22,0.01,False,
METH__CACNA1D,33,1,0.33,0.05999999865889549,-0.24,0.01,True,1.0
TPM__CHMP3,32,0,0.32,0.05999999865889549,0.23,0.07,False,
METH__MTNR1A,31,1,0.31,0.07000000029802322,-0.24,0.05,True,1.0
METH__ONECUT2,31,0,0.31,0.05999999865889549,-0.15,0.08,False,
METH__BEAN,31,1,0.31,0.07000000029802322,-0.23,0.11,True,1.0
TPM__CD52,31,0,0.31,0.05999999865889549,-0.12,0.04,False,
TPM__ADCY6,30,1,0.3,0.05999999865889549,0.21,0.05,True,1.0
TPM__SP6,30,2,0.3,0.07000000029802322,0.23,0.04,True,1.0
METH__CD160,30,0,0.3,0.05999999865889549,0.16,0.05,False,
METH__IFT88,30,4,0.3,0.05999999865889549,-0.23,0.06,True,0.832
METH__CASZ1,30,1,0.3,0.05999999865889549,-0.14,0.08,True,1.0
TPM__PTPN22,29,0,0.29,0.07999999821186066,-0.22,0.09,False,
METH__SLA2,29,2,0.29,0.07000000029802322,0.26,0.02,True,1.0
TPM__BCL2L2,29,0,0.29,0.05999999865889549,0.24,0.04,False,
TPM__NHSL3,28,1,0.28,0.07999999821186066,0.25,0.07,True,1.0
METH__RASEF,28,0,0.28,0.05999999865889549,-0.2,0.03,False,
METH__MIR548C,28,0,0.28,0.05999999865889549,0.16,0.05,False,
METH__EIF3K,28,0,0.28,0.05999999865889549,0.23,0.04,False,
METH__CDKN2D,28,1,0.28,0.07000000029802322,0.24,0.1,True,1.0
METH__KIF13A,28,2,0.28,0.05999999865889549,-0.23,0.06,True,1.0
TPM__FCHO2,28,0,0.28,0.07000000029802322,0.22,0.02,False,
TPM__ARHGEF6,27,0,0.27,0.07000000029802322,-0.22,0.06,False,
METH__PPARG,27,0,0.27,0.05999999865889549,-0.2,0.03,False,
TPM__KRT19,27,0,0.27,0.07000000029802322,0.26,0.04,False,
TPM__MYO5C,27,0,0.27,0.05999999865889549,0.24,0.02,False,
TPM__FN3K,27,5,0.27,0.05999999865889549,0.24,0.05,True,0.458
TPM__CD9,27,0,0.27,0.07000000029802322,0.25,0.05,False,
TPM__GRTP1,27,1,0.27,0.05999999865889549,0.24,0.0,True,1.0
TPM__PLEKHA1,26,1,0.26,0.07000000029802322,0.22,0.07,True,1.0
TPM__H1-0,26,0,0.26,0.07000000029802322,0.28,0.07,False,
METH__DOCK5,26,0,0.26,0.05999999865889549,-0.15,0.13,False,
METH__SH3D19,26,0,0.26,0.07999999821186066,0.26,0.09,False,
TPM__SRGN,26,0,0.26,0.05999999865889549,-0.24,0.08,False,
TPM__EFNA1,26,4,0.26,0.05999999865889549,0.23,0.07,True,0.832
TPM__MAL2,25,0,0.25,0.05999999865889549,0.25,0.04,False,
TPM__ELP3,25,0,0.25,0.05999999865889549,-0.23,0.05,False,
TPM__OCRL,25,2,0.25,0.05999999865889549,0.2,0.07,True,1.0
METH__RBL2,25,3,0.25,0.05999999865889549,-0.23,0.03,True,0.992
TPM__SH3RF1,25,1,0.25,0.05999999865889549,0.21,0.04,True,1.0
TPM__ARHGEF10L,25,0,0.25,0.07000000029802322,0.25,0.03,False,
TPM__KRT8P3,24,1,0.24,0.05999999865889549,0.26,0.06,True,1.0
TPM__FNBP1L,24,0,0.24,0.10000000149011612,0.27,0.05,False,
TPM__RHOH,24,0,0.24,0.10000000149011612,-0.26,0.13,False,
TPM__TMEM184A,24,1,0.24,0.07000000029802322,0.26,0.07,True,1.0
METH__SNORD17,24,0,0.24,0.07000000029802322,0.22,0.06,False,
TPM__TMC4,24,0,0.24,0.05999999865889549,0.22,0.02,False,
TPM__C1orf115,23,6,0.23,0.05999999865889549,0.27,0.03,True,0.181
METH__CCDC88B,23,0,0.23,0.07000000029802322,0.2,0.01,False,
TPM__RCSD1,23,0,0.23,0.05999999865889549,-0.14,0.07,False,
METH__CRIM1,22,0,0.22,0.05999999865889549,-0.19,0.07,False,
TPM__TMEM45B,22,0,0.22,0.05999999865889549,0.24,0.04,False,
TPM__EVI2B,22,0,0.22,0.05999999865889549,-0.2,0.06,False,
METH__PWWP2A,22,0,0.22,0.05999999865889549,-0.2,0.08,False,
METH__CDC42BPA,22,0,0.22,0.05999999865889549,-0.15,0.07,False,
METH__NIPSNAP1,22,1,0.22,0.05999999865889549,-0.23,0.06,True,1.0
METH__PKP2,22,0,0.22,0.07000000029802322,-0.26,0.09,False,
METH__CYP2S1,22,1,0.22,0.05999999865889549,-0.23,0.04,True,1.0
METH__CARD8,22,0,0.22,0.05999999865889549,0.2,0.02,False,
METH__KRTAP5-1,22,1,0.22,0.05999999865889549,0.26,0.05,True,1.0
TPM__PXK,22,3,0.22,0.05999999865889549,-0.2,0.04,True,0.992
TPM__RGL3,22,5,0.22,0.05999999865889549,0.23,0.06,True,0.458
TPM__RASAL2,22,0,0.22,0.05999999865889549,0.21,0.03,False,
TPM__ARHGAP30,22,0,0.22,0.07000000029802322,-0.12,0.08,False,
METH__SUCLA2,22,2,0.22,0.05999999865889549,-0.22,0.07,True,1.0
TPM__CDR2L,22,0,0.22,0.05999999865889549,0.2,0.01,False,
TPM__TOM1L1,22,0,0.22,0.05999999865889549,0.18,0.08,False,
TPM__CCDC120,22,0,0.22,0.07000000029802322,0.25,0.1,False,
METH__SRGN,22,0,0.22,0.07000000029802322,0.24,0.06,False,
METH__PRSS48,21,0,0.21,0.07999999821186066,0.23,0.06,False,
TPM__HCLS1,21,0,0.21,0.07000000029802322,-0.19,0.05,False,
TPM__LRRC1,21,4,0.21,0.05999999865889549,0.25,0.03,True,0.832
TPM__MANSC1,20,1,0.2,0.07000000029802322,0.26,0.02,True,1.0
METH__C7orf23,20,5,0.2,0.05999999865889549,-0.24,0.09,True,0.458
TPM__RPL36,20,0,0.2,0.05999999865889549,-0.23,0.07,False,
TPM__SERTAD4,19,3,0.19,0.05999999865889549,0.25,0.11,True,0.992
METH__FAM113B,19,0,0.19,0.05999999865889549,0.22,0.07,False,
TPM__SOWAHB,19,0,0.19,0.07999999821186066,0.28,0.11,False,
METH__AK1,19,2,0.19,0.07000000029802322,-0.23,0.08,True,1.0
METH__AADAT,19,2,0.19,0.07000000029802322,-0.23,0.07,True,1.0
METH__MIR26A1,19,4,0.19,0.05999999865889549,0.22,0.08,True,0.832
TPM__LTBR,19,0,0.19,0.05999999865889549,0.22,0.07,False,
METH__SASH3,19,0,0.19,0.05999999865889549,0.22,0.06,False,
METH__RHOBTB1,19,0,0.19,0.05999999865889549,-0.2,0.0,False,
METH__FOXA1,19,0,0.19,0.07000000029802322,-0.24,0.09,False,
METH__OVOL2,18,0,0.18,0.05999999865889549,-0.25,0.05,False,
TPM__TMEM51,18,1,0.18,0.05999999865889549,0.21,0.04,True,1.0
TPM__SHROOM3,18,1,0.18,0.07000000029802322,0.25,0.08,True,1.0
TPM__TACC2,18,0,0.18,0.07999999821186066,0.27,0.08,False,
TPM__CSK,18,0,0.18,0.05999999865889549,-0.22,0.08,False,
METH__OPHN1,18,1,0.18,0.05999999865889549,-0.19,0.09,True,1.0
METH__FN3K,18,2,0.18,0.07000000029802322,-0.26,0.08,True,1.0
TPM__CTSV,18,4,0.18,0.05999999865889549,0.23,0.0,True,0.832
