feature,Selection count,Pair count,CPSS Score
TPM__WDR45B,97,47,0.97
TPM__KRT23,96,46,0.96
TPM__ACTG1P25,95,45,0.95
TPM__EPHA10,93,43,0.93
TPM__RGS11,93,43,0.93
TPM__GTF2E2,92,42,0.92
METH__RGS12,89,39,0.89
TPM__BCL2L1,89,39,0.89
TPM__TTI2,88,38,0.88
TPM__LCMT1-AS1,88,38,0.88
TPM__CCDC25,87,37,0.87
METH__DIP2B,86,36,0.86
TPM__CCDC85C,82,32,0.82
TPM__ELOVL7,81,31,0.81
METH__SPINK5,77,27,0.77
TPM__EIF3G,76,26,0.76
TPM__ENTREP1,76,26,0.76
TPM__RAB40B,75,25,0.75
TPM__NAV2,72,22,0.72
METH__CLDN2,72,22,0.72
TPM__TSPAN15,72,22,0.72
TPM__CD37,70,20,0.7
TPM__SVIL,70,20,0.7
TPM__GMIP,69,19,0.69
TPM__GRAMD2A,68,18,0.68
TPM__TNFAIP8,67,17,0.67
METH__MYO1G,67,17,0.67
TPM__PLLP,65,15,0.65
TPM__LURAP1L,65,15,0.65
METH__MTAP,63,13,0.63
TPM__PATJ,62,13,0.62
TPM__EAF2,61,12,0.61
TPM__RPL13,60,13,0.6
TPM__PRKCZ-AS1,59,11,0.59
TPM__CMTM4,59,12,0.59
TPM__ZNRF3,58,8,0.58
TPM__ALOX5AP,57,10,0.57
TPM__WWC1,56,9,0.56
TPM__RFTN1,55,9,0.55
TPM__ADGRG1,54,7,0.54
METH__PLAC2,53,7,0.53
TPM__RFXANK,53,4,0.53
TPM__PLEKHG3,53,11,0.53
TPM__LSP1,51,6,0.51
TPM__C1orf226,51,9,0.51
METH__FERMT3,50,6,0.5
TPM__MOB3A,50,6,0.5
TPM__CYTH4,49,5,0.49
TPM__NEURL1B,49,4,0.49
TPM__MRPS18AP1,48,4,0.48
METH__BOK,48,5,0.48
METH__MATN3,48,4,0.48
METH__GAS2L3,46,5,0.46
METH__KRT18,45,2,0.45
METH__SYTL4,45,3,0.45
TPM__EIF3D,45,3,0.45
TPM__EEF2,45,5,0.45
METH__SNORA74A,45,4,0.45
TPM__RPL18A,45,4,0.45
TPM__RHPN2,45,4,0.45
METH__LACTB2,45,5,0.45
TPM__NOS1AP,44,2,0.44
TPM__HLA-DOB,43,2,0.43
TPM__NAV2-AS1,43,5,0.43
TPM__TMA16,43,5,0.43
METH__MGAT1,43,1,0.43
METH__INADL,42,1,0.42
TPM__C11orf52,42,2,0.42
METH__MAP3K9,42,2,0.42
TPM__TSPAN6,41,1,0.41
METH__LYPD3,41,1,0.41
TPM__LCP1,41,1,0.41
TPM__FLI1,41,1,0.41
TPM__CYTIP,40,3,0.4
TPM__MYH14,40,1,0.4
TPM__PLXNB1,40,3,0.4
TPM__BAIAP3,38,1,0.38
TPM__EPB41L1,38,0,0.38
TPM__FMNL1,38,2,0.38
METH__STAT5A,37,3,0.37
TPM__SORT1,37,2,0.37
TPM__GRB7,36,0,0.36
METH__ARNTL,35,1,0.35
TPM__MYO5B,35,2,0.35
METH__LOC148709,34,0,0.34
METH__SNX5,33,0,0.33
METH__CACNA1D,33,1,0.33
METH__PLEKHA1,33,0,0.33
TPM__ATP9A,33,0,0.33
METH__ZNF77,33,1,0.33
TPM__CHMP3,32,0,0.32
METH__MTNR1A,31,1,0.31
METH__ONECUT2,31,0,0.31
METH__BEAN,31,1,0.31
TPM__CD52,31,0,0.31
METH__IFT88,30,4,0.3
METH__CASZ1,30,1,0.3
METH__CD160,30,0,0.3
TPM__SP6,30,2,0.3
TPM__ADCY6,30,1,0.3
TPM__PTPN22,29,0,0.29
METH__SLA2,29,2,0.29
TPM__BCL2L2,29,0,0.29
METH__CDKN2D,28,1,0.28
TPM__FCHO2,28,0,0.28
METH__KIF13A,28,2,0.28
TPM__NHSL3,28,1,0.28
METH__EIF3K,28,0,0.28
METH__MIR548C,28,0,0.28
METH__RASEF,28,0,0.28
TPM__ARHGEF6,27,0,0.27
METH__PPARG,27,0,0.27
TPM__KRT19,27,0,0.27
TPM__MYO5C,27,0,0.27
TPM__FN3K,27,5,0.27
TPM__CD9,27,0,0.27
TPM__GRTP1,27,1,0.27
METH__SH3D19,26,0,0.26
TPM__EFNA1,26,4,0.26
TPM__SRGN,26,0,0.26
METH__DOCK5,26,0,0.26
TPM__H1-0,26,0,0.26
TPM__PLEKHA1,26,1,0.26
TPM__MAL2,25,0,0.25
TPM__ELP3,25,0,0.25
TPM__OCRL,25,2,0.25
METH__RBL2,25,3,0.25
TPM__SH3RF1,25,1,0.25
TPM__ARHGEF10L,25,0,0.25
TPM__TMEM184A,24,1,0.24
TPM__TMC4,24,0,0.24
METH__SNORD17,24,0,0.24
TPM__RHOH,24,0,0.24
TPM__FNBP1L,24,0,0.24
TPM__KRT8P3,24,1,0.24
TPM__C1orf115,23,6,0.23
METH__CCDC88B,23,0,0.23
TPM__RCSD1,23,0,0.23
METH__KRTAP5-1,22,1,0.22
METH__SRGN,22,0,0.22
TPM__CCDC120,22,0,0.22
TPM__TOM1L1,22,0,0.22
METH__SUCLA2,22,2,0.22
TPM__ARHGAP30,22,0,0.22
TPM__RASAL2,22,0,0.22
TPM__RGL3,22,5,0.22
TPM__PXK,22,3,0.22
TPM__CDR2L,22,0,0.22
METH__CARD8,22,0,0.22
METH__CRIM1,22,0,0.22
TPM__TMEM45B,22,0,0.22
TPM__EVI2B,22,0,0.22
METH__PWWP2A,22,0,0.22
METH__CYP2S1,22,1,0.22
METH__CDC42BPA,22,0,0.22
METH__NIPSNAP1,22,1,0.22
METH__PKP2,22,0,0.22
METH__PRSS48,21,0,0.21
TPM__LRRC1,21,4,0.21
TPM__HCLS1,21,0,0.21
TPM__MANSC1,20,1,0.2
METH__C7orf23,20,5,0.2
TPM__RPL36,20,0,0.2
METH__MIR26A1,19,4,0.19
METH__FOXA1,19,0,0.19
METH__RHOBTB1,19,0,0.19
METH__SASH3,19,0,0.19
TPM__LTBR,19,0,0.19
METH__AADAT,19,2,0.19
METH__AK1,19,2,0.19
TPM__SOWAHB,19,0,0.19
METH__FAM113B,19,0,0.19
TPM__SERTAD4,19,3,0.19
TPM__CTSV,18,4,0.18
METH__FN3K,18,2,0.18
METH__OPHN1,18,1,0.18
TPM__CSK,18,0,0.18
TPM__TACC2,18,0,0.18
TPM__SHROOM3,18,1,0.18
TPM__TMEM51,18,1,0.18
METH__OVOL2,18,0,0.18
TPM__ARHGAP39,17,3,0.17
METH__CLDN7,17,0,0.17
METH__MIR1252,17,0,0.17
TPM__SP140,17,2,0.17
TPM__SYNJ2BP,17,0,0.17
TPM__CTBP2,17,0,0.17
METH__FNBP1L,17,0,0.17
TPM__DSC2,17,1,0.17
TPM__AGAP2,17,0,0.17
METH__PLEK2,17,0,0.17
METH__CAP2,17,0,0.17
METH__MIR142,16,0,0.16
METH__NHLRC1,16,1,0.16
TPM__BAIAP2,16,0,0.16
TPM__EPB41L4B,16,1,0.16
TPM__AOPEP,16,3,0.16
METH__KCNK1,16,3,0.16
TPM__SLC46A1,16,5,0.16
METH__CTTNBP2NL,15,1,0.15
METH__HCST,15,2,0.15
METH__C9orf163,15,3,0.15
TPM__DSP-AS1,15,5,0.15
TPM__DBNDD2,15,0,0.15
METH__KRI1,15,0,0.15
TPM__IL21R,15,1,0.15
METH__LOC144571,15,0,0.15
METH__MARVELD3,15,0,0.15
METH__B4GALNT3,15,3,0.15
TPM__SYT7,15,1,0.15
METH__IFFO1,15,0,0.15
METH__SSH3,15,0,0.15
METH__LOC100233209,14,0,0.14
TPM__WASL,14,1,0.14
METH__PRSS23,14,0,0.14
TPM__EPB41L5,14,1,0.14
TPM__CYB561,14,0,0.14
TPM__ENC1,14,3,0.14
METH__SHC2,14,0,0.14
METH__LATS1,14,3,0.14
TPM__MTARC1,13,1,0.13
METH__FEZF1,13,2,0.13
TPM__CBR3-AS1,13,2,0.13
TPM__HVCN1,13,0,0.13
METH__C15orf52,13,3,0.13
TPM__PLPP2,13,4,0.13
TPM__CACFD1,13,1,0.13
TPM__LRP11,13,1,0.13
TPM__SPINT1-AS1,13,0,0.13
TPM__EVPL,13,0,0.13
TPM__IKZF1,13,0,0.13
TPM__TRAC,13,3,0.13
TPM__ATP1B1,13,1,0.13
METH__HS3ST1,13,2,0.13
TPM__KLF5,13,2,0.13
TPM__AGAP1,12,1,0.12
METH__GPR126,12,0,0.12
METH__SLC44A3,12,0,0.12
TPM__CDH1,12,0,0.12
METH__YOD1,12,1,0.12
METH__ACLY,12,1,0.12
