feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__NAMPT,100,50,1.0,0.11999999731779099,0.44,0.15,True,1.0
METH__OGFR,91,41,0.91,0.14000000059604645,0.38,0.17,False,0.002
TPM__ARL1,88,38,0.88,0.10999999940395355,0.36,0.19,False,0.0
METH__STK25,86,36,0.86,0.11999999731779099,-0.41,0.08,False,0.0
TPM__LUC7L3,86,36,0.86,0.10999999940395355,-0.41,0.16,False,0.0
TPM__CENPV,85,35,0.85,0.11999999731779099,-0.4,0.05,False,0.0
TPM__ITGB5,81,31,0.81,0.11999999731779099,0.41,0.14,False,0.0
TPM__THBS1-AS1,80,30,0.8,0.12999999523162842,0.39,0.1,False,0.0
TPM__FAM174A,77,27,0.77,0.1599999964237213,0.44,0.17,False,0.0
TPM__HSPA1A,75,25,0.75,0.11999999731779099,0.37,0.11,False,0.0
TPM__TGFA,74,24,0.74,0.15000000596046448,0.44,0.11,False,0.0
TPM__MGLL,74,24,0.74,0.12999999523162842,0.39,0.07,False,0.0
TPM__PALD1,72,22,0.72,0.1599999964237213,-0.44,0.16,False,0.0
TPM__ANP32E,69,19,0.69,0.11999999731779099,-0.39,0.13,False,0.0
TPM__ST6GALNAC2,68,18,0.68,0.15000000596046448,0.44,0.1,False,0.0
TPM__TM9SF1,66,17,0.66,0.15000000596046448,0.44,0.13,False,0.0
TPM__RN7SL689P,64,15,0.64,0.10999999940395355,0.41,0.14,False,0.0
TPM__LMNA,64,17,0.64,0.15000000596046448,0.46,0.17,False,0.0
TPM__IL13RA1,64,14,0.64,0.11999999731779099,0.38,0.1,False,0.0
TPM__RAPH1,61,13,0.61,0.12999999523162842,0.35,0.12,False,0.0
METH__ITPRIPL1,59,11,0.59,0.11999999731779099,0.42,0.15,False,0.0
METH__ODC1,59,11,0.59,0.11999999731779099,0.33,0.17,False,0.0
TPM__RFXAP,57,10,0.57,0.15000000596046448,-0.47,0.24,False,0.0
TPM__CD9,57,10,0.57,0.10999999940395355,0.36,0.15,False,0.0
TPM__HM13,56,10,0.56,0.10999999940395355,0.4,0.08,False,0.0
TPM__SEPTIN6,56,7,0.56,0.1599999964237213,-0.46,0.21,True,0.053
TPM__CTSA,55,7,0.55,0.17000000178813934,0.48,0.1,True,0.053
TPM__SNHG1,54,9,0.54,0.12999999523162842,-0.43,0.1,False,0.002
TPM__ADAM9,52,5,0.52,0.10999999940395355,0.4,0.16,True,0.458
TPM__AGRN,51,6,0.51,0.11999999731779099,0.41,0.13,True,0.181
TPM__DCP2,51,5,0.51,0.10999999940395355,-0.39,0.09,True,0.458
TPM__EVA1A,50,4,0.5,0.12999999523162842,0.39,0.04,True,0.832
TPM__ANKHD1-DT,50,4,0.5,0.11999999731779099,-0.4,0.08,True,0.832
TPM__KLRG1,47,2,0.47,0.10999999940395355,-0.42,0.09,True,1.0
TPM__SLC43A1,46,3,0.46,0.14000000059604645,-0.42,0.15,True,0.992
METH__RINL,46,4,0.46,0.12999999523162842,0.32,0.1,True,0.832
METH__SCML4,45,3,0.45,0.10999999940395355,0.35,0.08,True,0.992
