feature,Selection count,Pair count,CPSS Score
TPM__NAMPT,100,50,1.0
METH__OGFR,91,41,0.91
TPM__ARL1,88,38,0.88
METH__STK25,86,36,0.86
TPM__LUC7L3,86,36,0.86
TPM__CENPV,85,35,0.85
TPM__ITGB5,81,31,0.81
TPM__THBS1-AS1,80,30,0.8
TPM__FAM174A,77,27,0.77
TPM__HSPA1A,75,25,0.75
TPM__MGLL,74,24,0.74
TPM__TGFA,74,24,0.74
TPM__PALD1,72,22,0.72
TPM__ANP32E,69,19,0.69
TPM__ST6GALNAC2,68,18,0.68
TPM__TM9SF1,66,17,0.66
TPM__RN7SL689P,64,15,0.64
TPM__LMNA,64,17,0.64
TPM__IL13RA1,64,14,0.64
TPM__RAPH1,61,13,0.61
METH__ODC1,59,11,0.59
METH__ITPRIPL1,59,11,0.59
TPM__CD9,57,10,0.57
TPM__RFXAP,57,10,0.57
TPM__HM13,56,10,0.56
TPM__SEPTIN6,56,7,0.56
TPM__CTSA,55,7,0.55
TPM__SNHG1,54,9,0.54
TPM__ADAM9,52,5,0.52
TPM__AGRN,51,6,0.51
TPM__DCP2,51,5,0.51
TPM__ANKHD1-DT,50,4,0.5
TPM__EVA1A,50,4,0.5
TPM__KLRG1,47,2,0.47
TPM__SLC43A1,46,3,0.46
METH__RINL,46,4,0.46
METH__SCML4,45,3,0.45
TPM__FAM177A1,44,2,0.44
TPM__SEMA3B,44,1,0.44
TPM__BAIAP2L1,44,4,0.44
TPM__HSPB8,43,6,0.43
TPM__PLEKHN1,43,1,0.43
METH__C13orf29,43,1,0.43
TPM__PPAT,43,4,0.43
TPM__TRIM47,42,0,0.42
TPM__OSGIN1,41,1,0.41
METH__LRRC25,41,2,0.41
TPM__DHRS3,41,1,0.41
TPM__MIR17HG,40,1,0.4
TPM__CRLF3,40,2,0.4
TPM__GIPC1,40,2,0.4
TPM__ITGB8,40,2,0.4
TPM__IGFBP3,39,3,0.39
METH__PLEKHA2,39,1,0.39
TPM__GNG12,38,1,0.38
TPM__CORO1A,37,1,0.37
TPM__PCBP1-AS1,37,2,0.37
TPM__LBR,36,0,0.36
TPM__NAV2,36,1,0.36
TPM__PTTG1IP,35,0,0.35
TPM__UBE3D,35,2,0.35
TPM__GDF15,34,1,0.34
METH__MARVELD3,33,0,0.33
TPM__TFAP4,33,1,0.33
TPM__FBXO32,33,0,0.33
TPM__NSUN6,33,1,0.33
TPM__RHOC,32,1,0.32
TPM__ANXA2,32,0,0.32
TPM__HDAC11,32,0,0.32
TPM__HSD3B7,31,0,0.31
TPM__ABLIM3,31,0,0.31
TPM__RPL18AP7,30,0,0.3
TPM__PLS3,30,0,0.3
TPM__CARD10,29,0,0.29
METH__GAS2L3,29,0,0.29
TPM__LGALS3,28,0,0.28
TPM__SLC35B2,28,0,0.28
TPM__DUSP3,28,0,0.28
TPM__TM4SF1,28,0,0.28
TPM__IER3,28,1,0.28
TPM__ARHGAP19,27,1,0.27
TPM__CDC25A,26,0,0.26
TPM__CARMIL2,25,0,0.25
METH__SLC44A3,25,0,0.25
TPM__ANKLE1,25,0,0.25
METH__THBS1,25,0,0.25
TPM__POLG2,25,2,0.25
TPM__BCAR3,24,0,0.24
TPM__BAG3,24,0,0.24
TPM__CDCP1,24,0,0.24
TPM__PARVA,23,0,0.23
METH__PPP1R16B,23,0,0.23
TPM__SMARCC1,23,1,0.23
TPM__FTH1P20,22,5,0.22
TPM__NHSL3,22,1,0.22
TPM__THBS1,22,0,0.22
TPM__EPAS1,22,3,0.22
TPM__SVIL,22,1,0.22
METH__FERMT3,22,0,0.22
TPM__RASGRP2,22,0,0.22
TPM__RIPK4,21,1,0.21
TPM__HIBADH,21,0,0.21
TPM__CLIP1,21,1,0.21
TPM__SNRPA,21,0,0.21
TPM__CDCA7,21,1,0.21
TPM__HASPIN,21,0,0.21
TPM__P3H2,21,2,0.21
TPM__PLOD3,21,0,0.21
TPM__CARMIL1,20,1,0.2
METH__HCG22,20,0,0.2
TPM__DAG1,19,0,0.19
TPM__MIR22HG,19,0,0.19
METH__INTU,19,1,0.19
TPM__HSPG2,19,1,0.19
TPM__DHX32,18,1,0.18
TPM__MRPS18AP1,18,1,0.18
TPM__SUMF1,18,6,0.18
TPM__KDM8,18,5,0.18
TPM__RBPMS-AS1,18,4,0.18
TPM__NCEH1,18,0,0.18
TPM__CHPF,17,1,0.17
TPM__AVPI1,17,0,0.17
TPM__DSTN,17,2,0.17
METH__CD38,17,0,0.17
TPM__KBTBD8,17,0,0.17
TPM__ANXA2P2,17,0,0.17
TPM__FHIP1A,17,0,0.17
TPM__TMEM51,16,0,0.16
TPM__PLXNB3,16,4,0.16
TPM__TOP2B,16,3,0.16
TPM__ATOSB,16,1,0.16
TPM__MVP,15,0,0.15
METH__CCDC12,15,1,0.15
TPM__NACC2,15,0,0.15
TPM__AGAP2,15,2,0.15
METH__GOLGA5,15,3,0.15
METH__RHEB,15,2,0.15
TPM__FAM216A,15,1,0.15
TPM__SQSTM1,15,1,0.15
TPM__CBR3-AS1,15,1,0.15
TPM__SLC22A18,15,4,0.15
TPM__IER5L,15,0,0.15
TPM__BCAM,15,1,0.15
TPM__TFAP2A,15,0,0.15
TPM__BACE2,15,5,0.15
TPM__MND1,15,1,0.15
TPM__PMEPA1,15,1,0.15
TPM__STAC3,14,3,0.14
TPM__PHLDA3,14,1,0.14
TPM__KRT80,14,0,0.14
TPM__DUSP23,14,0,0.14
TPM__TSPOAP1-AS1,14,0,0.14
TPM__SERINC2,14,1,0.14
TPM__PLBD2,13,0,0.13
TPM__TNFRSF1A,13,0,0.13
METH__HCST,13,1,0.13
METH__SSH3,13,0,0.13
TPM__BLM,13,0,0.13
METH__RAB27B,13,0,0.13
METH__MIR21,13,2,0.13
TPM__NPC2,13,2,0.13
TPM__SEPTIN1,13,0,0.13
TPM__FCHO1,13,0,0.13
TPM__PRSS23,12,1,0.12
TPM__ADGRG1,12,0,0.12
TPM__PSAP,12,3,0.12
TPM__SPR,12,0,0.12
TPM__VRK1,12,0,0.12
TPM__LTBR,11,0,0.11
TPM__KDELR3,11,0,0.11
TPM__LAPTM4A,11,3,0.11
TPM__ATAD5,11,0,0.11
TPM__ERRFI1,11,1,0.11
TPM__TAF5,11,0,0.11
METH__ABHD10,11,0,0.11
TPM__IL17RC,10,0,0.1
TPM__RND3,10,0,0.1
TPM__SPSB1,10,1,0.1
METH__PER3,10,0,0.1
TPM__TCF3,10,0,0.1
TPM__CD151,10,0,0.1
TPM__PPP1R14B-AS1,10,2,0.1
TPM__RFX5-AS1,10,2,0.1
TPM__NBL1,10,2,0.1
TPM__KDM2B,10,0,0.1
TPM__MIR600HG,10,0,0.1
TPM__GRAMD2B,9,1,0.09
TPM__PLEC,9,1,0.09
TPM__TFAP2C,9,1,0.09
TPM__CD59,9,0,0.09
TPM__PLK2,9,0,0.09
TPM__NPAS2,9,1,0.09
METH__INPP5D,9,1,0.09
TPM__TNKS1BP1,9,1,0.09
METH__SCARF1,9,0,0.09
TPM__LINC00511,9,0,0.09
TPM__NTN4,9,2,0.09
TPM__CCDC138,9,0,0.09
TPM__TANC1,8,0,0.08
TPM__CD63,8,0,0.08
TPM__ZNF852,8,2,0.08
TPM__MYO1E,8,0,0.08
TPM__FTH1,8,2,0.08
METH__TNK1,8,1,0.08
METH__CD22,8,0,0.08
TPM__GALNT11,8,0,0.08
METH__TCF3,8,0,0.08
TPM__MAP3K6,8,2,0.08
TPM__CAV2,8,0,0.08
TPM__LIF,8,0,0.08
TPM__PIK3AP1,8,0,0.08
TPM__F3,8,0,0.08
TPM__CTSD,7,0,0.07
TPM__GPR39,7,0,0.07
METH__BCL9L,7,0,0.07
TPM__TNFRSF13C,7,0,0.07
TPM__S100A16,7,0,0.07
TPM__CTTN,7,0,0.07
TPM__PHLDA2,7,0,0.07
TPM__RHBDF1,7,3,0.07
TPM__S100A13,7,1,0.07
TPM__PPP2R3A,7,1,0.07
TPM__SDC1,7,1,0.07
TPM__EMP2,7,0,0.07
TPM__GPRC5A,7,1,0.07
TPM__ASPH,7,0,0.07
TPM__FKBP9,7,0,0.07
TPM__STRBP,7,1,0.07
TPM__MET,6,1,0.06
METH__GALNT11,6,0,0.06
TPM__WDCP,6,2,0.06
TPM__BCAR1,6,0,0.06
METH__ZFP112,6,0,0.06
TPM__ARHGAP9,6,0,0.06
TPM__PPP1R16B,6,2,0.06
METH__PROCA1,6,0,0.06
TPM__HMGB2,6,0,0.06
TPM__ITPRIPL2,6,0,0.06
TPM__ATP1B1,6,3,0.06
TPM__RIN2,6,0,0.06
METH__MT2A,6,1,0.06
TPM__ABCC3,6,0,0.06
TPM__UPP1,6,1,0.06
TPM__DCK,5,1,0.05
TPM__P4HA2,5,0,0.05
TPM__GPC1,5,0,0.05
TPM__FNDC3B,5,0,0.05
TPM__FUCA2,5,0,0.05
TPM__SEC14L2,5,0,0.05
METH__PIK3CG,5,1,0.05
TPM__WWTR1,5,1,0.05
TPM__SEMA3C,5,0,0.05
TPM__SH3BP4,5,0,0.05
TPM__MANBAL,5,0,0.05
TPM__MGAT4B,5,0,0.05
TPM__SGMS2,5,0,0.05
TPM__TGFBI,5,2,0.05
TPM__IRAG2,5,0,0.05
TPM__HNRNPA1,5,0,0.05
TPM__SH3D19,5,0,0.05
TPM__ACVR1,5,0,0.05
