feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
TPM__AMOTL2,100,50,1.0,0.009999999776482582,-0.25,0.29,True,1.0,unimodal,0.71,True
TPM__FAM222A,100,50,1.0,0.18000000715255737,0.47,0.21,True,1.0,unimodal,0.71,True
TPM__AXL,100,50,1.0,0.10000000149011612,-0.37,0.16,True,1.0,unimodal,0.71,True
TPM__LOXL2,100,50,1.0,0.07999999821186066,-0.33,0.16,True,1.0,unimodal,0.71,True
TPM__DAG1,100,50,1.0,0.009999999776482582,0.03,0.16,True,1.0,unimodal,0.71,True
METH__IKBKE,100,50,1.0,0.10999999940395355,0.41,0.17,True,1.0,unimodal,0.71,True
METH__LOC100130987,100,50,1.0,0.09000000357627869,0.39,0.2,True,1.0,unimodal,0.71,True
METH__GADD45A,100,50,1.0,0.019999999552965164,0.23,0.16,True,1.0,unimodal,0.71,True
TPM__GRB14,100,50,1.0,0.009999999776482582,0.1,0.16,True,1.0,unimodal,0.71,True
TPM__PSG5,100,50,1.0,0.05000000074505806,-0.33,0.2,True,1.0,unimodal,0.71,True
TPM__TNFRSF12A,100,50,1.0,0.019999999552965164,-0.27,0.16,True,1.0,unimodal,0.71,True
TPM__EPHA2,100,50,1.0,0.009999999776482582,-0.21,0.16,True,1.0,unimodal,0.71,True
TPM__SAA1,100,50,1.0,0.09000000357627869,-0.34,0.16,True,1.0,unimodal,0.71,True
TPM__TNIP1,100,50,1.0,0.14000000059604645,-0.46,0.17,True,1.0,unimodal,0.71,True
TPM__SP100,100,50,1.0,0.15000000596046448,-0.42,0.16,True,1.0,unimodal,0.71,True
TPM__PDCD1LG2,100,50,1.0,0.05999999865889549,-0.4,0.17,True,1.0,unimodal,0.71,True
TPM__CRIM1-DT,100,50,1.0,0.07000000029802322,-0.31,0.19,True,1.0,unimodal,0.71,True
METH__BIN2,100,50,1.0,0.03999999910593033,0.04,0.18,True,1.0,unimodal,0.71,True
TPM__EGFR,100,50,1.0,0.05000000074505806,-0.3,0.2,True,1.0,unimodal,0.71,True
METH__GABARAP,100,50,1.0,0.03999999910593033,-0.31,0.18,True,1.0,unimodal,0.71,True
TPM__LINC02057,100,50,1.0,0.03999999910593033,-0.28,0.18,True,1.0,unimodal,0.71,True
TPM__SRCIN1,100,50,1.0,0.1599999964237213,0.41,0.17,True,1.0,unimodal,0.71,True
TPM__EFR3B,100,50,1.0,0.1599999964237213,0.41,0.17,True,1.0,unimodal,0.71,True
METH__CCM2,100,50,1.0,0.05999999865889549,0.12,0.19,True,1.0,unimodal,0.71,True
TPM__CAV2,100,50,1.0,0.029999999329447746,-0.27,0.19,True,1.0,unimodal,0.71,True
TPM__PRSS23,100,50,1.0,0.019999999552965164,-0.21,0.19,True,1.0,unimodal,0.71,True
TPM__CGB8,100,50,1.0,0.05000000074505806,-0.36,0.19,True,1.0,unimodal,0.71,True
TPM__ANXA8L1,100,50,1.0,0.07000000029802322,-0.34,0.19,True,1.0,unimodal,0.71,True
TPM__LINC00842,100,50,1.0,0.09000000357627869,-0.32,0.17,True,1.0,unimodal,0.71,True
TPM__HCN3,100,50,1.0,0.07999999821186066,0.29,0.18,True,1.0,unimodal,0.71,True
TPM__CAVIN1,100,50,1.0,0.07000000029802322,-0.32,0.17,True,1.0,unimodal,0.71,True
TPM__SPIRE2,100,50,1.0,0.14000000059604645,0.38,0.22,True,1.0,unimodal,0.71,True
TPM__MIR22HG,100,50,1.0,0.03999999910593033,-0.3,0.17,True,1.0,unimodal,0.71,True
TPM__RPL29P19,100,50,1.0,0.07999999821186066,-0.35,0.23,True,1.0,unimodal,0.71,True
TPM__KRTAP2-3,100,50,1.0,0.03999999910593033,-0.3,0.17,True,1.0,unimodal,0.71,True
TPM__CCN1,100,50,1.0,0.05999999865889549,-0.32,0.22,True,1.0,unimodal,0.71,True
TPM__CYTH4,100,50,1.0,0.05000000074505806,-0.36,0.16,True,1.0,unimodal,0.71,True
METH__NEURL4,100,50,1.0,0.05000000074505806,-0.25,0.16,True,1.0,unimodal,0.71,True
TPM__EXT1,100,50,1.0,0.019999999552965164,-0.26,0.16,True,1.0,unimodal,0.71,True
METH__WBSCR22,99,49,0.99,0.03999999910593033,-0.22,0.16,True,1.0,unimodal,0.71,True
METH__PDCD6IP,98,48,0.98,0.029999999329447746,-0.18,0.17,True,1.0,unimodal,0.71,True
METH__HCFC1R1,97,47,0.97,0.029999999329447746,0.34,0.18,True,0.992,unimodal,0.71,True
METH__SSR1,96,46,0.96,0.019999999552965164,0.11,0.17,True,0.832,unimodal,0.71,True
METH__KCTD18,95,45,0.95,0.019999999552965164,-0.12,0.17,True,0.458,unimodal,0.71,True
METH__ELP4,94,44,0.94,0.019999999552965164,-0.21,0.18,True,0.181,unimodal,0.71,True
METH__BUB1,90,40,0.9,0.019999999552965164,0.13,0.17,False,0.0,worst_case,0.8984163279132791,True
METH__ARHGEF12,90,40,0.9,0.029999999329447746,-0.21,0.17,False,0.0,worst_case,0.8984163279132791,True
